ticker	event	class_volburst	class_gunts	fill	qty	notional	pnl	fv_capture	gun_ts	latch_volburst_ts	last_bid_action_ts	last_bid_action	ref_src	play	outc
KXITFMATCH-26JUL02IMASAM-SAM	KXITFMATCH-26JUL02IMASAM	STATIC	STATIC	62	5	3.1	0.9	5	1783045200	None	1783035886.8384037	place@62	join_bid	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL02JASSHI-JAS	KXITFMATCH-26JUL02JASSHI	STATIC	STATIC	53	5	2.65	-2.65	5	1783044420	None	1783035887.3397496	place@53	join_bid	v4_resting_maker	settle_LOSS
KXITFMATCH-26JUL02IMASAM-IMA	KXITFMATCH-26JUL02IMASAM	STATIC	STATIC	38	5	1.9	0.4	-4	1783045200	None	1783036266.8543582	repost->38	join_bid	v4_manual	exit_FILL
KXITFMATCH-26JUL02DELMAT-DEL	KXITFMATCH-26JUL02DELMAT	STATIC	STATIC	77	5	3.85	0.95	-2	1783057020	None	1783037055.583106	repost->77	join_bid	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL02JASSHI-SHI	KXITFMATCH-26JUL02JASSHI	STATIC	STATIC	47	5	2.35	0.5	2	1783044360	None	1783036377.8611052	repost->47	join_bid	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL02HARROH-HAR	KXITFMATCH-26JUL02HARROH	STATIC	STATIC	44	5	2.2	0.45	4	1783048860	None	1783035884.0810778	place@44	join_bid	v4_resting_maker	exit_FILL
KXITFWMATCH-26JUL02SNIZHU-ZHU	KXITFWMATCH-26JUL02SNIZHU	STATIC	STATIC	64	5	3.2	-3.2	-4	1783044840	None	1783035888.0943096	place@64	None	v4_engagement_join	settle_LOSS
KXITFWMATCH-26JUL02KALYUA-YUA	KXITFWMATCH-26JUL02KALYUA	STATIC	STATIC	54	1	0.54	0.6	3	1783050780	None	1783038019.0034232	repost->54	None	v4_engagement_join	exit_FILL
KXITFMATCH-26JUL02JONISO-JON	KXITFMATCH-26JUL02JONISO	STATIC	STATIC	65	5	3.25	0.95	0	1783052160	None	1783035885.9519064	place@65	join_bid	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL02ZENNAS-ZEN	KXITFMATCH-26JUL02ZENNAS	STATIC	STATIC	54	5	2.7	0.75	0	1783048500	None	1783035410.646298	place@54	join_bid	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL02ZENNAS-NAS	KXITFMATCH-26JUL02ZENNAS	STATIC	STATIC	49	5	2.45	0.6	2	1783048500	None	1783033535.2542844	place@49	join_bid	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL02HARROH-ROH	KXITFMATCH-26JUL02HARROH	STATIC	STATIC	55	5	2.75	0.75	4	1783048500	None	1783035883.9274433	place@55	join_bid	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL02JONISO-ISO	KXITFMATCH-26JUL02JONISO	STATIC	STATIC	31	5	1.55	0.35	0	1783051320	None	1783037132.1141396	repost->31	None	v4_engagement_join	exit_FILL
KXITFMATCH-26JUL02DELMAT-MAT	KXITFMATCH-26JUL02DELMAT	STATIC	STATIC	22	5	1.1	0.3	6	1783057080	None	1783035885.3764188	repost->22	None	v4_engagement_join	exit_FILL
KXITFWMATCH-26JUL02KALYUA-KAL	KXITFWMATCH-26JUL02KALYUA	STATIC	STATIC	46	5	2.3	-2.3	-6	1783051620	None	1783035889.9978218	place@46	None	v4_engagement_join	settle_LOSS
KXATPCHALLENGERMATCH-26JUL03GIUMAR-MAR	KXATPCHALLENGERMATCH-26JUL03GIUMAR	STATIC	STATIC	49	5	2.45	0.6	2	1783067580	1783074697.4689803	1783065685.8374336	place@49	staircase_hold	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03NEDSMI-NED	KXATPCHALLENGERMATCH-26JUL03NEDSMI	STATIC	STATIC	67	5	3.35	-6.7	-1	1783066140	None	1783066072.949541	repost->65	staircase_hold	v4_reconciled	settle_LOSS
KXATPCHALLENGERMATCH-26JUL03JUSWAL-WAL	KXATPCHALLENGERMATCH-26JUL03JUSWAL	STATIC	STATIC	36	5	1.8	-1.8	3	1783065120	None	1783065686.803171	place@36	staircase_hold	v4_resting_maker	settle_LOSS
KXATPCHALLENGERMATCH-26JUL03JUSWAL-JUS	KXATPCHALLENGERMATCH-26JUL03JUSWAL	STATIC	CHASED	64	5	3.2	0.95	0	1783064940	None	1783066164.3582304	repost->64	staircase_hold	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03HEIDAL-DAL	KXATPCHALLENGERMATCH-26JUL03HEIDAL	STATIC	CHASED	31	5	1.55	0.35	2	1783063740	1783074697.4695275	1783065975.2585347	repost->31	None	v4_reconciled	exit_FILL
KXATPCHALLENGERMATCH-26JUL03HEIDAL-HEI	KXATPCHALLENGERMATCH-26JUL03HEIDAL	STATIC	STATIC	68	5	3.4	1.0	4	1783066440	1783074697.4695275	1783065687.010249	place@68	staircase_hold	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03GIUMAR-GIU	KXATPCHALLENGERMATCH-26JUL03GIUMAR	STATIC	CHASED	32	5	1.6	0.4	19	1783064940	1783074697.4689803	1783066795.28995	repost->32	staircase_hold	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03FELMON-MON	KXATPCHALLENGERMATCH-26JUL03FELMON	STATIC	STATIC	45	5	2.25	-2.25	3	1783069200	1783079843.7945063	1783066231.0983002	place@45	staircase_hold	v4_resting_maker	settle_LOSS
KXATPMATCH-26JUL03SAFFON-SAF	KXATPMATCH-26JUL03SAFFON	STATIC	STATIC	24	5	1.2	0.35	1	1783072320	None	1783069222.022788	place@24	staircase_hold	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03BASCEC-BAS	KXATPCHALLENGERMATCH-26JUL03BASCEC	STATIC	STATIC	34	5	1.7	-1.7	4	1783078560	1783080105.605808	1783068489.6974254	place@34	None	v4_engagement_join	settle_LOSS
KXATPCHALLENGERMATCH-26JUL03GUEKAS-GUE	KXATPCHALLENGERMATCH-26JUL03GUEKAS	STATIC	STATIC	37	5	1.85	0.4	2	1783072020	None	1783066231.288338	place@37	staircase_hold	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03KUZPIR-PIR	KXATPCHALLENGERMATCH-26JUL03KUZPIR	STATIC	STATIC	70	5	3.5	0.95	0	1783071600	None	1783069806.105027	place@70	staircase_hold	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03KUZPIR-KUZ	KXATPCHALLENGERMATCH-26JUL03KUZPIR	STATIC	STATIC	28	5	1.4	-1.35	-13	1783072020	None	1783071656.3769786	repost->27	None	v4_engagement_join	settle_LOSS
KXATPCHALLENGERMATCH-26JUL03GUEKAS-KAS	KXATPCHALLENGERMATCH-26JUL03GUEKAS	STATIC	STATIC	61	2	1.22	0.9	1	1783072260	None	1783067819.598439	place@61	staircase_hold	v4_resting_maker	exit_FILL
KXATPCHALLENGERMATCH-26JUL03DIAMAR-MAR	KXATPCHALLENGERMATCH-26JUL03DIAMAR	STATIC	STATIC	16	5	0.8	-0.8	1	1783071420	None	1783067455.1675334	place@16	staircase_hold	v4_resting_maker	settle_LOSS
KXATPMATCH-26JUL03JODMOC-MOC	KXATPMATCH-26JUL03JODMOC	STATIC	STATIC	25	5	1.25	0.35	0	1783077420	1783083688.677961	1783069220.3307948	place@25	staircase_hold	v4_resting_maker	exit_FILL
KXITFMATCH-26JUL03BITALH-BIT	KXITFMATCH-26JUL03BITALH	STATIC	STATIC	79	5	3.95	0.95	7	1783079040	None	1783072865.4335754	repost->79	None	v4_engagement_join	exit_FILL
KXATPCHALLENGERMATCH-26JUL03BASCEC-CEC	KXATPCHALLENGERMATCH-26JUL03BASCEC	STATIC	STATIC	66	5	3.3	0.95	3	1783078680	1783080105.605808	1783069224.7868676	place@66	staircase_hold	v4_resting_maker	exit_FILL
KXWTAMATCH-26JUL03BENKAL-KAL	KXWTAMATCH-26JUL03BENKAL	STATIC	STATIC	27	5	1.35	0.35	1	1783070820	1783082312.724177	1783069223.0970833	place@27	staircase_hold	v4_resting_maker	exit_FILL
KXATPMATCH-26JUL03STRMED-STR	KXATPMATCH-26JUL03STRMED	STATIC	STATIC	17	5	0.85	0.25	1	1783075620	1783084827.0478475	1783069220.6111515	place@17	staircase_hold	v4_resting_maker	exit_FILL
KXATPMATCH-26JUL03AUGZHE-ZHE	KXATPMATCH-26JUL03AUGZHE	STATIC	STATIC	17	5	0.85	0.0	1	1783094160	None	1783069221.6441114	place@17	staircase_hold	v4_resting_maker	OPEN
KXITFMATCH-26JUL03MONVAN-MON	KXITFMATCH-26JUL03MONVAN	STATIC	STATIC	86	5	4.3	0.6	12	1783077300	None	1783072836.4263258	repost->86	None	v4_engagement_join	exit_FILL
KXITFMATCH-26JUL03BITALH-ALH	KXITFMATCH-26JUL03BITALH	STATIC	STATIC	22	5	1.1	-1.1	-11	1783077960	None	1783073423.1412427	repost->22	None	v4_engagement_join	settle_LOSS
KXITFWMATCH-26JUL03SLAMUN-MUN	KXITFWMATCH-26JUL03SLAMUN	STATIC	STATIC	70	5	3.5	0.9	-48	1783079820	None	1783076439.4335585	repost->70	join_bid	v4_resting_maker	exit_FILL
KXWTAMATCH-26JUL03KASOSA-KAS	KXWTAMATCH-26JUL03KASOSA	STATIC	STATIC	19	5	0.95	-0.95	-1	1783079640	1783081954.6456661	1783072853.284547	place@19	staircase_hold	v4_resting_maker	settle_LOSS
KXWTAMATCH-26JUL03PEGBOU-PEG	KXWTAMATCH-26JUL03PEGBOU	STATIC	STATIC	88	5	4.4	0.5	-1	1783079460	1783083131.2856603	1783076441.1978207	place@88	staircase_hold	v4_resting_maker	exit_FILL
KXWTAMATCH-26JUL03ALEJOV-ALE	KXWTAMATCH-26JUL03ALEJOV	STATIC	STATIC	34	5	1.7	0.4	1	1783076400	1783083131.2853534	1783069956.1895025	place@34	staircase_hold	v4_resting_maker	exit_FILL
