cat	tk	name	fill	fill_t	sched_t	gun_t	gun_p	final_tick	d_gun	fv_capture	fv_onset_src	fvburst_emfb	ambiguous	dir	play	anchor_src	ref_src	min_before_start	runway	sib_filled	sib_price	band_x	exit_posted	outc	pnl	result
ATP_CHALL	KXATPCHALLENGERMATCH-26JUL04GIUFEL-GIU	Lorenzo Giustino	7	07-04 09:46	None	07-04 08:48	11	9	-4	4	gun	0.5	False	underdog	v4_engagement_join	engagement_join	None	108	late_window	False	None	4	11	settle_LOSS	-0.35	no
ATP_CHALL	KXATPCHALLENGERMATCH-26JUL04HEICEC-HEI	Gustavo Heide	70	07-04 06:10	None	07-04 06:29	33	33	37	-37	gun	21.0	False	leader	v4_resting_maker	last_traded	staircase_hold	180	full	False	None	19	89	settle_LOSS	-3.5	no
ATP_CHALL	KXATPCHALLENGERMATCH-26JUL04HEMMOE-HEM	Calvin Hemery	55	07-04 10:30	None	07-04 10:12	59	58	-4	4	gun	8.5	False	leader	v4_resting_maker	no_trade_staircase	staircase_hold	179	full	True	44	15	70	exit_FILL	0.75	no
ATP_CHALL	KXATPCHALLENGERMATCH-26JUL04HEMMOE-MOE	Marvin Moeller	44	07-04 10:30	None	07-04 10:16	44	49	0	0	gun	-9.5	False	underdog	v4_resting_maker	no_trade_staircase	staircase_hold	179	full	True	55	9	53	exit_FILL	0.45	yes
ATP_CHALL	KXATPCHALLENGERMATCH-26JUL04KASPIR-PIR	Zsombor Piros	65	07-04 09:06	None	07-04 08:07	44	None	21	-21	gun	12.5	False	leader	v4_resting_maker	last_traded	staircase_hold	97	late_window	False	None	19	84	exit_FILL	0.95	yes
ATP_CHALL	KXATPCHALLENGERMATCH-26JUL04MELCAS-MEL	Felipe Meligeni Alves	52	07-04 11:35	None	07-04 11:38	42	39	10	-10	gun	15.5	False	leader	v4_resting_maker	last_traded	staircase_hold	162	full	False	None	14	66	settle_LOSS	-2.6	no
ATP_CHALL	KXATPCHALLENGERMATCH-26JUL04RINDIA-DIA	Facundo Diaz Acosta	70	07-04 08:42	None	07-04 08:19	68	69	2	-2	gun	15.5	False	leader	v4_resting_maker	last_traded	staircase_hold	153	full	False	None	19	89	exit_FILL	0.95	yes
ATP_MAIN	KXATPMATCH-26JUL04DESVA-DE	Alex de Minaur	83	07-04 09:01	None	07-04 08:02	93	None	-10	10	gun	None	False	leader	v4_resting_maker	tight_mid	staircase_hold	179	full	False	None	16	98	settle_WIN	0.85	yes
ATP_MAIN	KXATPMATCH-26JUL04TIABUB-TIA	Frances Tiafoe	51	07-04 10:53	None	07-04 09:55	51	52	0	0	gun	-0.5	False	leader	v4_resting_maker	tight_mid	staircase_hold	120	full	False	None	13	64	OPEN	0.0	
ITF_M	KXITFMATCH-26JUL03HARNAS-NAS	Amirkhamza Nasridinov	74	07-03 23:41	None	07-03 23:10	44	46	30	-30	gun	None	False		v4_manual	None	None	None	None	False	None	19	93	exit_FILL	190.0	yes
ITF_M	KXITFMATCH-26JUL04BENAHO-AHO	Walid Ahouda	28	07-04 09:12	None	07-04 08:17	18	14	10	-10	gun	7.0	False	underdog	v4_engagement_join	engagement_join	None	198	full	False	None	7	35	settle_LOSS	-1.4	no
ITF_M	KXITFMATCH-26JUL04ORLPOP-ORL	Vladyslav Orlov	49	07-04 09:12	None	07-04 08:54	54	65	-5	5	gun	8.5	False	underdog	v4_resting_maker	no_trade_staircase	join_bid	199	full	True	50	12	61	exit_FILL	0.6	yes
ITF_M	KXITFMATCH-26JUL04ORLPOP-POP	Stefan Popovic	50	07-04 09:13	None	07-04 08:54	44	37	6	-6	gun	-3.0	False	leader	v4_completion_reprice	no_trade_staircase	join_bid	198	full	True	49	13	63	exit_FILL	0.65	no
ITF_W	KXITFWMATCH-26JUL04CLALAM-LAM	Shannon Lam	68	07-04 09:12	None	07-04 09:40	69	74	-1	1	gun	13.0	False	leader	v4_resting_maker	no_trade_staircase	join_bid	229	full	True	25	18	86	exit_FILL	0.9	no
ITF_W	KXITFWMATCH-26JUL04CLALAM-CLA	Lisa Claeys	25	07-04 10:30	None	07-04 09:31	10	None	15	-15	gun	-19.0	False	underdog	v4_engagement_join	engagement_join	None	229	full	True	68	6	31	settle_WIN	3.75	yes
WTA_MAIN	KXWTAMATCH-26JUL04ANIKEY-KEY	Madison Keys	61	07-04 10:30	None	07-04 09:45	61	61	0	0	gun	0.5	False	leader	v4_resting_maker	last_traded	staircase_hold	73	full	False	None	16	77	OPEN	0.0	yes
WTA_MAIN	KXWTAMATCH-26JUL04EALSWI-SWI	Iga Swiatek	74	07-04 09:05	None	07-04 08:09	79	79	-5	5	gun	-4.0	False	leader	v4_resting_maker	last_traded	staircase_hold	111	full	False	None	19	93	settle_LOSS	-3.7	no
WTA_MAIN	KXWTAMATCH-26JUL04MERRYB-MER	Elise Mertens	19	07-04 08:50	None	07-04 07:58	19	20	0	0	gun	-6.5	False	underdog	v4_resting_maker	no_trade_staircase	staircase_hold	138	full	True	79	5	24	settle_WIN	4.05	yes
WTA_MAIN	KXWTAMATCH-26JUL04MERRYB-RYB	Elena Rybakina	79	07-04 08:50	None	07-04 07:54	81	81	-2	2	gun	5.0	False	leader	v4_resting_maker	tight_mid	staircase_hold	138	full	True	19	19	98	settle_LOSS	-3.95	no
WTA_MAIN	KXWTAMATCH-26JUL04PAOSAK-PAO	Jasmine Paolini	54	07-04 09:07	None	07-04 08:32	54	54	0	0	gun	-0.5	False	leader	v4_resting_maker	tight_mid	staircase_hold	87	full	False	None	15	69	exit_FILL	0.75	yes
