## (a) FILLED under the 23:12 boot
| leg | fill | aim50 | daim | posture@post | own low since conception | cheaper after? | walk steps | exit qty=held |
|---|---|---|---|---|---|---|---|---|
| UL07NASLEE-LEE | 25 | 16 | +9 | below_chain | 1 | True | 2 | Y |
| UL08TUPPAN-PAN | 14 | 15 | -1 | mid_spread | 4 | True | 4 | Y |

## (b) OUTSTANDING resting buys (the overnight entries)
| leg | level | qty | bid_ex_self (latest) | posture | window anchor | [5,95] |
|---|---|---|---|---|---|---|
| UL06HOLSCH-SCH | 51 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL06VUKBRO-VUK | 48 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL07TOMSHI-TOM | 63 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL07ADAIMA-ADA | 1 | 5 | 6 | below_chain | sched(T-15buf)+tape_latch | OUT<<< |
| UL07BORZEN-BOR | 53 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL07BOUMOC-MOC | 24 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL07ICHOCH-OCH | 28 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL07MOXSAR-SAR | 27 | 5 | None | ? | TAPE-LATCH-ONLY <<< LOUD | in |
| UL07NAKSHI-NAK | 40 | 0.14 | None | ? | sched(T-15buf)+tape_latch | in |
| UL07TROKIM-KIM | 62 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL07TROKIM-TRO | 35 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL07YAMTAN-TAN | 82 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL07YAMTAN-YAM | 15 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL08ARSOPA-ARS | 76 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL08ARSOPA-OPA | 19 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL08BORBRE-BOR | 71 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL08BORBRE-BRE | 25 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL08BREBRU-BRE | 70 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL08BREBRU-BRU | 25 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL08EICAND-AND | 70 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL08EICAND-EIC | 26 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL08GHAGEN-GEN | 34 | 5 | 34 | join | sched(T-15buf)+tape_latch | in |
| UL08GHAGEN-GHA | 65 | 5 | 65 | join | sched(T-15buf)+tape_latch | in |
| UL08HARBEA-BEA | 89 | 5 | 86 | mid_spread | sched(T-15buf)+tape_latch | in |
| UL08HARBEA-HAR | 8 | 5 | 8 | join | sched(T-15buf)+tape_latch | in |
| UL08KIMROH-KIM | 64 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL08KIMROH-ROH | 31 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
| UL08KUNMEN-KUN | 31 | 5 | None | ? | sched(T-15buf)+tape_latch | in |
