sequence,timestamp_et,tminus_scheduled,tminus_actual_bell,leg,phase,bid,ask,last_trade,rolling_true_print_count_60s,router_return,manager_eligible,signed_non_decision,code_path,overwritten_or_unreached
326,2026-07-19T07:15:54.000000-04:00,T-314.100,T-319.100,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,68,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_CADENCE,live_v4.py:13242-13247,all target/repost organs below cadence gate
328,2026-07-19T07:16:21.000000-04:00,T-313.650,T-318.650,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,68,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_CADENCE,live_v4.py:13242-13247,all target/repost organs below cadence gate
329,2026-07-19T07:16:21.000000-04:00,T-313.650,T-318.650,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,68,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_CADENCE,live_v4.py:13242-13247,all target/repost organs below cadence gate
330,2026-07-19T07:16:21.000000-04:00,T-313.650,T-318.650,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_CADENCE,live_v4.py:13242-13247,all target/repost organs below cadence gate
331,2026-07-19T07:16:21.000000-04:00,T-313.650,T-318.650,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_CADENCE,live_v4.py:13242-13247,all target/repost organs below cadence gate
334,2026-07-19T07:16:24.000000-04:00,T-313.600,T-318.600,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_CADENCE,live_v4.py:13242-13247,all target/repost organs below cadence gate
335,2026-07-19T07:16:46.000000-04:00,T-313.233,T-318.233,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,75,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
338,2026-07-19T07:16:51.000000-04:00,T-313.150,T-318.150,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
339,2026-07-19T07:16:51.000000-04:00,T-313.150,T-318.150,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
340,2026-07-19T07:16:51.000000-04:00,T-313.150,T-318.150,VRB,ENTRY_RESTING_AT_65_BEFORE_NIK_FILL,67,74,70,0,LAWFUL_PRESENCE_CONTINUE,true,HOLD_STAIRCASE_QUIET_FIFO,live_v4.py:13248-13263,"best-bid mismatch, target recomputation, window-truth, cohort, and cancel/repost organs"
