sequence,event_id,leg_identity,layer,kind,timestamp_epoch,t_minus_scheduled_seconds,t_minus_actual_bell_seconds,receipt,state_call,prior_target_cents,target_cents,why,own_bid,own_ask,own_last,own_spread,own_dwell,own_bid_depth_5,own_ask_depth_5,sibling_bid,sibling_ask,sibling_last,sibling_spread,sibling_dwell
1,KXATPCHALLENGERMATCH-26JUL27KRANIC,KXATPCHALLENGERMATCH-26JUL27KRANIC|KRA,L4_POST,PLACE_REST,1785098649,42351,42351,KXATPCHALLENGERMATCH-26JUL27KRANIC-KRA.csv.gz#row-2,SETTLED,,38,V43_C3_TRACKING_REST_BEST_BID_ONE_CENT_LESS_GREEDY,38,49,0,11,0,3886,3667,49,67,0,18,0
1,KXATPCHALLENGERMATCH-26JUL27KRANIC,KXATPCHALLENGERMATCH-26JUL27KRANIC|NIC,L4_POST,PLACE_REST,1785098649,42351,42351,KXATPCHALLENGERMATCH-26JUL27KRANIC-NIC.csv.gz#row-2,FALLING,,49,V43_C3_TRACKING_REST_BEST_BID_ONE_CENT_LESS_GREEDY,49,67,0,18,0,1081,6043,38,49,0,11,0
2,KXATPCHALLENGERMATCH-26JUL27KRANIC,KXATPCHALLENGERMATCH-26JUL27KRANIC|NIC,L5_WALK,REPRICE_REST,1785098667,42333,42333,KXATPCHALLENGERMATCH-26JUL27KRANIC-NIC.csv.gz#row-4,RISING,49,53,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,53,67,0,14,18,1441,5904,38,47,0,9,0
3,KXATPCHALLENGERMATCH-26JUL27KRANIC,KXATPCHALLENGERMATCH-26JUL27KRANIC|NIC,L5_WALK,REPRICE_REST,1785098694,42306,42306,KXATPCHALLENGERMATCH-26JUL27KRANIC-NIC.csv.gz#row-28,RISING,53,54,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,54,63,0,9,27,767,2546,38,46,0,8,14
4,KXATPCHALLENGERMATCH-26JUL27KRANIC,KXATPCHALLENGERMATCH-26JUL27KRANIC|NIC,L5_WALK,REPRICE_REST,1785098723,42277,42277,KXATPCHALLENGERMATCH-26JUL27KRANIC-NIC.csv.gz#row-39,RISING,54,55,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,55,62,0,7,29,1479,3242,38,44,0,6,4
5,KXATPCHALLENGERMATCH-26JUL27KRANIC,KXATPCHALLENGERMATCH-26JUL27KRANIC|NIC,L5_WALK,REPRICE_REST,1785098723,42277,42277,KXATPCHALLENGERMATCH-26JUL27KRANIC-NIC.csv.gz#row-43,RISING,55,56,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,56,62,0,6,29,1226,3242,38,44,0,6,4
6,KXATPCHALLENGERMATCH-26JUL27KRANIC,KXATPCHALLENGERMATCH-26JUL27KRANIC|NIC,L5_WALK,REPRICE_REST,1785099022,41978,41978,KXATPCHALLENGERMATCH-26JUL27KRANIC-NIC.csv.gz#row-63,RISING,56,57,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,57,61,0,4,270,1508,2926,38,44,0,6,124
2,KXATPCHALLENGERMATCH-26JUL27KRANIC,KXATPCHALLENGERMATCH-26JUL27KRANIC|KRA,L5_WALK,REPRICE_REST,1785099052,41948,41948,KXATPCHALLENGERMATCH-26JUL27KRANIC-KRA.csv.gz#row-80,RISING,38,39,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,39,44,0,5,335,4754,2828,57,60,0,3,0
3,KXATPCHALLENGERMATCH-26JUL27KRANIC,KXATPCHALLENGERMATCH-26JUL27KRANIC|KRA,L5_WALK,REPRICE_REST,1785099910,41090,41090,KXATPCHALLENGERMATCH-26JUL27KRANIC-KRA.csv.gz#row-133,SETTLED,39,38,V43_C3_TRACKING_REST_BEST_BID_ONE_CENT_LESS_GREEDY,38,43,0,5,858,3070,3545,57,60,0,3,858
4,KXATPCHALLENGERMATCH-26JUL27KRANIC,KXATPCHALLENGERMATCH-26JUL27KRANIC|KRA,L5_WALK,REPRICE_REST,1785100109,40891,40891,KXATPCHALLENGERMATCH-26JUL27KRANIC-KRA.csv.gz#row-147,RISING,38,39,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,39,43,0,4,1057,3827,3845,57,60,0,3,1057
