sequence,event_id,leg_identity,layer,kind,timestamp_epoch,t_minus_scheduled_seconds,t_minus_actual_bell_seconds,receipt,state_call,prior_target_cents,target_cents,why,own_bid,own_ask,own_last,own_spread,own_dwell,own_bid_depth_5,own_ask_depth_5,sibling_bid,sibling_ask,sibling_last,sibling_spread,sibling_dwell
1,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|SRA,L4_POST,PLACE_REST,1785100716,92484,92484.06254935265,KXWTAMATCH-26JUL27TJESRA-SRA.csv.gz#row-2,SETTLED,,8,V43_C3_TRACKING_REST_BEST_BID_ONE_CENT_LESS_GREEDY,8,93,0,85,0,978,1207,8,93,0,85,0
1,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|TJE,L4_POST,PLACE_REST,1785100716,92484,92484.06254935265,KXWTAMATCH-26JUL27TJESRA-TJE.csv.gz#row-2,RISING,,8,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,8,93,0,85,0,1928,1206,8,93,0,85,0
2,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|SRA,L5_WALK,REPRICE_REST,1785101516,91684,91684.06254935265,KXWTAMATCH-26JUL27TJESRA-SRA.csv.gz#row-8,RISING,8,9,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,9,93,0,84,800,955,1207,8,93,0,85,10
3,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|SRA,L5_WALK,REPRICE_REST,1785102311,90889,90889.06254935265,KXWTAMATCH-26JUL27TJESRA-SRA.csv.gz#row-19,RISING,9,10,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,10,90,0,80,675,589,1381,9,90,0,81,676
2,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|TJE,L5_WALK,REPRICE_REST,1785102311,90889,90889.06254935265,KXWTAMATCH-26JUL27TJESRA-TJE.csv.gz#row-13,RISING,8,9,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,9,90,0,81,676,955,1361,10,90,0,80,675
3,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|TJE,L5_WALK,REPRICE_REST,1785105917,87283,87283.06254935265,KXWTAMATCH-26JUL27TJESRA-TJE.csv.gz#row-17,RISING,9,10,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,10,90,0,80,4282,569,1361,10,90,0,80,4064
4,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|TJE,L5_WALK,REPRICE_REST,1785109461,83739,83739.06254935265,KXWTAMATCH-26JUL27TJESRA-TJE.csv.gz#row-29,RISING,10,11,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,11,90,90,79,1296,260,1034,10,89,0,79,0
5,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|TJE,L5_WALK,REPRICE_REST,1785112901,80299,80299.06254935265,KXWTAMATCH-26JUL27TJESRA-TJE.csv.gz#row-32,FALLING,11,10,V43_C3_TRACKING_REST_BEST_BID_ONE_CENT_LESS_GREEDY,10,90,90,80,4736,590,1206,10,89,0,79,3440
6,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|TJE,L5_WALK,REPRICE_REST,1785113063,80137,80137.06254935265,KXWTAMATCH-26JUL27TJESRA-TJE.csv.gz#row-34,RISING,10,11,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,11,90,90,79,4898,260,1206,10,89,0,79,0
7,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|TJE,L5_WALK,REPRICE_REST,1785116500,76700,76700.06254935265,KXWTAMATCH-26JUL27TJESRA-TJE.csv.gz#row-35,FALLING,11,10,V43_C3_TRACKING_REST_BEST_BID_ONE_CENT_LESS_GREEDY,10,90,90,80,8335,590,1206,10,89,0,79,3437
8,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|TJE,L5_WALK,REPRICE_REST,1785116659,76541,76541.06254935265,KXWTAMATCH-26JUL27TJESRA-TJE.csv.gz#row-37,RISING,10,11,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,11,90,90,79,8494,260,1206,10,89,0,79,0
9,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|TJE,L5_WALK,REPRICE_REST,1785120100,73100,73100.06254935265,KXWTAMATCH-26JUL27TJESRA-TJE.csv.gz#row-39,FALLING,11,10,V43_C3_TRACKING_REST_BEST_BID_ONE_CENT_LESS_GREEDY,10,90,90,80,11935,590,1205,10,89,0,79,3441
4,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|SRA,L5_WALK,REPRICE_REST,1785120259,72941,72941.06254935265,KXWTAMATCH-26JUL27TJESRA-SRA.csv.gz#row-73,RISING,10,26,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,26,86,0,60,63,770,1051,64,74,90,10,0
10,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|TJE,L2_READ,DEEP_GAP_WITHHOLD_LIFT,1785120259,72941,72941.06254935265,KXWTAMATCH-26JUL27TJESRA-SRA.csv.gz#row-74,SILENT_NOT_EMITTED_ON_THIS_ACTION,10,,V42_DEEP_GAP_FEASIBILITY_PASS,26,36,0,10,0,770,1335,26,36,0,10,0
11,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|TJE,L2_READ,DEEP_GAP_WITHHOLD_START,1785120259,72941,72941.06254935265,KXWTAMATCH-26JUL27TJESRA-TJE.csv.gz#row-45,SILENT_NOT_EMITTED_ON_THIS_ACTION,10,,V42_DEEP_GAP_FEASIBILITY_WITHHOLD,64,89,90,25,112,750,1676,26,36,0,10,0
12,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|TJE,L5_WALK,REPRICE_REST,1785120259,72941,72941.06254935265,KXWTAMATCH-26JUL27TJESRA-SRA.csv.gz#row-74,FALLING,10,64,V43_C3_TRACKING_REST_BEST_BID_ONE_CENT_LESS_GREEDY,26,36,0,10,0,770,1335,26,36,0,10,0
5,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|SRA,L5_WALK,REPRICE_REST,1785122916,70284,70284.06254935265,KXWTAMATCH-26JUL27TJESRA-SRA.csv.gz#row-131,RISING,26,28,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,28,32,0,4,1372,1199,3362,65,72,65,7,0
13,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|TJE,L5_WALK,REPRICE_REST,1785122916,70284,70284.06254935265,KXWTAMATCH-26JUL27TJESRA-TJE.csv.gz#row-471,RISING,64,65,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,65,72,65,7,0,1414,1956,28,32,0,4,1372
6,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|SRA,L3_PAIR_CAP,PAIR_ARM,1785122916.877,70283.12299990654,70283.18554925919,1483895d-a93d-519d-a3e8-c745b6cf3563,SILENT_NOT_EMITTED_ON_THIS_ACTION,28,,PAIR_ARM,,,,,,,,65,72,65,7,0
14,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|TJE,L6_OUTCOME,FILL,1785122916.877,70283.12299990654,70283.18554925919,1483895d-a93d-519d-a3e8-c745b6cf3563,SILENT_NOT_EMITTED_ON_THIS_ACTION,65,65,MARKET_REACH_TRADED_AT_LEVEL,,,,,,,,28,32,0,4,1372
7,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|SRA,L5_WALK,REPRICE_REST,1785122977,70223,70223.06254935265,KXWTAMATCH-26JUL27TJESRA-SRA.csv.gz#row-142,RISING,28,26,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,26,32,0,6,1433,2146,3527,65,72,72,7,57
8,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|SRA,L6_OUTCOME,FILL,1785122978.101,70221.89899992943,70221.96154928207,9d12ac27-cc93-57ec-b588-7706aa9de5c7,SILENT_NOT_EMITTED_ON_THIS_ACTION,26,26,MARKET_REACH_TRADED_AT_LEVEL,,,,,,,,65,72,72,7,57
15,KXWTAMATCH-26JUL27TJESRA,KXWTAMATCH-26JUL27TJESRA|TJE,L3_PAIR_CAP,PAIR_ARM,1785122978.101,70221.89899992943,70221.96154928207,9d12ac27-cc93-57ec-b588-7706aa9de5c7,SILENT_NOT_EMITTED_ON_THIS_ACTION,,,PAIR_ARM,,,,,,,,26,32,32,6,1434
