ep,ts_utc,machine,leg,kind,target_cents,state,law,pulse_floor,guard,receipt,mark
1784522851,2026-07-20 04:47:31,V47,RUG,PLACE_REST,5,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,,V42_NO_CONTEMPORANEOUS_SIBLING_ASK_V41_UNCHANGED,KXWTACHALLENGERMATCH-26JUL20TOTRUG-RUG.csv.gz#row-2,
1784522851,2026-07-20 04:47:31,V47,RUG,PLACE_REST,5,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,,V42_NO_CONTEMPORANEOUS_SIBLING_ASK_V41_UNCHANGED,KXWTACHALLENGERMATCH-26JUL20TOTRUG-RUG.csv.gz#row-2,
1784522851,2026-07-20 04:47:31,V47,TOT,PLACE_REST,5,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,,V42_DEEP_GAP_FEASIBILITY_PASS,KXWTACHALLENGERMATCH-26JUL20TOTRUG-TOT.csv.gz#row-2,
1784522851,2026-07-20 04:47:31,V47,TOT,PLACE_REST,5,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,,V42_DEEP_GAP_FEASIBILITY_PASS,KXWTACHALLENGERMATCH-26JUL20TOTRUG-TOT.csv.gz#row-2,
1784522851,2026-07-20 04:47:31,V49,RUG,PLACE_REST,5,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,,V42_NO_CONTEMPORANEOUS_SIBLING_ASK_V41_UNCHANGED,KXWTACHALLENGERMATCH-26JUL20TOTRUG-RUG.csv.gz#row-2,
1784522851,2026-07-20 04:47:31,V49,RUG,PLACE_REST,5,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,,V42_NO_CONTEMPORANEOUS_SIBLING_ASK_V41_UNCHANGED,KXWTACHALLENGERMATCH-26JUL20TOTRUG-RUG.csv.gz#row-2,
1784522851,2026-07-20 04:47:31,V49,TOT,PLACE_REST,5,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,,V42_DEEP_GAP_FEASIBILITY_PASS,KXWTACHALLENGERMATCH-26JUL20TOTRUG-TOT.csv.gz#row-2,
1784522851,2026-07-20 04:47:31,V49,TOT,PLACE_REST,5,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,,V42_DEEP_GAP_FEASIBILITY_PASS,KXWTACHALLENGERMATCH-26JUL20TOTRUG-TOT.csv.gz#row-2,
1784522999,2026-07-20 04:49:59,V47,RUG,DEEP_GAP_WITHHOLD_START,,,,,V42_DEEP_GAP_FEASIBILITY_WITHHOLD,KXWTACHALLENGERMATCH-26JUL20TOTRUG-RUG.csv.gz#row-3,
1784522999,2026-07-20 04:49:59,V47,RUG,DEEP_GAP_WITHHOLD_LIFT,,,,,V42_DEEP_GAP_FEASIBILITY_PASS,KXWTACHALLENGERMATCH-26JUL20TOTRUG-TOT.csv.gz#row-4,
1784522999,2026-07-20 04:49:59,V47,RUG,REPRICE_REST,52,FALLING,V43_C3_TRACKING_REST_BEST_BID_ONE_CENT_LESS_GREEDY,,V42_DEEP_GAP_FEASIBILITY_PASS,KXWTACHALLENGERMATCH-26JUL20TOTRUG-TOT.csv.gz#row-4,
1784522999,2026-07-20 04:49:59,V47,RUG,DEEP_GAP_WITHHOLD_START,,,,,V42_DEEP_GAP_FEASIBILITY_WITHHOLD,KXWTACHALLENGERMATCH-26JUL20TOTRUG-RUG.csv.gz#row-3,
