code,cat,collapse_leg,state,combined_entry_cents,margin_cents,window_prints,hi,lo,collapse_prints,collapse_price_range,first_ge50_trade_id,iceberg_matched,iceberg_missing,collapse_verified,leg_results,settlement_values,pays_as_scored
26JUL12BASABB,WTA_CHALL,ABB,COMPLETE_AT_DELTA,98,2,314,50,1,81,1..9,1a59b64e-abb8-4978-6436-9f6a767bb3ec,314,0,81/81,ABB=no; BAS=yes,,YES_PAYS_AS_SCORED
26JUL12BROGIU,ATP_CHALL,GIU,COMPLETE_AT_DELTA,99,1,2791,82,1,244,1..9,ae293902-8238-6d26-d229-d7ed658ea439,2791,0,244/244,BRO=yes; GIU=no,,YES_PAYS_AS_SCORED
26JUL12BUEMAR,ATP_MAIN,BUE,COMPLETE_AT_DELTA,99,1,401,53,1,61,1..9,a7312e48-d442-6822-81ae-2f0260ad5fd4,401,0,61/61,BUE=no; MAR=yes,,YES_PAYS_AS_SCORED
26JUL12DODDEL,ATP_CHALL,DOD,COMPLETE_AT_DELTA,84,16,3608,87,1,535,1..9,6aec9e45-65db-5258-7857-86aeca7763c9,3608,0,535/535,DEL=yes; DOD=no,,YES_PAYS_AS_SCORED
26JUL12GANJAN,ATP_CHALL,JAN,PARTIAL_FOR_REASON,,,532,51,1,177,1..9,e988782a-8363-7f29-44fe-413a25497a08,532,0,177/177,GAN=yes; JAN=no,,NO_MARGIN_SCORED
26JUL12GUEGOM,ATP_MAIN,GUE,PARTIAL_FOR_REASON,,,1641,72,1,268,1..9,ccc330c0-bb96-42f0-9f65-444f4f8be369,1641,0,268/268,GOM=yes; GUE=no,,NO_MARGIN_SCORED
26JUL12HESKOT,WTA_CHALL,HES,COMPLETE_AT_DELTA,99,1,1339,60,3,89,3..9,b9f4639e-f956-7a90-1fc2-e8ae1556b51a,1339,0,89/89,HES=no; KOT=yes,,YES_PAYS_AS_SCORED
26JUL12KULZAA,WTA_MAIN,ZAA,COMPLETE_AT_DELTA,97,3,2370,81,1,169,1..9,e855a01e-a473-60ef-2dfb-02194aee881d,2370,0,169/169,KUL=yes; ZAA=no,,YES_PAYS_AS_SCORED
26JUL12MICKUL,WTA_MAIN,KUL,COMPLETE_AT_DELTA,91,9,1309,82,1,202,1..9,ab5f983e-b509-6047-4ed1-816af677a8cf,1309,0,202/202,KUL=no; MIC=yes,,YES_PAYS_AS_SCORED
26JUL12PALCOL,WTA_CHALL,PAL,COMPLETE_AT_DELTA,93,7,904,86,1,119,1..9,553e070d-2055-607a-e063-fe63fa427fed,904,0,119/119,COL=yes; PAL=no,,YES_PAYS_AS_SCORED
26JUL12PRASAI,ATP_MAIN,SAI,COMPLETE_AT_DELTA,99,1,1908,56,1,175,1..9,0709d3c9-44a6-5528-63f4-ea2786381af6,1908,0,175/175,PRA=yes; SAI=no,,YES_PAYS_AS_SCORED
26JUL12RAFAGU,ATP_CHALL,RAF,COMPLETE_AT_DELTA,88,12,3405,79,1,688,3..9,6d956637-2acd-564b-8a33-7e03348885fc,3405,0,688/688,AGU=no; RAF=yes,,YES_PAYS_AS_SCORED
26JUL12ROUGAN,ATP_CHALL,ROU,COMPLETE_AT_DELTA,99,1,648,70,1,601,1..7,cc2436cf-78d1-4c04-9917-8a7178682067,648,0,601/601,GAN=yes; ROU=no,,YES_PAYS_AS_SCORED
26JUL12SHEVAN,WTA_CHALL,SHE,COMPLETE_AT_DELTA,92,8,1290,50,1,439,1..9,3cbad15f-6879-56e1-65e4-16c996b19ef9,1290,0,439/439,SHE=yes; VAN=no,,YES_PAYS_AS_SCORED
26JUL12SKASAC,ATP_MAIN,SAC,COMPLETE_AT_DELTA,99,1,952,64,1,302,1..9,6107f8f3-f901-7e47-56d0-565ab2bbe36b,952,0,302/302,SAC=no; SKA=yes,,YES_PAYS_AS_SCORED
26JUL12TABHUE,ATP_MAIN,HUE,COMPLETE_AT_DELTA,94,6,978,62,1,195,1..9,c703f78c-2258-595a-1959-8a7bb6335f12,978,0,195/195,HUE=no; TAB=yes,,YES_PAYS_AS_SCORED
26JUL12VILRAH,ATP_CHALL,RAH,COMPLETE_AT_DELTA,84,16,729,66,1,50,1..9,bc2681eb-f2cf-584d-8439-62ab4bf32c0f,729,0,50/50,RAH=no; VIL=yes,,YES_PAYS_AS_SCORED
26JUL20DJECIN,ATP_MAIN,CIN,COMPLETE_AT_DELTA,92,8,124,75,9,3,9..9,c3d8f918-8689-43d0-e1c6-2ec60118275d,124,0,3/3,CIN=scalar; DJE=scalar,CIN=; DJE=,OTHER_SCALAR
26JUL20GALARN,ATP_CHALL,GAL,COMPLETE_AT_DELTA,96,4,2831,82,1,358,1..9,3ba77153-f14f-6e45-9484-87c6ca061719,2831,0,358/358,ARN=yes; GAL=no,,YES_PAYS_AS_SCORED
