code,cat,state,bell,margin,layer1,leg_reasons,layer2,first_primed_epoch,feasible_window_min,max_lawful_joint_margin
26JUL12ALVVAN,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,24,STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)+STOOD_TOO_DEEP,"{""ALV"": ""STOOD_TOO_DEEP"", ""VAN"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783849410,20.5,23
26JUL12AVEFOR,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,9,STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)+STOOD_TOO_DEEP,"{""AVE"": ""STOOD_TOO_DEEP"", ""FOR"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783835193,751.2,8
26JUL12AZKLEO,ATP_CHALL,NEITHER_FOR_REASON,live_by_only,1,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_TOO_DEEP,"{""AZK"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""LEO"": ""STOOD_TOO_DEEP""}",PLAN_WAS_FEASIBLE,1783866961,362.8,0
26JUL12BALPET,ATP_CHALL,PARTIAL_FOR_REASON,schedule_only,23,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""BAL"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)"", ""PET"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783848929,40.2,22
26JUL12BARREI,ATP_CHALL,NEITHER_FOR_REASON,live_by_only,6,INPUT_GRAIN_ASLEEP+LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR),"{""BAR"": ""INPUT_GRAIN_ASLEEP"", ""REI"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_INFEASIBLE_FLOORS_PRECEDED_PRIMED,1783893569,,
26JUL12BOSCOP,ATP_CHALL,PARTIAL_FOR_REASON,exact,2,STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)+STOOD_TOO_DEEP,"{""BOS"": ""STOOD_TOO_DEEP"", ""COP"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783941967,1271.4,1
26JUL12BROHUA,ATP_CHALL,PARTIAL_FOR_REASON,live_by_only,6,LICENSE_BLOCKED(MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED)+STOOD_TOO_DEEP,"{""BRO"": ""LICENSE_BLOCKED(MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED)"", ""HUA"": ""STOOD_TOO_DEEP""}",PLAN_WAS_FEASIBLE,1783833870,304.1,5
26JUL12BRUGAD,ATP_CHALL,NEITHER_FOR_REASON,live_by_only,3,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_TOO_DEEP,"{""BRU"": ""STOOD_TOO_DEEP"", ""GAD"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_INFEASIBLE_FLOORS_PRECEDED_PRIMED,1783916371,,
26JUL12CHAJON,ATP_CHALL,NEITHER_FOR_REASON,live_by_only,12,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR),"{""CHA"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""JON"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)""}",PLAN_WAS_FEASIBLE,1783844853,179.1,11
26JUL12CHOGAS,ATP_CHALL,PARTIAL_FOR_REASON,exact,1,LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)+STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING),"{""CHO"": ""LICENSE_BLOCKED(PAIR_POST_ONSET_LOWS_NOT_UNDER_PAR)"", ""GAS"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_UNCREDITED_TIMING)""}",PLAN_WAS_FEASIBLE,1783829131,489.3,0
