ticker,category,region,covered,audited_close,rm_mid,rm_qual_ask,rm_last_print,err_mid,err_qual_ask,err_last_print,drift_close_minus_mid
KXATPCHALLENGERMATCH-26JUL12ALVVAN-ALV,ATP_CHALL,51_75,True,78,76.5,78,0,-1.5,0,-78,1.5
KXATPCHALLENGERMATCH-26JUL12ALVVAN-VAN,ATP_CHALL,le25,True,22,23.5,25,0,1.5,3,-22,-1.5
KXATPCHALLENGERMATCH-26JUL12ARNROM-ARN,ATP_CHALL,51_75,True,62,49.5,95,0,-12.5,33,-62,12.5
KXATPCHALLENGERMATCH-26JUL12ARNROM-ROM,ATP_CHALL,26_50,True,39,54.0,94,0,15.0,55,-39,-15.0
KXATPCHALLENGERMATCH-26JUL12AVEFOR-AVE,ATP_CHALL,26_50,True,55,47.5,48,48,-7.5,-7,-7,7.5
KXATPCHALLENGERMATCH-26JUL12AVEFOR-FOR,ATP_CHALL,51_75,True,49,52.5,53,53,3.5,4,4,-3.5
KXATPCHALLENGERMATCH-26JUL12AZKLEO-AZK,ATP_CHALL,51_75,True,53,51.0,52,49,-2.0,-1,-4,2.0
KXATPCHALLENGERMATCH-26JUL12AZKLEO-LEO,ATP_CHALL,26_50,True,47,48.5,50,0,1.5,3,-47,-1.5
KXATPCHALLENGERMATCH-26JUL12BALPET-BAL,ATP_CHALL,le25,True,14,15.0,17,0,1.0,3,-14,-1.0
KXATPCHALLENGERMATCH-26JUL12BALPET-PET,ATP_CHALL,ge76,True,88,82.5,87,0,-5.5,-1,-88,5.5
KXATPCHALLENGERMATCH-26JUL12BARREI-BAR,ATP_CHALL,51_75,True,63,49.5,95,0,-13.5,32,-63,13.5
KXATPCHALLENGERMATCH-26JUL12BARREI-REI,ATP_CHALL,26_50,True,39,54.0,94,0,15.0,55,-39,-15.0
KXATPCHALLENGERMATCH-26JUL12BARVIS-BAR,ATP_CHALL,ge76,True,87,50.5,95,0,-36.5,8,-87,36.5
KXATPCHALLENGERMATCH-26JUL12BARVIS-VIS,ATP_CHALL,le25,True,16,49.5,94,0,33.5,78,-16,-33.5
KXATPCHALLENGERMATCH-26JUL12BINGIL-BIN,ATP_CHALL,ge76,True,85,83.5,85,0,-1.5,0,-85,1.5
KXATPCHALLENGERMATCH-26JUL12BINGIL-GIL,ATP_CHALL,le25,True,15,16.0,17,0,1.0,2,-15,-1.0
KXATPCHALLENGERMATCH-26JUL12BOOONC-BOO,ATP_CHALL,le25,True,26,69.0,91,0,43.0,65,-26,-43.0
KXATPCHALLENGERMATCH-26JUL12BOOONC-ONC,ATP_CHALL,ge76,False,75,,,,,,,
KXATPCHALLENGERMATCH-26JUL12BOSCOP-BOS,ATP_CHALL,26_50,True,28,39.5,73,0,11.5,45,-28,-11.5
KXATPCHALLENGERMATCH-26JUL12BOSCOP-COP,ATP_CHALL,51_75,True,72,57.0,95,0,-15.0,23,-72,15.0
KXATPCHALLENGERMATCH-26JUL12BOUVIT-BOU,ATP_CHALL,ge76,True,81,80.5,81,79,-0.5,0,-2,0.5
KXATPCHALLENGERMATCH-26JUL12BOUVIT-VIT,ATP_CHALL,le25,True,20,20.0,21,0,0.0,1,-20,0.0
KXATPCHALLENGERMATCH-26JUL12BROBAR-BAR,ATP_CHALL,le25,True,22,49.5,94,0,27.5,72,-22,-27.5
KXATPCHALLENGERMATCH-26JUL12BROBAR-BRO,ATP_CHALL,51_75,True,78,51.0,95,0,-27.0,17,-78,27.0
KXATPCHALLENGERMATCH-26JUL12BROGIU-BRO,ATP_CHALL,26_50,False,49,,,,,,,
KXATPCHALLENGERMATCH-26JUL12BROGIU-GIU,ATP_CHALL,51_75,True,53,52.5,53,53,-0.5,0,0,0.5
KXATPCHALLENGERMATCH-26JUL12BROHUA-BRO,ATP_CHALL,51_75,True,63,74.5,76,0,11.5,13,-63,-11.5
KXATPCHALLENGERMATCH-26JUL12BROHUA-HUA,ATP_CHALL,26_50,True,38,25.5,27,0,-12.5,-11,-38,12.5
KXATPCHALLENGERMATCH-26JUL12BRUGAD-BRU,ATP_CHALL,le25,False,,,,,,,,
KXATPCHALLENGERMATCH-26JUL12BRUGAD-GAD,ATP_CHALL,le25,False,,,,,,,,
KXATPCHALLENGERMATCH-26JUL12CALRAD-CAL,ATP_CHALL,51_75,True,60,56.5,58,0,-3.5,-2,-60,3.5
KXATPCHALLENGERMATCH-26JUL12CALRAD-RAD,ATP_CHALL,26_50,True,40,43.0,44,45,3.0,4,5,-3.0
KXATPCHALLENGERMATCH-26JUL12CHAJON-CHA,ATP_CHALL,26_50,True,42,45.5,47,0,3.5,5,-42,-3.5
KXATPCHALLENGERMATCH-26JUL12CHAJON-JON,ATP_CHALL,51_75,True,60,54.5,56,0,-5.5,-4,-60,5.5
KXATPCHALLENGERMATCH-26JUL12CHISEA-CHI,ATP_CHALL,26_50,True,32,33.5,33,33,1.5,1,1,-1.5
KXATPCHALLENGERMATCH-26JUL12CHISEA-SEA,ATP_CHALL,51_75,False,68,,,,,,,
KXATPCHALLENGERMATCH-26JUL12CHOGAS-CHO,ATP_CHALL,51_75,False,62,,,,,,,
KXATPCHALLENGERMATCH-26JUL12CHOGAS-GAS,ATP_CHALL,26_50,True,39,39.5,39,39,0.5,0,0,-0.5
KXATPCHALLENGERMATCH-26JUL12CRIBAS-BAS,ATP_CHALL,51_75,True,66,63.5,65,66,-2.5,-1,0,2.5
