class,leg_ticker,sibling_ticker,category,region,sibling_fill_cents,own_audited_close_cents,cap_99_minus_sibfill,cap_close_minus_1,target,verdict,reason,first_qualifying_epoch,first_qualifying_price,release_minutes
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12ARNROM-ARN,KXATPCHALLENGERMATCH-26JUL12ARNROM-ROM,ATP_CHALL,51_75,42,62,57,61,57,NOT_CONVERTIBLE,PRICE_NEVER_PRINTED (below close-1 not offered after fill),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12BARREI-REI,KXATPCHALLENGERMATCH-26JUL12BARREI-BAR,ATP_CHALL,26_50,63,39,36,38,36,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12BOOONC-BOO,KXATPCHALLENGERMATCH-26JUL12BOOONC-BOO,ATP_CHALL,le25,20,26,79,25,25,CONVERTIBLE,"qualifying ask <= min(99-sib_fill, close-1) after sibling fill",1783950857,20,0.3
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12BOSCOP-COP,KXATPCHALLENGERMATCH-26JUL12BOSCOP-BOS,ATP_CHALL,51_75,29,72,70,71,70,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12BROGIU-BRO,KXATPCHALLENGERMATCH-26JUL12BROGIU-GIU,ATP_CHALL,26_50,53,49,46,48,46,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12CHOGAS-CHO,KXATPCHALLENGERMATCH-26JUL12CHOGAS-CHO,ATP_CHALL,51_75,61,62,38,61,38,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12DEGEE-DE,KXATPCHALLENGERMATCH-26JUL12DEGEE-GEE,ATP_CHALL,26_50,58,49,41,48,41,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12DEVGON-GON,KXATPCHALLENGERMATCH-26JUL12DEVGON-DEV,ATP_CHALL,51_75,33,70,66,69,66,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12DROPIR-PIR,KXATPCHALLENGERMATCH-26JUL12DROPIR-DRO,ATP_CHALL,26_50,60,42,39,41,39,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12FANBIG-BIG,KXATPCHALLENGERMATCH-26JUL12FANBIG-FAN,ATP_CHALL,51_75,37,69,62,68,62,CONVERTIBLE,"qualifying ask <= min(99-sib_fill, close-1) after sibling fill",1783861219,62,1.6
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12FORPAM-PAM,KXATPCHALLENGERMATCH-26JUL12FORPAM-FOR,ATP_CHALL,le25,95,6,4,5,4,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12GEOMAG-GEO,KXATPCHALLENGERMATCH-26JUL12GEOMAG-MAG,ATP_CHALL,le25,84,17,15,16,15,NOT_CONVERTIBLE,CAP_UNREACHABLE (99-sib_fill binds),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12GIUBAR-BAR,KXATPCHALLENGERMATCH-26JUL12GIUBAR-GIU,ATP_CHALL,26_50,68,32,31,31,31,NOT_CONVERTIBLE,PRICE_NEVER_PRINTED (below close-1 not offered after fill),,,
b_FN_mirror,KXATPCHALLENGERMATCH-26JUL12KRALOR-LOR,KXATPCHALLENGERMATCH-26JUL12KRALOR-LOR,ATP_CHALL,le25,5,6,94,5,5,CONVERTIBLE,"qualifying ask <= min(99-sib_fill, close-1) after sibling fill",1783833741,5,1.8
