code,cat,bell,margin,leg,census_A_epoch,census_B_epoch,census_sel_epoch,onset_tmin,runtime_onset_epoch,runtime_cand,runtime_passed_tmin,first_read_tmin,floor,floor_first_print_tmin,last_receipt_tmin,edge_tmin,runtime_vs_census
26JUL12ALVVAN,ATP_CHALL,live_by_only,24,ALV,,1783849408,1783849408,806.0,1783849408,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,806.0,806.0,52,808.6,832.5,832.5,agrees
26JUL12ALVVAN,ATP_CHALL,live_by_only,24,VAN,,1783849288,1783849288,804.0,1783849288,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,804.0,804.0,24,823.3,818.0,832.5,agrees
26JUL12BALPET,ATP_CHALL,schedule_only,23,BAL,,1783847908,1783847908,781.0,1783847908,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,781.0,781.0,1,823.3,803.5,882.5,agrees
26JUL12BALPET,ATP_CHALL,schedule_only,23,PET,,1783848928,1783848928,798.0,1783848928,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,798.0,798.0,76,798.9,825.3,882.5,agrees
26JUL12BOSCOP,ATP_CHALL,exact,2,BOS,1783933348,1783967188,1783933348,2205.0,1783933348,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,2207.6,2207.6,28,2841.5,3622.4,3622.5,agrees
26JUL12BOSCOP,ATP_CHALL,exact,2,COP,1783933348,1783960768,1783933348,2205.0,1783933348,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,2241.1,2348.7,70,3497.4,2858.0,3622.5,agrees
26JUL12CHAJON,ATP_CHALL,live_by_only,12,CHA,,1783834468,1783834468,557.0,1783834468,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,557.9,561.5,29,909.2,909.5,909.5,agrees
26JUL12CHAJON,ATP_CHALL,live_by_only,12,JON,,1783844848,1783844848,730.0,1783844848,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,730.1,730.1,59,745.1,909.5,909.5,agrees
26JUL12CHOGAS,ATP_CHALL,exact,1,CHO,1783854042,1783828242,1783828242,219.0,1783828242,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,219.1,219.1,60,347.8,723.3,723.3,agrees
26JUL12CHOGAS,ATP_CHALL,exact,1,GAS,1783854042,1783829082,1783829082,233.0,1783829082,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,233.7,233.8,39,297.1,399.8,723.3,agrees
