code,cat,state,offer_margin_cents,print_margin_cents,banked_delta_cents,divergence_cents,game_class,knowability,first_divergence_leg,first_divergence_receipt,first_divergence_ts,legs_json
26JUL12BALHUA,WTA_CHALL,COMPLETE_AT_DELTA,33,33,1,32,level(stood-above-floor),FORESIGHT_REQUIRED,HUA,KXWTACHALLENGERMATCH-26JUL12BALHUA-HUA.csv.gz#row-1452,1783857466,"{""BAL"": {""floor"": 1, ""entry"": 17, ""onset"": 1783857260, ""credit_ts"": 1783857770.019694, ""ts_star"": 1783862793.528318, ""floor_size"": 100.0, ""n_floor_prints"": 19, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-above-floor)"", ""divergence_rx"": ""KXWTACHALLENGERMATCH-26JUL12BALHUA-BAL.csv.gz#row-2386"", ""divergence_ts"": 1783857764, ""machine_answer"": ""rest licensed at 17\u00a2 (credited 17\u00a2 @ 1783857770, 5024s before the 1\u00a2 floor print)"", ""needed_answer"": ""stand at 1\u00a2 and let the tape come to it"", ""reason_string"": ""V52E_LICENSED_PRIOR_INFORMED_LEVEL_POST"", ""authority"": ""V52B_EVIDENCE_BACKED_MACHINE_READ_LEVEL"", ""consulted"": ""read passed=True, comparable transitions book=2039 print=113; ask=21 bid=17"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""FORESIGHT_REQUIRED"", ""no post-onset print or displayed ask at/below 1\u00a2 existed before the kiss consumed the rest; the 1\u00a2 floor print @ 1783862793 was the first evidence at that level""]}, ""HUA"": {""floor"": 66, ""entry"": 82, ""onset"": 1783857200, ""credit_ts"": 1783857494.336524, ""ts_star"": 1783858620.618157, ""floor_size"": 2.0, ""n_floor_prints"": 3, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-above-floor)"", ""divergence_rx"": ""KXWTACHALLENGERMATCH-26JUL12BALHUA-HUA.csv.gz#row-1452"", ""divergence_ts"": 1783857466, ""machine_answer"": ""rest licensed at 82\u00a2 (credited 82\u00a2 @ 1783857494, 1126s before the 66\u00a2 floor print)"", ""needed_answer"": ""stand at 66\u00a2 and let the tape come to it"", ""reason_string"": ""V52E_LICENSED_PRIOR_INFORMED_LEVEL_POST"", ""authority"": ""V52B_EVIDENCE_BACKED_MACHINE_READ_LEVEL"", ""consulted"": ""read passed=True, comparable transitions book=1242 print=0; ask=93 bid=82"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""FORESIGHT_REQUIRED"", ""no post-onset print or displayed ask at/below 66\u00a2 existed before the kiss consumed the rest; the 66\u00a2 floor print @ 1783858620 was the first evidence at that level""]}}"
26JUL12DAHBAE,ATP_MAIN,COMPLETE_AT_DELTA,4,4,1,3,level(stood-above-floor),FORESIGHT_REQUIRED,BAE,KXATPMATCH-26JUL12DAHBAE-BAE.csv.gz#row-692,1783824518,"{""BAE"": {""floor"": 92, ""entry"": 94, ""onset"": 1783818833, ""credit_ts"": 1783869220.747164, ""ts_star"": 1783869241.750214, ""floor_size"": 8.0, ""n_floor_prints"": 2, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-above-floor)"", ""divergence_rx"": ""KXATPMATCH-26JUL12DAHBAE-BAE.csv.gz#row-692"", ""divergence_ts"": 1783824518, ""machine_answer"": ""rest licensed at 94\u00a2 (credited 94\u00a2 @ 1783869220, 21s before the 92\u00a2 floor print)"", ""needed_answer"": ""stand at 92\u00a2 and let the tape come to it"", ""reason_string"": ""V52E_LICENSED_PRIOR_INFORMED_LEVEL_POST"", ""authority"": ""V52B_EVIDENCE_BACKED_MACHINE_READ_LEVEL"", ""consulted"": ""read passed=True, comparable transitions book=261 print=4; ask=96 bid=94"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""FORESIGHT_REQUIRED"", ""no post-onset print or displayed ask at/below 92\u00a2 existed before the kiss consumed the rest; the 92\u00a2 floor print @ 1783869241 was the first evidence at that level""]}, ""DAH"": {""floor"": 4, ""entry"": 5, ""onset"": 1783818833, ""credit_ts"": 1783862081.03584, ""ts_star"": 1783843328.035523, ""floor_size"": 7.0, ""n_floor_prints"": 90, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-below-floor)"", ""divergence_rx"": ""KXATPMATCH-26JUL12DAHBAE-DAH.csv.gz#row-1443"", ""divergence_ts"": 1783843328, ""machine_answer"": ""standing rest at 3\u00a2 through the 4\u00a2 floor print; later repriced and credited at 5\u00a2 @ 1783862081"", ""needed_answer"": ""rest at exactly 4\u00a2 standing into the floor print @ 1783843328"", ""reason_string"": ""V52E_LICENSED_PRIOR_INFORMED_LEVEL_POST"", ""authority"": ""V52B_EVIDENCE_BACKED_MACHINE_READ_LEVEL"", ""consulted"": ""read passed=True, comparable transitions book=800 print=15; ask=6 bid=3"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""FORESIGHT_REQUIRED"", ""no post-onset print or displayed ask at/below 4\u00a2 existed before the floor print @ 1783843328 - the print itself was the first evidence at that level""]}}"
26JUL12GUEGOM,ATP_MAIN,PARTIAL_FOR_REASON,57,57,,57,level(stood-above-floor),FORESIGHT_REQUIRED,GUE,KXATPMATCH-26JUL12GUEGOM-GUE.csv.gz#row-46316,1783871249,"{""GOM"": {""floor"": 42, ""entry"": null, ""onset"": 1783871801, ""credit_ts"": null, ""ts_star"": 1783871811.704738, ""floor_size"": 63.0, ""n_floor_prints"": 2, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-below-floor)"", ""divergence_rx"": ""KXATPMATCH-26JUL12GUEGOM-GOM.csv.gz#row-64999"", ""divergence_ts"": 1783871803, ""machine_answer"": ""standing rest at 37\u00a2 through the 42\u00a2 floor print; never credited"", ""needed_answer"": ""rest at exactly 42\u00a2 standing into the floor print @ 1783871811"", ""reason_string"": ""V52F_LICENSED_TARGET_SETTLEMENT_BOUND"", ""authority"": ""V52E_N4_PRIOR_INFORMED_LIVE_BOUND_LEVEL+V52F_PAIR_ENTRY_CONSERVATION"", ""consulted"": ""read passed=True, comparable transitions book=1 print=0; ask=41 bid=40"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""KNOWABLE_DEFECT"", [""displayed_ask"", 1783871803, 41, null, ""KXATPMATCH-26JUL12GUEGOM-GOM.csv.gz#row-64998""]]}, ""GUE"": {""floor"": 1, ""entry"": 62, ""onset"": 1783871021, ""credit_ts"": 1783871264.775716, ""ts_star"": 1783875071.364843, ""floor_size"": 195.0, ""n_floor_prints"": 45, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-above-floor)"", ""divergence_rx"": ""KXATPMATCH-26JUL12GUEGOM-GUE.csv.gz#row-46316"", ""divergence_ts"": 1783871249, ""machine_answer"": ""rest licensed at 62\u00a2 (credited 62\u00a2 @ 1783871264, 3807s before the 1\u00a2 floor print)"", ""needed_answer"": ""stand at 1\u00a2 and let the tape come to it"", ""reason_string"": ""V52E_LICENSED_PRIOR_INFORMED_LEVEL_POST"", ""authority"": ""V52B_EVIDENCE_BACKED_MACHINE_READ_LEVEL"", ""consulted"": ""read passed=True, comparable transitions book=2356 print=44; ask=63 bid=62"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""FORESIGHT_REQUIRED"", ""no post-onset print or displayed ask at/below 1\u00a2 existed before the kiss consumed the rest; the 1\u00a2 floor print @ 1783875071 was the first evidence at that level""]}}"
26JUL12KUMTUR,ATP_CHALL,COMPLETE_AT_DELTA,30,30,6,24,level(stood-below-floor),KNOWABLE_DEFECT,KUM,KXATPCHALLENGERMATCH-26JUL12KUMTUR-KUM.csv.gz#row-19909,1783878673,"{""KUM"": {""floor"": 69, ""entry"": 72, ""onset"": 1783878673, ""credit_ts"": 1783879324.437595, ""ts_star"": 1783879146.81739, ""floor_size"": 45.0, ""n_floor_prints"": 1, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-below-floor)"", ""divergence_rx"": ""KXATPCHALLENGERMATCH-26JUL12KUMTUR-KUM.csv.gz#row-19909"", ""divergence_ts"": 1783878673, ""machine_answer"": ""standing rest at 60\u00a2 through the 69\u00a2 floor print; later repriced and credited at 72\u00a2 @ 1783879324"", ""needed_answer"": ""rest at exactly 69\u00a2 standing into the floor print @ 1783879146"", ""reason_string"": ""V52E_LICENSED_PRIOR_INFORMED_LEVEL_POST"", ""authority"": ""V52E_N4_PRIOR_INFORMED_LIVE_BOUND_LEVEL"", ""consulted"": ""read passed=True, comparable transitions book=1 print=0; ask=60 bid=75"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""KNOWABLE_DEFECT"", [""displayed_ask"", 1783878673, 60, null, ""KXATPCHALLENGERMATCH-26JUL12KUMTUR-KUM.csv.gz#row-19908""]]}, ""TUR"": {""floor"": 1, ""entry"": 22, ""onset"": 1783878493, ""credit_ts"": 1783878698.757238, ""ts_star"": 1783882906.608942, ""floor_size"": 4218.0, ""n_floor_prints"": 29, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-above-floor)"", ""divergence_rx"": ""KXATPCHALLENGERMATCH-26JUL12KUMTUR-TUR.csv.gz#row-13904"", ""divergence_ts"": 1783878698, ""machine_answer"": ""rest licensed at 22\u00a2 (credited 22\u00a2 @ 1783878698, 4208s before the 1\u00a2 floor print)"", ""needed_answer"": ""stand at 1\u00a2 and let the tape come to it"", ""reason_string"": ""V52E_LICENSED_PRIOR_INFORMED_LEVEL_POST"", ""authority"": ""V52B_EVIDENCE_BACKED_MACHINE_READ_LEVEL"", ""consulted"": ""read passed=True, comparable transitions book=2874 print=4; ask=23 bid=23"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""FORESIGHT_REQUIRED"", ""no post-onset print or displayed ask at/below 1\u00a2 existed before the kiss consumed the rest; the 1\u00a2 floor print @ 1783882906 was the first evidence at that level""]}}"
26JUL12MORNEP,WTA_MAIN,COMPLETE_AT_DELTA,29,29,3,26,level(stood-above-floor),FORESIGHT_REQUIRED,NEP,KXWTAMATCH-26JUL12MORNEP-NEP.csv.gz#row-1786,1783815184,"{""MOR"": {""floor"": 70, ""entry"": 71, ""onset"": 1783807781, ""credit_ts"": 1783848455.8942, ""ts_star"": 1783872841.313774, ""floor_size"": 3.0, ""n_floor_prints"": 3, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-above-floor)"", ""divergence_rx"": ""KXWTAMATCH-26JUL12MORNEP-MOR.csv.gz#row-1638"", ""divergence_ts"": 1783848454, ""machine_answer"": ""rest licensed at 71\u00a2 (credited 71\u00a2 @ 1783848455, 24385s before the 70\u00a2 floor print)"", ""needed_answer"": ""stand at 70\u00a2 and let the tape come to it"", ""reason_string"": ""V52E_LICENSED_PRIOR_INFORMED_LEVEL_POST"", ""authority"": ""V52B_EVIDENCE_BACKED_MACHINE_READ_LEVEL"", ""consulted"": ""read passed=True, comparable transitions book=1462 print=12; ask=73 bid=71"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""FORESIGHT_REQUIRED"", ""no post-onset print or displayed ask at/below 70\u00a2 existed before the kiss consumed the rest; the 70\u00a2 floor print @ 1783872841 was the first evidence at that level""]}, ""NEP"": {""floor"": 1, ""entry"": 26, ""onset"": 1783807781, ""credit_ts"": 1783815184.115138, ""ts_star"": 1783874171.780706, ""floor_size"": 18.28, ""n_floor_prints"": 45, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-above-floor)"", ""divergence_rx"": ""KXWTAMATCH-26JUL12MORNEP-NEP.csv.gz#row-1786"", ""divergence_ts"": 1783815184, ""machine_answer"": ""rest licensed at 26\u00a2 (credited 26\u00a2 @ 1783815184, 58988s before the 1\u00a2 floor print)"", ""needed_answer"": ""stand at 1\u00a2 and let the tape come to it"", ""reason_string"": ""V52E_LICENSED_PRIOR_INFORMED_LEVEL_POST"", ""authority"": ""V52B_EVIDENCE_BACKED_MACHINE_READ_LEVEL"", ""consulted"": ""read passed=True, comparable transitions book=276 print=1; ask=27 bid=26"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""FORESIGHT_REQUIRED"", ""no post-onset print or displayed ask at/below 1\u00a2 existed before the kiss consumed the rest; the 1\u00a2 floor print @ 1783874171 was the first evidence at that level""]}}"
26JUL12PANYOR,WTA_CHALL,COMPLETE_AT_DELTA,19,19,1,18,level(stood-above-floor),FORESIGHT_REQUIRED,YOR,KXWTACHALLENGERMATCH-26JUL12PANYOR-YOR.csv.gz#row-5832,1783855058,"{""PAN"": {""floor"": 80, ""entry"": 86, ""onset"": 1783855662, ""credit_ts"": 1783858255.908364, ""ts_star"": 1783858255.919781, ""floor_size"": 1.0, ""n_floor_prints"": 3, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-above-floor)"", ""divergence_rx"": ""KXWTACHALLENGERMATCH-26JUL12PANYOR-PAN.csv.gz#row-14146"", ""divergence_ts"": 1783857981, ""machine_answer"": ""rest licensed at 86\u00a2 (credited 86\u00a2 @ 1783858255, 0s before the 80\u00a2 floor print)"", ""needed_answer"": ""stand at 80\u00a2 and let the tape come to it"", ""reason_string"": ""V52E_BIRTH_BLOCKED_MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED"", ""authority"": ""V52B_MACHINE_READ_LEVEL_ABSTAIN"", ""consulted"": ""read passed=True, comparable transitions book=5157 print=71; ask=99 bid=97"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""FORESIGHT_REQUIRED"", ""no post-onset print or displayed ask at/below 80\u00a2 existed before the kiss consumed the rest; the 80\u00a2 floor print @ 1783858255 was the first evidence at that level""]}, ""YOR"": {""floor"": 1, ""entry"": 13, ""onset"": 1783854642, ""credit_ts"": 1783855171.696546, ""ts_star"": 1783858018.613998, ""floor_size"": 150.0, ""n_floor_prints"": 26, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-above-floor)"", ""divergence_rx"": ""KXWTACHALLENGERMATCH-26JUL12PANYOR-YOR.csv.gz#row-5832"", ""divergence_ts"": 1783855058, ""machine_answer"": ""rest licensed at 13\u00a2 (credited 13\u00a2 @ 1783855171, 2847s before the 1\u00a2 floor print)"", ""needed_answer"": ""stand at 1\u00a2 and let the tape come to it"", ""reason_string"": ""V52E_LICENSED_PRIOR_INFORMED_LEVEL_POST"", ""authority"": ""V52B_EVIDENCE_BACKED_MACHINE_READ_LEVEL"", ""consulted"": ""read passed=True, comparable transitions book=3349 print=11; ask=15 bid=13"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""FORESIGHT_REQUIRED"", ""no post-onset print or displayed ask at/below 1\u00a2 existed before the kiss consumed the rest; the 1\u00a2 floor print @ 1783858018 was the first evidence at that level""]}}"
26JUL12POLKUH,ATP_CHALL,COMPLETE_AT_DELTA,5,5,1,4,level(stood-above-floor),FORESIGHT_REQUIRED,POL,KXATPCHALLENGERMATCH-26JUL12POLKUH-POL.csv.gz#row-2696,1783872381,"{""KUH"": {""floor"": 15, ""entry"": 18, ""onset"": 1783831217, ""credit_ts"": 1783879149.480609, ""ts_star"": 1783879149.480609, ""floor_size"": 72.0, ""n_floor_prints"": 1, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-above-floor)"", ""divergence_rx"": ""KXATPCHALLENGERMATCH-26JUL12POLKUH-KUH.csv.gz#row-5538"", ""divergence_ts"": 1783878330, ""machine_answer"": ""standing rest at 18\u00a2 through the 15\u00a2 floor print; later repriced and credited at 18\u00a2 @ 1783879149"", ""needed_answer"": ""rest at exactly 15\u00a2 standing into the floor print @ 1783879149"", ""reason_string"": ""V52E_LICENSED_PRIOR_INFORMED_LEVEL_POST"", ""authority"": ""V52B_EVIDENCE_BACKED_MACHINE_READ_LEVEL"", ""consulted"": ""read passed=True, comparable transitions book=5391 print=5; ask=20 bid=18"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""FORESIGHT_REQUIRED"", ""no post-onset print or displayed ask at/below 15\u00a2 existed before the floor print @ 1783879149 - the print itself was the first evidence at that level""]}, ""POL"": {""floor"": 80, ""entry"": 81, ""onset"": 1783831217, ""credit_ts"": 1783872979.377097, ""ts_star"": 1783872979.377097, ""floor_size"": 18.67, ""n_floor_prints"": 1, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-above-floor)"", ""divergence_rx"": ""KXATPCHALLENGERMATCH-26JUL12POLKUH-POL.csv.gz#row-2696"", ""divergence_ts"": 1783872381, ""machine_answer"": ""standing rest at 81\u00a2 through the 80\u00a2 floor print; later repriced and credited at 81\u00a2 @ 1783872979"", ""needed_answer"": ""rest at exactly 80\u00a2 standing into the floor print @ 1783872979"", ""reason_string"": ""V52E_LICENSED_PRIOR_INFORMED_LEVEL_POST"", ""authority"": ""V52B_EVIDENCE_BACKED_MACHINE_READ_LEVEL"", ""consulted"": ""read passed=True, comparable transitions book=2673 print=4; ask=82 bid=81"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""FORESIGHT_REQUIRED"", ""no post-onset print or displayed ask at/below 80\u00a2 existed before the floor print @ 1783872979 - the print itself was the first evidence at that level""]}}"
26JUL12PRIBAL,ATP_CHALL,PARTIAL_FOR_REASON,1,1,,1,level(stood-above-floor),FORESIGHT_REQUIRED,BAL,KXATPCHALLENGERMATCH-26JUL12PRIBAL-BAL.csv.gz#row-3780,1783852303,"{""BAL"": {""floor"": 1, ""entry"": 3, ""onset"": 1783852293, ""credit_ts"": 1783852303.101636, ""ts_star"": 1783852726.66349, ""floor_size"": 500.0, ""n_floor_prints"": 33, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-above-floor)"", ""divergence_rx"": ""KXATPCHALLENGERMATCH-26JUL12PRIBAL-BAL.csv.gz#row-3780"", ""divergence_ts"": 1783852303, ""machine_answer"": ""rest licensed at 3\u00a2 (credited 3\u00a2 @ 1783852303, 424s before the 1\u00a2 floor print)"", ""needed_answer"": ""stand at 1\u00a2 and let the tape come to it"", ""reason_string"": ""V52E_LICENSED_PRIOR_INFORMED_LEVEL_POST"", ""authority"": ""V52E_N4_PRIOR_INFORMED_LIVE_BOUND_LEVEL"", ""consulted"": ""read passed=True, comparable transitions book=1 print=0; ask=3 bid=4"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""FORESIGHT_REQUIRED"", ""no post-onset print or displayed ask at/below 1\u00a2 existed before the kiss consumed the rest; the 1\u00a2 floor print @ 1783852726 was the first evidence at that level""]}, ""PRI"": {""floor"": 98, ""entry"": null, ""onset"": 1783852353, ""credit_ts"": null, ""ts_star"": 1783852366.381062, ""floor_size"": 5.0, ""n_floor_prints"": 31, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-below-floor)"", ""divergence_rx"": ""KXATPCHALLENGERMATCH-26JUL12PRIBAL-PRI.csv.gz#row-4135"", ""divergence_ts"": 1783852357, ""machine_answer"": ""standing rest at 96\u00a2 through the 98\u00a2 floor print; never credited"", ""needed_answer"": ""rest at exactly 98\u00a2 standing into the floor print @ 1783852366"", ""reason_string"": ""V52F_LICENSED_TARGET_SETTLEMENT_BOUND"", ""authority"": ""V52E_N4_PRIOR_INFORMED_LIVE_BOUND_LEVEL+V52F_PAIR_ENTRY_CONSERVATION"", ""consulted"": ""read passed=True, comparable transitions book=1 print=0; ask=98 bid=97"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""KNOWABLE_DEFECT"", [""displayed_ask"", 1783852357, 98, null, ""KXATPCHALLENGERMATCH-26JUL12PRIBAL-PRI.csv.gz#row-4134""]]}}"
26JUL13BLISAS,WTA_MAIN,COMPLETE_AT_DELTA,3,3,2,1,level(stood-above-floor),FORESIGHT_REQUIRED,BLI,KXWTAMATCH-26JUL13BLISAS-BLI.csv.gz#row-12520,1783998996,"{""BLI"": {""floor"": 42, ""entry"": 43, ""onset"": 1783968995, ""credit_ts"": 1783999939.4802, ""ts_star"": 1784018210.504441, ""floor_size"": 1.0, ""n_floor_prints"": 10, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-above-floor)"", ""divergence_rx"": ""KXWTAMATCH-26JUL13BLISAS-BLI.csv.gz#row-12520"", ""divergence_ts"": 1783998996, ""machine_answer"": ""rest licensed at 43\u00a2 (credited 43\u00a2 @ 1783999939, 18271s before the 42\u00a2 floor print)"", ""needed_answer"": ""stand at 42\u00a2 and let the tape come to it"", ""reason_string"": ""V52E_LICENSED_PRIOR_INFORMED_LEVEL_POST"", ""authority"": ""V52B_EVIDENCE_BACKED_MACHINE_READ_LEVEL"", ""consulted"": ""read passed=True, comparable transitions book=1517 print=9; ask=45 bid=43"", ""knowability_at_divergence"": ""FORESIGHT"", ""knowability"": [""FORESIGHT_REQUIRED"", ""no post-onset print or displayed ask at/below 42\u00a2 existed before the kiss consumed the rest; the 42\u00a2 floor print @ 1784018210 was the first evidence at that level""]}, ""SAS"": {""floor"": 55, ""entry"": 55, ""onset"": 1783968995, ""credit_ts"": 1783978880.692941, ""ts_star"": 1783978880.692941, ""floor_size"": 5.0, ""n_floor_prints"": 2, ""verdict"": ""CONFORMED"", ""capture"": ""credited at the 55\u00a2 floor @ 1783978880""}}"
26JUL13JONSPI,WTA_CHALL,NEITHER_FOR_REASON,,-1,,0,NO_WINNING_LINE,,,,,"{""JON"": {""floor"": 89, ""entry"": null, ""onset"": 1783902268, ""credit_ts"": null, ""ts_star"": 1783902269.531688, ""floor_size"": 1.0, ""n_floor_prints"": 2, ""verdict"": ""DIVERGED"", ""node"": ""level(authority-not-earned)"", ""divergence_rx"": ""KXWTACHALLENGERMATCH-26JUL13JONSPI-JON.csv.gz#row-165"", ""divergence_ts"": 1783902269, ""machine_answer"": ""gate BLOCKED, blocked_clause=MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED (held from this receipt through the floor print)"", ""needed_answer"": ""a licensed standing rest at 89\u00a2 before the floor print @ 1783902269"", ""reason_string"": ""V52E_BIRTH_BLOCKED_MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED"", ""authority"": ""V52B_MACHINE_READ_LEVEL_ABSTAIN"", ""consulted"": ""read passed=True, comparable transitions book=1 print=0, evidence receipts=2; ask=51"", ""knowability"": [""KNOWABLE_DEFECT"", [""displayed_ask"", 1783902269, 51, null, ""KXWTACHALLENGERMATCH-26JUL13JONSPI-JON.csv.gz#row-164""]]}, ""SPI"": {""floor"": 12, ""entry"": null, ""onset"": 1783902268, ""credit_ts"": null, ""ts_star"": 1783903900.954306, ""floor_size"": 5.73, ""n_floor_prints"": 1, ""verdict"": ""DIVERGED"", ""node"": ""level(stood-below-floor)"", ""divergence_rx"": ""KXWTACHALLENGERMATCH-26JUL13JONSPI-SPI.csv.gz#row-328"", ""divergence_ts"": 1783903619, ""machine_answer"": ""standing rest at 10\u00a2 through the 12\u00a2 floor print; never credited"", ""needed_answer"": ""rest at exactly 12\u00a2 standing into the floor print @ 1783903900"", ""reason_string"": ""V52E_LICENSED_PRIOR_INFORMED_LEVEL_POST"", ""authority"": ""V52B_EVIDENCE_BACKED_MACHINE_READ_LEVEL"", ""consulted"": ""read passed=True, comparable transitions book=76 print=0; ask=12 bid=10"", ""knowability_at_divergence"": ""KNOWABLE"", ""knowability"": [""KNOWABLE_DEFECT"", [""displayed_ask"", 1783902328, 12, null, ""KXWTACHALLENGERMATCH-26JUL13JONSPI-SPI.csv.gz#row-273""]]}}"
