code,leg,cat,origin_cell,pair_class,role_CANDIDATE,net_open_edge,floor_cents,floor_first_epoch,floor_pos_frac_of_postonset_span,credited,entry_cents,fill_ts,first_post_ts,read_at_first_post
26JUL12ALTGAS,ALT,ATP_MAIN,26_50,MIRRORED,CLIMBER,13.5,58,1783833446.5,0.0043,False,,,1783862363,RISING
26JUL12ALTGAS,GAS,ATP_MAIN,26_50,MIRRORED,FALLER,-13.5,38,1784009667.7,0.874,True,41,1783877860.516,1783862363,FALLING
26JUL12ALVVAN,ALV,ATP_CHALL,26_50,MIRRORED,CLIMBER,24.0,52,1783849562.7,0.0972,False,,,1783849413,RISING
26JUL12ALVVAN,VAN,ATP_CHALL,26_50,MIRRORED,FALLER,-23.5,24,1783850446.3,0.6766,True,29,1783850131.197,1783849413,FALLING
26JUL12ARIZHA,ARI,WTA_CHALL,26_50,MIRRORED,FALLER,-48.5,1,1783855135.8,0.3195,True,12,1783853562.056,1783852447,RISING
26JUL12ARIZHA,ZHA,WTA_CHALL,26_50,MIRRORED,CLIMBER,49.0,62,1783853047.3,0.0973,True,82,1783852505.553,1783852447,FALLING
26JUL12ARNROM,ARN,ATP_CHALL,26_50,MIRRORED,CLIMBER,11.5,50,1783875407.3,0.1883,True,58,1783911381.61,1783876039,FALLING
26JUL12ARNROM,ROM,ATP_CHALL,26_50,MIRRORED,FALLER,-11.5,38,1783941185.3,0.9436,True,39,1783899899.019,1783876039,FALLING
26JUL12AVASEI,AVA,WTA_MAIN,51_75,MIRRORED,CLIMBER,39.0,89,1783828975.0,0.2116,False,,,,
26JUL12AVASEI,SEI,WTA_MAIN,51_75,MIRRORED,FALLER,-39.0,11,1783836901.5,0.4849,False,,,,
26JUL12AVEFOR,AVE,ATP_CHALL,26_50,MIRRORED,CLIMBER,4.5,48,1783844777.4,0.2122,False,,,1783844799,FALLING
26JUL12AVEFOR,FOR,ATP_CHALL,26_50,MIRRORED,FALLER,-5.5,43,1783880265.0,0.997,True,53,1783873142.14,1783844799,RISING
26JUL12AZKLEO,AZK,ATP_CHALL,26_50,FLAT_BOTH,,4.5,52,1783869490.9,0.2914,False,,,1783888648,RISING
26JUL12AZKLEO,LEO,ATP_CHALL,26_50,FLAT_BOTH,,-3.5,47,1783888643.5,0.9926,False,,,1783888690,FALLING
26JUL12BALHUA,BAL,WTA_CHALL,26_50,OPPOSED_UNBALANCED,,-35.5,1,1783862793.5,0.7058,True,17,1783857770.019,1783857508,RISING
26JUL12BALHUA,HUA,WTA_CHALL,51_75,OPPOSED_UNBALANCED,,42.5,66,1783858620.6,0.1735,True,78,1783857511.643,1783857509,FALLING
26JUL12BALPET,BAL,ATP_CHALL,26_50,MIRRORED,FALLER,-49.0,1,1783850447.9,0.4169,True,13,1783849262.082,1783849019,FALLING
26JUL12BALPET,PET,ATP_CHALL,26_50,MIRRORED,CLIMBER,48.5,76,1783848983.0,0.0108,False,,,1783849019,RISING
26JUL12BARREI,BAR,ATP_CHALL,26_50,OPPOSED_UNBALANCED,,7.5,63,1783859548.2,0.0,False,,,1783893570,FALLING
26JUL12BARREI,REI,ATP_CHALL,26_50,OPPOSED_UNBALANCED,,-19.0,31,1783893569.8,0.118,False,,,1783893574,RISING
26JUL12BARVIS,BAR,ATP_CHALL,26_50,MIRRORED,CLIMBER,32.5,84,1783950690.8,0.9988,False,,,,
26JUL12BARVIS,VIS,ATP_CHALL,26_50,MIRRORED,FALLER,-35.0,,,,False,,,,
26JUL12BASABB,ABB,WTA_CHALL,26_50,MIRRORED,FALLER,-49.0,1,1783875526.0,0.9188,True,46,1783872803.549,1783872726,RISING
26JUL12BASABB,BAS,WTA_CHALL,26_50,MIRRORED,CLIMBER,48.5,49,1783873171.9,0.8741,True,52,1783872724.19,1783872723,RISING
26JUL12BINGIL,BIN,ATP_CHALL,26_50,MIRRORED,CLIMBER,36.0,85,1783838239.1,0.4857,False,,,,
26JUL12BINGIL,GIL,ATP_CHALL,26_50,MIRRORED,FALLER,-35.0,15,1783863789.7,0.9919,False,,,,
26JUL12BOOONC,BOO,ATP_CHALL,26_50,MIRRORED,FALLER,-26.5,20,1783970369.9,0.6859,True,23,1784007324.658,1783986285,RISING
26JUL12BOOONC,ONC,ATP_CHALL,26_50,MIRRORED,CLIMBER,25.5,68,1783923346.6,0.3968,True,76,1783991375.136,1783986312,FALLING
26JUL12BORKOU,BOR,ATP_MAIN,26_50,MIRRORED,CLIMBER,26.5,75,1784028538.2,0.0498,False,,,1784035385,RISING
26JUL12BORKOU,KOU,ATP_MAIN,26_50,MIRRORED,FALLER,-26.5,24,1784035383.5,0.9782,False,,,1784035385,FALLING
26JUL12BOSCOP,BOS,ATP_CHALL,26_50,MIRRORED,FALLER,-21.0,28,1783971537.0,0.449,False,,,1783972445,FALLING
26JUL12BOSCOP,COP,ATP_CHALL,26_50,MIRRORED,CLIMBER,21.0,70,1784010895.7,0.9118,True,72,1783972530.934,1783972423,FALLING
26JUL12BOSKOV,BOS,WTA_CHALL,26_50,MIRRORED,CLIMBER,42.5,93,1783847250.0,0.9946,False,,,1783847252,FALLING
26JUL12BOSKOV,KOV,WTA_CHALL,26_50,MIRRORED,FALLER,-43.5,6,1783838800.4,0.6922,False,,,1783847252,RISING
26JUL12BOUVIT,BOU,ATP_CHALL,26_50,MIRRORED,CLIMBER,45.5,86,1783870488.6,0.2964,True,93,1783868412.108,1783868388,FALLING
26JUL12BOUVIT,VIT,ATP_CHALL,26_50,MIRRORED,FALLER,-46.0,1,1783869107.6,0.1745,True,6,1783868793.397,1783868388,FALLING
26JUL12BROBAR,BAR,ATP_CHALL,26_50,MIRRORED,FALLER,-29.0,20,1784043195.1,0.9828,True,23,1784008555.926,1783992030,FALLING
