event,category,bucket,held_leg,fill_cents,exit_band_abs,residency_bid_touch,print_backed
KXATPCHALLENGERMATCH-26JUL12ARNROM,ATP_CHALL,>8h,KXATPCHALLENGERMATCH-26JUL12ARNROM-ARN,,65,False,False
KXATPCHALLENGERMATCH-26JUL12AVEFOR,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL12AVEFOR-AVE,,95,False,False
KXATPCHALLENGERMATCH-26JUL12BARREI,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL12BARREI-REI,,48,False,False
KXATPCHALLENGERMATCH-26JUL12BARVIS,ATP_CHALL,>8h,KXATPCHALLENGERMATCH-26JUL12BARVIS-BAR,,88,False,False
KXATPCHALLENGERMATCH-26JUL12BOOONC,ATP_CHALL,>8h,KXATPCHALLENGERMATCH-26JUL12BOOONC-ONC,,65,True,True
KXATPCHALLENGERMATCH-26JUL12BROBAR,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL12BROBAR-BAR,,52,False,False
KXATPCHALLENGERMATCH-26JUL12DEGEE,ATP_CHALL,>8h,KXATPCHALLENGERMATCH-26JUL12DEGEE-DE,,41,True,True
KXATPCHALLENGERMATCH-26JUL12DROPIR,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL12DROPIR-PIR,,99,False,False
KXATPCHALLENGERMATCH-26JUL12FANBIG,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL12FANBIG-BIG,,91,False,False
KXATPCHALLENGERMATCH-26JUL12FEAWAL,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL12FEAWAL-WAL,,65,False,False
KXATPCHALLENGERMATCH-26JUL12GANJAN,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL12GANJAN-JAN,,97,False,False
KXATPCHALLENGERMATCH-26JUL12GIESHE,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL12GIESHE-SHE,,90,False,True
KXATPCHALLENGERMATCH-26JUL12HECISO,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL12HECISO-HEC,,68,False,False
KXATPCHALLENGERMATCH-26JUL12HOUJOR,ATP_CHALL,>8h,KXATPCHALLENGERMATCH-26JUL12HOUJOR-HOU,,99,False,False
KXATPCHALLENGERMATCH-26JUL12LAGTEP,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL12LAGTEP-LAG,,79,False,False
KXATPCHALLENGERMATCH-26JUL12MARFOR,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL12MARFOR-FOR,,48,False,False
KXATPCHALLENGERMATCH-26JUL12MIYKUZ,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL12MIYKUZ-KUZ,,43,False,False
KXATPCHALLENGERMATCH-26JUL12MOLDON,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL12MOLDON-DON,,38,False,False
KXATPCHALLENGERMATCH-26JUL12OUAFER,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL12OUAFER-FER,,12,False,False
KXATPCHALLENGERMATCH-26JUL12PEAKIR,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL12PEAKIR-PEA,,47,False,False
KXATPCHALLENGERMATCH-26JUL12SALARN,ATP_CHALL,<=8h,KXATPCHALLENGERMATCH-26JUL12SALARN-ARN,,89,False,False
KXATPCHALLENGERMATCH-26JUL12SANSCH,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL12SANSCH-SCH,,69,False,False
KXATPCHALLENGERMATCH-26JUL12TROHOR,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL12TROHOR-TRO,,95,False,True
KXATPCHALLENGERMATCH-26JUL12YIBMAL,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL12YIBMAL-YIB,,87,False,False
KXATPCHALLENGERMATCH-26JUL12YOUDLI,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL12YOUDLI-DLI,,80,False,False
KXATPCHALLENGERMATCH-26JUL13ARSDAL,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL13ARSDAL-DAL,,84,False,False
KXATPCHALLENGERMATCH-26JUL13ARSMAR,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL13ARSMAR-MAR,,79,False,False
KXATPCHALLENGERMATCH-26JUL13FORMAK,ATP_CHALL,<=1h,KXATPCHALLENGERMATCH-26JUL13FORMAK-FOR,,66,False,True
KXATPCHALLENGERMATCH-26JUL13FORRAF,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL13FORRAF-FOR,,88,False,False
KXATPCHALLENGERMATCH-26JUL13GIUALM,ATP_CHALL,<=2h,KXATPCHALLENGERMATCH-26JUL13GIUALM-ALM,,83,False,False
KXATPCHALLENGERMATCH-26JUL13HOLWAT,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL13HOLWAT-HOL,,67,False,False
KXATPCHALLENGERMATCH-26JUL13INCSTE,ATP_CHALL,<=4h,KXATPCHALLENGERMATCH-26JUL13INCSTE-INC,,85,False,False
