code,category,state,offer_margin_c,band,bell_source,reason_join,leg_reasons
26JUL12ALTGAS,ATP_MAIN,PARTIAL_FOR_REASON,4,MAIN,MACHINE_RECEIPT,STOOD_TOO_DEEP,"{""ALT"": ""STOOD_TOO_DEEP""}"
26JUL12ALVVAN,ATP_CHALL,NEITHER_FOR_REASON,27,MAIN,TAPE_INFERENCE,STOOD_TOO_DEEP,"{""ALV"": ""STOOD_TOO_DEEP"", ""VAN"": ""STOOD_TOO_DEEP""}"
26JUL12AVEFOR,ATP_CHALL,PARTIAL_FOR_REASON,6,MAIN,TAPE_INFERENCE,STOOD_TOO_DEEP,"{""FOR"": ""STOOD_TOO_DEEP""}"
26JUL12AZKLEO,ATP_CHALL,NEITHER_FOR_REASON,4,MAIN,TAPE_INFERENCE,STOOD_TOO_DEEP,"{""AZK"": ""STOOD_TOO_DEEP"", ""LEO"": ""STOOD_TOO_DEEP""}"
26JUL12BALPET,ATP_CHALL,PARTIAL_FOR_REASON,1,THIN,TAPE_INFERENCE,STOOD_TOO_DEEP,"{""BAL"": ""STOOD_TOO_DEEP""}"
26JUL12BARVIS,ATP_CHALL,PARTIAL_FOR_REASON,4,MAIN,TAPE_INFERENCE,STOOD_TOO_DEEP,"{""BAR"": ""STOOD_TOO_DEEP""}"
26JUL12BOOONC,ATP_CHALL,NEITHER_FOR_REASON,12,MAIN,TAPE_INFERENCE,STOOD_ELSEWHERE+STOOD_TOO_DEEP,"{""BOO"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_NO_VALID_CREDIT)"", ""ONC"": ""STOOD_TOO_DEEP""}"
26JUL12BOSCOP,ATP_CHALL,PARTIAL_FOR_REASON,2,MAIN,MACHINE_RECEIPT,STOOD_TOO_DEEP,"{""COP"": ""STOOD_TOO_DEEP""}"
26JUL12BOSKOV,WTA_CHALL,PARTIAL_FOR_REASON,1,THIN,MACHINE_RECEIPT,STOOD_TOO_DEEP,"{""KOV"": ""STOOD_TOO_DEEP""}"
26JUL12BOUVIT,ATP_CHALL,PARTIAL_FOR_REASON,3,MAIN,TAPE_INFERENCE,STOOD_TOO_DEEP,"{""VIT"": ""STOOD_TOO_DEEP""}"
26JUL12BROBAR,ATP_CHALL,PARTIAL_FOR_REASON,9,MAIN,MACHINE_RECEIPT,STOOD_TOO_DEEP,"{""BRO"": ""STOOD_TOO_DEEP""}"
26JUL12BROHUA,ATP_CHALL,PARTIAL_FOR_REASON,9,MAIN,TAPE_INFERENCE,LICENSE_BLOCKED(MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED),"{""BRO"": ""LICENSE_BLOCKED(MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED)""}"
26JUL12BUEMAR,ATP_MAIN,PARTIAL_FOR_REASON,3,MAIN,TAPE_INFERENCE,STOOD_TOO_DEEP,"{""BUE"": ""STOOD_TOO_DEEP""}"
26JUL12CECOLI,ATP_MAIN,PARTIAL_FOR_REASON,5,MAIN,TAPE_INFERENCE,STOOD_TOO_DEEP,"{""CEC"": ""STOOD_TOO_DEEP""}"
26JUL12CHAJON,ATP_CHALL,PARTIAL_FOR_REASON,2,MAIN,TAPE_INFERENCE,STOOD_TOO_DEEP,"{""JON"": ""STOOD_TOO_DEEP""}"
26JUL12CHISEA,ATP_CHALL,PARTIAL_FOR_REASON,3,MAIN,TAPE_INFERENCE,STOOD_TOO_DEEP,"{""SEA"": ""STOOD_TOO_DEEP""}"
26JUL12CHOGAS,ATP_CHALL,PARTIAL_FOR_REASON,1,THIN,MACHINE_RECEIPT,STOOD_TOO_DEEP,"{""CHO"": ""STOOD_TOO_DEEP""}"
26JUL12CINHEM,ATP_MAIN,PARTIAL_FOR_REASON,6,MAIN,TAPE_INFERENCE,STOOD_TOO_DEEP,"{""HEM"": ""STOOD_TOO_DEEP""}"
26JUL12CRIBAS,ATP_CHALL,PARTIAL_FOR_REASON,6,MAIN,TAPE_INFERENCE,STOOD_TOO_DEEP,"{""CRI"": ""STOOD_TOO_DEEP""}"
26JUL12DAHBAE,ATP_MAIN,PARTIAL_FOR_REASON,4,MAIN,MACHINE_RECEIPT,STOOD_ELSEWHERE,"{""DAH"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_NO_VALID_CREDIT)""}"
26JUL12DEGEE,ATP_CHALL,PARTIAL_FOR_REASON,15,MAIN,MACHINE_RECEIPT,STOOD_TOO_DEEP,"{""DE"": ""STOOD_TOO_DEEP""}"
26JUL12DEJGAU,ATP_MAIN,PARTIAL_FOR_REASON,3,MAIN,TAPE_INFERENCE,LICENSE_BLOCKED(MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED),"{""GAU"": ""LICENSE_BLOCKED(MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED)""}"
26JUL12DELMAK,ATP_CHALL,PARTIAL_FOR_REASON,3,MAIN,TAPE_INFERENCE,STOOD_TOO_DEEP,"{""MAK"": ""STOOD_TOO_DEEP""}"
26JUL12DEVGON,ATP_CHALL,PARTIAL_FOR_REASON,1,THIN,MACHINE_RECEIPT,STOOD_TOO_DEEP,"{""GON"": ""STOOD_TOO_DEEP""}"
26JUL12DIEMON,ATP_MAIN,PARTIAL_FOR_REASON,7,MAIN,TAPE_INFERENCE,LICENSE_BLOCKED(STABILITY_ONSET_NOT_REACHED),"{""MON"": ""LICENSE_BLOCKED(STABILITY_ONSET_NOT_REACHED)""}"
26JUL12DODCAR,ATP_MAIN,PARTIAL_FOR_REASON,2,MAIN,TAPE_INFERENCE,LICENSE_BLOCKED(MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED),"{""CAR"": ""LICENSE_BLOCKED(MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED)""}"
26JUL12DODDEL,ATP_CHALL,PARTIAL_FOR_REASON,3,MAIN,TAPE_INFERENCE,STOOD_TOO_DEEP,"{""DEL"": ""STOOD_TOO_DEEP""}"
26JUL12DROBLO,ATP_MAIN,NEITHER_FOR_REASON,9,MAIN,MACHINE_RECEIPT,STOOD_ELSEWHERE+STOOD_TOO_DEEP,"{""BLO"": ""STOOD_TOO_DEEP"", ""DRO"": ""STOOD_ELSEWHERE(AT_OR_ABOVE_NO_VALID_CREDIT)""}"
26JUL12ECHMUN,ATP_CHALL,PARTIAL_FOR_REASON,1,THIN,TAPE_INFERENCE,STOOD_TOO_DEEP,"{""MUN"": ""STOOD_TOO_DEEP""}"
26JUL12FANBIG,ATP_CHALL,PARTIAL_FOR_REASON,3,MAIN,TAPE_INFERENCE,LICENSE_BLOCKED(MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED),"{""FAN"": ""LICENSE_BLOCKED(MACHINE_READ_LEVEL_AUTHORITY_NOT_EARNED)""}"
26JUL12FEAWAL,ATP_CHALL,PARTIAL_FOR_REASON,1,THIN,TAPE_INFERENCE,STOOD_TOO_DEEP,"{""WAL"": ""STOOD_TOO_DEEP""}"
