ts_epoch,ts_et,t_minus_bell_s,leg,row_type,best_bid,bid_sz,best_ask,ask_sz,mid,print_price,print_size,taker_side,trade_id
1783809087,2026-07-11 18:31:27,51513,KRA,BBO,4,500,95,7,49.5,,,,
1783809087,2026-07-11 18:31:27,51513,LOR,BBO,4,500,95,7,49.5,,,,
1783810310,2026-07-11 18:51:50,50290,KRA,BBO,5,10,95,7,50.0,,,,
1783810310,2026-07-11 18:51:50,50290,LOR,BBO,5,10,95,7,50.0,,,,
1783810443,2026-07-11 18:54:03,50157,KRA,BBO,83,500,95,7,89.0,,,,
1783810443,2026-07-11 18:54:03,50157,KRA,BBO,83,500,93,500,88.0,,,,
1783810443,2026-07-11 18:54:03,50157,LOR,BBO,7,500,95,7,51.0,,,,
1783810443,2026-07-11 18:54:03,50157,LOR,BBO,7,500,17,500,12.0,,,,
1783814565,2026-07-11 20:02:45,46035,KRA,BBO,84,100,93,500,88.5,,,,
1783814565,2026-07-11 20:02:45,46035,LOR,BBO,7,500,16,200,11.5,,,,
1783814573,2026-07-11 20:02:53,46027,KRA,BBO,84,100,95,239,89.5,,,,
1783814573,2026-07-11 20:02:53,46027,LOR,BBO,5,231,16,200,10.5,,,,
1783814574,2026-07-11 20:02:54,46026,LOR,BBO,5,231,31,1752,18.0,,,,
1783814574,2026-07-11 20:02:54,46026,LOR,BBO,5,231,17,200,11.0,,,,
1783814575,2026-07-11 20:02:55,46025,LOR,BBO,5,231,31,1752,18.0,,,,
1783814576,2026-07-11 20:02:56,46024,KRA,BBO,84,100,92,500,88.0,,,,
1783814576,2026-07-11 20:02:56,46024,LOR,BBO,8,500,31,1952,19.5,,,,
1783814576,2026-07-11 20:02:56,46024,LOR,BBO,8,500,18,500,13.0,,,,
1783814646,2026-07-11 20:04:06,45954,KRA,BBO,83,250,92,500,87.5,,,,
1783814699,2026-07-11 20:04:59,45901,KRA,BBO,83,350,95,15,89.0,,,,
1783814699,2026-07-11 20:04:59,45901,LOR,BBO,4,501,18,500,11.0,,,,
1783814699,2026-07-11 20:04:59,45901,LOR,BBO,4,501,31,1952,17.5,,,,
1783814701,2026-07-11 20:05:01,45899,KRA,BBO,83,850,93,500,88.0,,,,
1783814701,2026-07-11 20:05:01,45899,LOR,BBO,7,500,31,1952,19.0,,,,
1783814701,2026-07-11 20:05:01,45899,LOR,BBO,7,500,17,500,12.0,,,,
1783814702,2026-07-11 20:05:02,45898,KRA,BBO,84,100,93,500,88.5,,,,
1783814898,2026-07-11 20:08:18,45702,LOR,BBO,7,500,16,200,11.5,,,,
1783817242,2026-07-11 20:47:22,43358,KRA,BBO,88,126,93,500,90.5,,,,
1783817242,2026-07-11 20:47:22,43358,KRA,BBO,84,100,93,500,88.5,,,,
1783817242,2026-07-11 20:47:22,43358,LOR,BBO,7,500,11,126,9.0,,,,
1783817242,2026-07-11 20:47:22,43358,LOR,BBO,7,500,16,200,11.5,,,,
1783817251,2026-07-11 20:47:31,43349,LOR,BBO,7,500,15,30,11.0,,,,
1783817264,2026-07-11 20:47:44,43336,KRA,BBO,84,849,95,45,89.5,,,,
1783817264,2026-07-11 20:47:44,43336,LOR,BBO,4,501,15,30,9.5,,,,
1783817265,2026-07-11 20:47:45,43335,LOR,BBO,4,501,14,250,9.0,,,,
1783817266,2026-07-11 20:47:46,43334,KRA,BBO,88,500,95,45,91.5,,,,
1783817266,2026-07-11 20:47:46,43334,LOR,BBO,4,501,12,500,8.0,,,,
1783817275,2026-07-11 20:47:55,43325,LOR,BBO,4,501,11,29,7.5,,,,
1783818123,2026-07-11 21:02:03,42477,LOR,BBO,4,501,8,100,6.0,,,,
1783818852,2026-07-11 21:14:12,41748,KRA,BBO,89,111,95,45,92.0,,,,
1783818853,2026-07-11 21:14:13,41747,LOR,BBO,4,501,7,426,5.5,,,,
1783818912,2026-07-11 21:15:12,41688,LOR,BBO,4,501,8,28,6.0,,,,
1783818969,2026-07-11 21:16:09,41631,LOR,BBO,4,501,7,100,5.5,,,,
1783818973,2026-07-11 21:16:13,41627,KRA,BBO,92,100,95,45,93.5,,,,
1783818999,2026-07-11 21:16:39,41601,KRA,BBO,93,106,95,45,94.0,,,,
1783818999,2026-07-11 21:16:39,41601,LOR,BBO,4,501,6,421,5.0,,,,
1783819368,2026-07-11 21:22:48,41232,KRA,BBO,92,108,95,45,93.5,,,,
1783819368,2026-07-11 21:22:48,41232,KRA,BBO,88,500,95,45,91.5,,,,
1783819368,2026-07-11 21:22:48,41232,KRA,BBO,89,111,95,45,92.0,,,,
1783819368,2026-07-11 21:22:48,41232,LOR,BBO,4,501,7,426,5.5,,,,
1783819368,2026-07-11 21:22:48,41232,LOR,BBO,4,501,8,28,6.0,,,,
1783819407,2026-07-11 21:23:27,41193,LOR,BBO,4,501,6,100,5.0,,,,
1783819409,2026-07-11 21:23:29,41191,KRA,BBO,93,100,95,45,94.0,,,,
1783819428,2026-07-11 21:23:48,41172,KRA,BBO,94,105,95,45,94.5,,,,
1783819756,2026-07-11 21:29:16,40844,KRA,BBO,93,146,95,45,94.0,,,,
1783819756,2026-07-11 21:29:16,40844,KRA,BBO,89,111,95,45,92.0,,,,
1783819868,2026-07-11 21:31:08,40732,KRA,BBO,94,100,95,45,94.5,,,,
1783820261,2026-07-11 21:37:41,40339,LOR,PRINT,,,,,,6,1.0,yes,70391746-cd95-4ac8-94a3-eebb997fe443
1783822080,2026-07-11 22:08:00,38520,LOR,BBO,4,501,5,938,4.5,,,,
1783822080,2026-07-11 22:08:00,38520,LOR,BBO,4,501,6,2884,5.0,,,,
1783822140,2026-07-11 22:09:00,38460,LOR,BBO,4,501,5,938,4.5,,,,
1783828521,2026-07-11 23:55:21,32079,LOR,PRINT,,,,,,5,142.0,yes,7c67bfe4-59b2-7515-279c-7020ff12c65f
1783828958,2026-07-12 00:02:38,31642,LOR,PRINT,,,,,,5,71.0,yes,cfc0d490-4e1e-798d-be2d-666af31ba717
1783829404,2026-07-12 00:10:04,31196,LOR,PRINT,,,,,,5,93.76,yes,ef672fd9-ed8e-737d-51e2-03653038a19f
1783829416,2026-07-12 00:10:16,31184,LOR,PRINT,,,,,,5,37.5,yes,407b5cff-b0c6-41d9-fd11-b1aa811eb6ef
1783829585,2026-07-12 00:13:05,31015,LOR,PRINT,,,,,,5,14.0,yes,49767524-88ee-7b05-4fd7-fc3c4260e8d3
1783830035,2026-07-12 00:20:35,30565,LOR,PRINT,,,,,,5,14.0,yes,360e820e-c0c2-7fc5-2d28-08ee282a38cf
1783830838,2026-07-12 00:33:58,29762,LOR,PRINT,,,,,,5,42.0,yes,a8cfc939-76c6-4349-94cb-7fd9c9a58527
1783831007,2026-07-12 00:36:47,29593,LOR,PRINT,,,,,,5,71.0,yes,bba0c23a-7dbe-6081-c307-572b85696933
1783831214,2026-07-12 00:40:14,29386,KRA,PRINT,,,,,,95,1.04,yes,98a9b204-50be-7f0e-b4f9-141f996ac31d
1783831712,2026-07-12 00:48:32,28888,LOR,PRINT,,,,,,5,11.25,yes,33259c2b-6d36-7a01-cde8-f78cf8185c0f
1783831760,2026-07-12 00:49:20,28840,LOR,PRINT,,,,,,5,36.0,yes,8294bbe1-bab2-424d-4c82-f154eb975f03
1783831838,2026-07-12 00:50:38,28762,LOR,PRINT,,,,,,5,2.0,yes,31ad8aa6-c762-4b3d-4694-1dd7847f9fb7
1783831844,2026-07-12 00:50:44,28756,KRA,PRINT,,,,,,95,0.19,yes,277e8257-5cb6-610a-315d-59442a530a41
1783832834,2026-07-12 01:07:14,27766,LOR,PRINT,,,,,,5,79.0,yes,89075915-3766-737d-9f0c-74209b5544ab
1783833301,2026-07-12 01:15:01,27299,LOR,PRINT,,,,,,5,14.0,yes,0fe963f4-1116-783d-90b5-aa39deefebd7
1783834333,2026-07-12 01:32:13,26267,LOR,PRINT,,,,,,5,20.0,yes,73854f9f-58e2-7139-5012-7c9f5253fda7
1783835351,2026-07-12 01:49:11,25249,LOR,PRINT,,,,,,5,18.75,yes,d77facdf-8e8e-6c05-edaf-06a107d05107
1783836502,2026-07-12 02:08:22,24098,KRA,PRINT,,,,,,95,1.96,yes,c9d17ef4-eb1a-4607-6e9e-66161365a8fc
1783836502,2026-07-12 02:08:22,24098,KRA,PRINT,,,,,,95,5.77,yes,9d130fdb-2a9a-4826-5c9b-48453ed41755
1783836502,2026-07-12 02:08:22,24098,KRA,PRINT,,,,,,95,8.0,yes,4d901410-d851-4c94-7dc7-34d978af4723
1783838239,2026-07-12 02:37:19,22361,LOR,PRINT,,,,,,5,28.0,yes,b22d224a-5cda-58bd-d2eb-f0fcf29f400b
1783838412,2026-07-12 02:40:12,22188,LOR,PRINT,,,,,,4,0.01,no,b0859141-6ede-67d8-4cec-d71f296291be
1783842084,2026-07-12 03:41:24,18516,LOR,PRINT,,,,,,5,11.0,yes,f66f6dc1-edfe-70a1-366e-cd5d2ce7a877
1783842084,2026-07-12 03:41:24,18516,LOR,PRINT,,,,,,5,26.5,yes,8a3d3283-f4da-7995-1a2b-a2ef8bb22964
1783848036,2026-07-12 05:20:36,12564,LOR,PRINT,,,,,,5,71.0,yes,d7426a92-b73d-7026-10f9-54b009a38007
1783848410,2026-07-12 05:26:50,12190,LOR,PRINT,,,,,,5,100.0,yes,bc432b4c-7ba2-6584-eb72-08f5c0a8232f
1783848410,2026-07-12 05:26:50,12190,LOR,PRINT,,,,,,5,29.0,yes,5408db17-0861-61c2-f170-3846ebf77aef
1783848410,2026-07-12 05:26:50,12190,LOR,PRINT,,,,,,5,71.04,yes,41eeef00-d457-6995-fe30-082265d73426
1783848410,2026-07-12 05:26:50,12190,LOR,PRINT,,,,,,5,100.0,yes,285ff1df-0c19-6f90-f56c-18c032ece1bc
1783848493,2026-07-12 05:28:13,12107,LOR,PRINT,,,,,,5,58.56,yes,f6eef0e9-47f3-67d9-24f2-95d98bb89230
1783848493,2026-07-12 05:28:13,12107,LOR,PRINT,,,,,,5,28.96,yes,ca3b01d9-508f-60b5-2f72-529fdfabd3da
1783848493,2026-07-12 05:28:13,12107,LOR,PRINT,,,,,,5,100.0,yes,08a169c1-4ae3-6d4f-1de8-b0f778664f3b
