ts_epoch,ts_et,t_minus_bell_s,leg,row_type,best_bid,bid_sz,best_ask,ask_sz,mid,print_price,print_size,taker_side,trade_id
1783830737,2026-07-12 00:32:17,48463,KUH,BBO,5,200,95,207,50.0,,,,
1783830737,2026-07-12 00:32:17,48463,POL,BBO,4,500,95,7,49.5,,,,
1783830740,2026-07-12 00:32:20,48460,KUH,BBO,5,200,94,416,49.5,,,,
1783830740,2026-07-12 00:32:20,48460,POL,BBO,4,500,94,416,49.0,,,,
1783830743,2026-07-12 00:32:23,48457,KUH,BBO,5,200,93,200,49.0,,,,
1783830752,2026-07-12 00:32:32,48448,KUH,BBO,5,200,92,313,48.5,,,,
1783830753,2026-07-12 00:32:33,48447,KUH,BBO,5,200,91,200,48.0,,,,
1783830765,2026-07-12 00:32:45,48435,KUH,BBO,5,200,90,250,47.5,,,,
1783830767,2026-07-12 00:32:47,48433,KUH,BBO,5,200,89,200,47.0,,,,
1783830777,2026-07-12 00:32:57,48423,KUH,BBO,4,500,89,200,46.5,,,,
1783830777,2026-07-12 00:32:57,48423,KUH,BBO,5,200,89,200,47.0,,,,
1783830777,2026-07-12 00:32:57,48423,KUH,BBO,5,200,88,208,46.5,,,,
1783830778,2026-07-12 00:32:58,48422,KUH,BBO,5,200,87,200,46.0,,,,
1783830789,2026-07-12 00:33:09,48411,KUH,BBO,5,200,86,179,45.5,,,,
1783830790,2026-07-12 00:33:10,48410,KUH,BBO,5,200,85,200,45.0,,,,
1783830802,2026-07-12 00:33:22,48398,KUH,BBO,5,200,84,157,44.5,,,,
1783830804,2026-07-12 00:33:24,48396,KUH,BBO,5,200,83,200,44.0,,,,
1783830814,2026-07-12 00:33:34,48386,KUH,BBO,5,200,82,139,43.5,,,,
1783830814,2026-07-12 00:33:34,48386,KUH,BBO,5,200,81,200,43.0,,,,
1783830837,2026-07-12 00:33:57,48363,KUH,BBO,4,500,81,200,42.5,,,,
1783830837,2026-07-12 00:33:57,48363,KUH,BBO,5,200,81,200,43.0,,,,
1783830839,2026-07-12 00:33:59,48361,KUH,BBO,5,200,80,125,42.5,,,,
1783830839,2026-07-12 00:33:59,48361,KUH,BBO,5,200,79,200,42.0,,,,
1783830840,2026-07-12 00:34:00,48360,POL,BBO,7,50,94,416,50.5,,,,
1783830851,2026-07-12 00:34:11,48349,KUH,BBO,5,200,78,113,41.5,,,,
1783830853,2026-07-12 00:34:13,48347,KUH,BBO,5,200,77,200,41.0,,,,
1783830863,2026-07-12 00:34:23,48337,KUH,BBO,5,200,76,104,40.5,,,,
1783830864,2026-07-12 00:34:24,48336,KUH,BBO,5,200,75,200,40.0,,,,
1783830875,2026-07-12 00:34:35,48325,KUH,BBO,5,200,74,96,39.5,,,,
1783830876,2026-07-12 00:34:36,48324,KUH,BBO,5,200,73,200,39.0,,,,
1783830887,2026-07-12 00:34:47,48313,KUH,BBO,5,200,72,90,38.5,,,,
1783830890,2026-07-12 00:34:50,48310,KUH,BBO,5,200,71,200,38.0,,,,
1783830897,2026-07-12 00:34:57,48303,KUH,BBO,4,500,71,200,37.5,,,,
1783830897,2026-07-12 00:34:57,48303,KUH,BBO,5,200,71,200,38.0,,,,
1783830906,2026-07-12 00:35:06,48294,KUH,BBO,5,200,70,83,37.5,,,,
1783830906,2026-07-12 00:35:06,48294,KUH,BBO,5,200,69,200,37.0,,,,
1783830918,2026-07-12 00:35:18,48282,KUH,BBO,5,200,68,79,36.5,,,,
1783830919,2026-07-12 00:35:19,48281,KUH,BBO,5,200,67,200,36.0,,,,
1783830931,2026-07-12 00:35:31,48269,KUH,BBO,5,200,66,74,35.5,,,,
1783830957,2026-07-12 00:35:57,48243,KUH,BBO,4,500,66,274,35.0,,,,
1783830958,2026-07-12 00:35:58,48242,KUH,BBO,5,200,66,274,35.5,,,,
1783831018,2026-07-12 00:36:58,48182,KUH,BBO,4,500,66,74,35.0,,,,
1783831018,2026-07-12 00:36:58,48182,KUH,BBO,5,200,66,74,35.5,,,,
1783831078,2026-07-12 00:37:58,48122,KUH,BBO,4,500,66,274,35.0,,,,
1783831079,2026-07-12 00:37:59,48121,KUH,BBO,5,200,66,74,35.5,,,,
1783831139,2026-07-12 00:38:59,48061,KUH,BBO,4,500,66,74,35.0,,,,
1783831141,2026-07-12 00:39:01,48059,KUH,BBO,5,200,66,74,35.5,,,,
1783831173,2026-07-12 00:39:33,48027,KUH,BBO,16,500,66,274,41.0,,,,
1783831173,2026-07-12 00:39:33,48027,KUH,BBO,16,500,26,500,21.0,,,,
1783831173,2026-07-12 00:39:33,48027,POL,BBO,74,500,94,416,84.0,,,,
1783831173,2026-07-12 00:39:33,48027,POL,BBO,74,500,84,500,79.0,,,,
1783831176,2026-07-12 00:39:36,48024,KUH,BBO,16,500,25,200,20.5,,,,
1783831188,2026-07-12 00:39:48,48012,KUH,BBO,16,500,24,33,20.0,,,,
1783831188,2026-07-12 00:39:48,48012,POL,BBO,74,500,83,39,78.5,,,,
1783831207,2026-07-12 00:40:07,47993,KUH,BBO,16,500,23,25,19.5,,,,
1783831244,2026-07-12 00:40:44,47956,KUH,BBO,16,500,22,25,19.0,,,,
1783831409,2026-07-12 00:43:29,47791,POL,PRINT,,,,,,83,1.0,yes,14cf00f5-1476-6ba1-8b8b-23b78e1c2746
1783833819,2026-07-12 01:23:39,45381,KUH,BBO,17,800,22,25,19.5,,,,
1783833819,2026-07-12 01:23:39,45381,POL,BBO,75,800,83,84,79.0,,,,
1783833819,2026-07-12 01:23:39,45381,POL,BBO,76,144,83,884,79.5,,,,
1783833826,2026-07-12 01:23:46,45374,KUH,BBO,17,865,21,5,19.0,,,,
1783834179,2026-07-12 01:29:39,45021,POL,BBO,77,800,83,884,80.0,,,,
1783834539,2026-07-12 01:35:39,44661,POL,BBO,78,800,83,884,80.5,,,,
1783834899,2026-07-12 01:41:39,44301,KUH,BBO,17,866,20,800,18.5,,,,
1783834899,2026-07-12 01:41:39,44301,POL,BBO,79,800,83,884,81.0,,,,
1783835069,2026-07-12 01:44:29,44131,POL,BBO,80,203,83,884,81.5,,,,
1783837092,2026-07-12 02:18:12,42108,POL,BBO,80,755,82,800,81.0,,,,
1783837211,2026-07-12 02:20:11,41989,POL,BBO,80,755,83,84,81.5,,,,
1783838365,2026-07-12 02:39:25,40835,POL,PRINT,,,,,,83,23.81,yes,81bcba84-2efa-72fd-762d-21ebaeb931ba
1783840558,2026-07-12 03:15:58,38642,POL,PRINT,,,,,,83,27.67,yes,fefa35e2-a1e4-63b1-e63c-8e72bdc39e01
1783840558,2026-07-12 03:15:58,38642,POL,PRINT,,,,,,83,14.0,yes,adb22669-efda-6db9-c401-90f30458f206
1783851290,2026-07-12 06:14:50,27910,KUH,BBO,18,100,20,2876,19.0,,,,
1783851290,2026-07-12 06:14:50,27910,POL,BBO,80,1924,82,100,81.0,,,,
1783851326,2026-07-12 06:15:26,27874,KUH,BBO,17,1188,20,2876,18.5,,,,
1783851331,2026-07-12 06:15:31,27869,POL,BBO,80,1924,83,2863,81.5,,,,
1783851354,2026-07-12 06:15:54,27846,KUH,BBO,18,100,20,2876,19.0,,,,
1783851376,2026-07-12 06:16:16,27824,POL,BBO,80,1924,82,100,81.0,,,,
1783851386,2026-07-12 06:16:26,27814,KUH,BBO,17,1188,20,2876,18.5,,,,
1783851389,2026-07-12 06:16:29,27811,POL,BBO,80,1924,83,2863,81.5,,,,
1783851420,2026-07-12 06:17:00,27780,KUH,BBO,18,100,20,2876,19.0,,,,
1783851420,2026-07-12 06:17:00,27780,KUH,BBO,17,1188,20,2876,18.5,,,,
1783851439,2026-07-12 06:17:19,27761,POL,BBO,80,1800,82,747,81.0,,,,
1783851440,2026-07-12 06:17:20,27760,KUH,BBO,18,187,20,2381,19.0,,,,
1783851522,2026-07-12 06:18:42,27678,POL,BBO,80,1800,81,100,80.5,,,,
1783851522,2026-07-12 06:18:42,27678,POL,BBO,80,1800,82,747,81.0,,,,
1783851552,2026-07-12 06:19:12,27648,POL,BBO,80,1800,81,100,80.5,,,,
1783851559,2026-07-12 06:19:19,27641,KUH,BBO,19,100,20,2381,19.5,,,,
1783851566,2026-07-12 06:19:26,27634,KUH,BBO,18,193,20,2381,19.0,,,,
1783851566,2026-07-12 06:19:26,27634,POL,BBO,80,1800,82,753,81.0,,,,
1783851679,2026-07-12 06:21:19,27521,KUH,BBO,19,100,20,2162,19.5,,,,
1783851679,2026-07-12 06:21:19,27521,POL,BBO,80,1800,81,100,80.5,,,,
1783851685,2026-07-12 06:21:25,27515,KUH,BBO,18,193,20,2162,19.0,,,,
1783851685,2026-07-12 06:21:25,27515,POL,BBO,80,1800,82,753,81.0,,,,
1783851727,2026-07-12 06:22:07,27473,KUH,BBO,19,100,20,2162,19.5,,,,
1783851727,2026-07-12 06:22:07,27473,POL,BBO,80,1800,81,100,80.5,,,,
1783851746,2026-07-12 06:22:26,27454,KUH,BBO,18,207,20,2162,19.0,,,,
1783851750,2026-07-12 06:22:30,27450,POL,BBO,80,1800,82,753,81.0,,,,
1783851777,2026-07-12 06:22:57,27423,KUH,BBO,19,100,20,2162,19.5,,,,
1783851777,2026-07-12 06:22:57,27423,POL,BBO,80,1800,81,100,80.5,,,,
1783851806,2026-07-12 06:23:26,27394,KUH,BBO,18,193,20,2162,19.0,,,,
1783851809,2026-07-12 06:23:29,27391,POL,BBO,80,1800,82,753,81.0,,,,
1783851843,2026-07-12 06:24:03,27357,KUH,BBO,19,100,20,806,19.5,,,,
1783851843,2026-07-12 06:24:03,27357,POL,BBO,80,1139,81,100,80.5,,,,
1783851865,2026-07-12 06:24:25,27335,KUH,BBO,18,193,20,806,19.0,,,,
1783851868,2026-07-12 06:24:28,27332,POL,BBO,80,1139,82,753,81.0,,,,
1783851905,2026-07-12 06:25:05,27295,KUH,BBO,19,100,20,806,19.5,,,,
1783851905,2026-07-12 06:25:05,27295,POL,BBO,80,1139,81,100,80.5,,,,
1783851925,2026-07-12 06:25:25,27275,KUH,BBO,18,193,20,806,19.0,,,,
1783851927,2026-07-12 06:25:27,27273,POL,BBO,80,1139,82,753,81.0,,,,
1783851972,2026-07-12 06:26:12,27228,KUH,BBO,19,100,20,806,19.5,,,,
1783851972,2026-07-12 06:26:12,27228,POL,BBO,80,1139,81,100,80.5,,,,
1783851985,2026-07-12 06:26:25,27215,KUH,BBO,18,193,20,806,19.0,,,,
1783851986,2026-07-12 06:26:26,27214,POL,BBO,80,1139,82,753,81.0,,,,
1783852024,2026-07-12 06:27:04,27176,KUH,BBO,19,100,20,806,19.5,,,,
1783852024,2026-07-12 06:27:04,27176,POL,BBO,80,1139,81,100,80.5,,,,
1783852078,2026-07-12 06:27:58,27122,KUH,BBO,18,193,20,806,19.0,,,,
1783852081,2026-07-12 06:28:01,27119,POL,BBO,80,1139,82,753,81.0,,,,
1783852098,2026-07-12 06:28:18,27102,KUH,BBO,19,100,20,806,19.5,,,,
1783852110,2026-07-12 06:28:30,27090,POL,BBO,80,1139,81,100,80.5,,,,
1783852138,2026-07-12 06:28:58,27062,KUH,BBO,18,193,20,806,19.0,,,,
1783852141,2026-07-12 06:29:01,27059,POL,BBO,80,1139,82,753,81.0,,,,
1783852156,2026-07-12 06:29:16,27044,KUH,BBO,19,100,20,806,19.5,,,,
1783852169,2026-07-12 06:29:29,27031,POL,BBO,80,1139,81,100,80.5,,,,
1783852198,2026-07-12 06:29:58,27002,KUH,BBO,18,193,20,806,19.0,,,,
1783852202,2026-07-12 06:30:02,26998,POL,BBO,80,1139,82,753,81.0,,,,
1783852222,2026-07-12 06:30:22,26978,KUH,BBO,19,100,20,806,19.5,,,,
1783852230,2026-07-12 06:30:30,26970,POL,BBO,80,1139,81,100,80.5,,,,
1783852258,2026-07-12 06:30:58,26942,KUH,BBO,18,193,20,806,19.0,,,,
1783852261,2026-07-12 06:31:01,26939,POL,BBO,80,1139,82,753,81.0,,,,
1783852277,2026-07-12 06:31:17,26923,KUH,BBO,19,100,20,1436,19.5,,,,
1783852289,2026-07-12 06:31:29,26911,POL,BBO,80,1139,81,100,80.5,,,,
1783852318,2026-07-12 06:31:58,26882,KUH,BBO,18,193,20,1436,19.0,,,,
1783852321,2026-07-12 06:32:01,26879,POL,BBO,80,1139,82,753,81.0,,,,
1783852339,2026-07-12 06:32:19,26861,KUH,BBO,19,100,20,1436,19.5,,,,
1783852350,2026-07-12 06:32:30,26850,POL,BBO,80,1139,81,100,80.5,,,,
1783852378,2026-07-12 06:32:58,26822,KUH,BBO,18,193,20,1436,19.0,,,,
1783852381,2026-07-12 06:33:01,26819,POL,BBO,80,1139,82,753,81.0,,,,
