ts_epoch,ts_et,t_minus_bell_s,leg,row_type,best_bid,bid_sz,best_ask,ask_sz,mid,print_price,print_size,taker_side,trade_id
1783936553,2026-07-13 09:55:53,90247,JEA,BBO,8,200,93,200,50.5,,,,
1783936553,2026-07-13 09:55:53,90247,PUT,BBO,8,200,93,200,50.5,,,,
1783936562,2026-07-13 09:56:02,90238,JEA,BBO,8,200,93,200,50.5,,,,
1783936562,2026-07-13 09:56:02,90238,JEA,BBO,8,200,93,200,50.5,,,,
1783936562,2026-07-13 09:56:02,90238,PUT,BBO,8,200,93,200,50.5,,,,
1783936562,2026-07-13 09:56:02,90238,PUT,BBO,8,200,93,200,50.5,,,,
1783936574,2026-07-13 09:56:14,90226,JEA,BBO,8,200,93,200,50.5,,,,
1783936574,2026-07-13 09:56:14,90226,JEA,BBO,8,200,93,200,50.5,,,,
1783936574,2026-07-13 09:56:14,90226,JEA,BBO,8,200,93,200,50.5,,,,
1783936574,2026-07-13 09:56:14,90226,PUT,BBO,8,200,93,200,50.5,,,,
1783936574,2026-07-13 09:56:14,90226,PUT,BBO,8,200,93,200,50.5,,,,
1783936574,2026-07-13 09:56:14,90226,PUT,BBO,8,200,93,200,50.5,,,,
1783936605,2026-07-13 09:56:45,90195,PUT,BBO,8,213,93,200,50.5,,,,
1783936605,2026-07-13 09:56:45,90195,PUT,BBO,8,213,93,200,50.5,,,,
1783936606,2026-07-13 09:56:46,90194,PUT,BBO,8,213,93,200,50.5,,,,
1783936606,2026-07-13 09:56:46,90194,PUT,BBO,8,213,93,200,50.5,,,,
1783936607,2026-07-13 09:56:47,90193,PUT,BBO,8,213,93,200,50.5,,,,
1783936609,2026-07-13 09:56:49,90191,JEA,BBO,8,213,93,200,50.5,,,,
1783936609,2026-07-13 09:56:49,90191,JEA,BBO,8,213,93,200,50.5,,,,
1783936610,2026-07-13 09:56:50,90190,JEA,BBO,8,213,93,200,50.5,,,,
1783936610,2026-07-13 09:56:50,90190,JEA,BBO,8,213,93,200,50.5,,,,
1783936611,2026-07-13 09:56:51,90189,JEA,BBO,8,213,93,200,50.5,,,,
1783939846,2026-07-13 10:50:46,86954,JEA,BBO,8,213,92,10,50.0,,,,
1783939846,2026-07-13 10:50:46,86954,PUT,BBO,8,213,92,10,50.0,,,,
1783940406,2026-07-13 11:00:06,86394,JEA,BBO,8,213,92,10,50.0,,,,
