ts_epoch,ts_et,t_minus_bell_s,leg,row_type,best_bid,bid_sz,best_ask,ask_sz,mid,print_price,print_size,taker_side,trade_id
1784556679,2026-07-20 14:11:19,22421,MAZ,BBO,65,,67,,,,,,
1784556679,2026-07-20 14:11:19,22421,SPI,BBO,32,,34,,,,,,
1784556687,2026-07-20 14:11:27,22413,MAZ,BBO,65,,67,,,,,,
1784556687,2026-07-20 14:11:27,22413,SPI,BBO,32,,34,,,,,,
1784556719,2026-07-20 14:11:59,22381,MAZ,BBO,65,,67,,,,,,
1784556719,2026-07-20 14:11:59,22381,SPI,BBO,32,,34,,,,,,
1784556736,2026-07-20 14:12:16,22364,MAZ,BBO,65,,67,,,,,,
1784556736,2026-07-20 14:12:16,22364,SPI,BBO,32,,34,,,,,,
1784556741,2026-07-20 14:12:21,22359,MAZ,BBO,65,,67,,,,,,
1784556741,2026-07-20 14:12:21,22359,SPI,BBO,32,,34,,,,,,
1784556774,2026-07-20 14:12:54,22326,MAZ,BBO,65,,67,,,,,,
1784556774,2026-07-20 14:12:54,22326,SPI,BBO,32,,34,,,,,,
1784557185,2026-07-20 14:19:45,21915,MAZ,BBO,65,,67,,,,,,
1784557344,2026-07-20 14:22:24,21756,SPI,BBO,32,,34,,,,,,
1784557344,2026-07-20 14:22:24,21756,SPI,BBO,32,,34,,,,,,
1784557399,2026-07-20 14:23:19,21701,MAZ,BBO,65,,67,,,,,,
1784557415,2026-07-20 14:23:35,21685,MAZ,BBO,65,,67,,,,,,
1784557415,2026-07-20 14:23:35,21685,SPI,BBO,32,,34,,,,,,
1784557434,2026-07-20 14:23:54,21666,MAZ,BBO,65,,67,,,,,,
1784557471,2026-07-20 14:24:31,21629,MAZ,BBO,65,,67,,,,,,
1784557581,2026-07-20 14:26:21,21519,MAZ,BBO,65,,67,,,,,,
1784557639,2026-07-20 14:27:19,21461,MAZ,BBO,65,,67,,,,,,
1784557643,2026-07-20 14:27:23,21457,SPI,BBO,32,,34,,,,,,
1784557697,2026-07-20 14:28:17,21403,SPI,BBO,32,,34,,,,,,
1784557698,2026-07-20 14:28:18,21402,MAZ,BBO,65,,67,,,,,,
1784557738,2026-07-20 14:28:58,21362,MAZ,BBO,65,,67,,,,,,
1784557738,2026-07-20 14:28:58,21362,SPI,BBO,32,,34,,,,,,
1784557755,2026-07-20 14:29:15,21345,MAZ,BBO,65,,67,,,,,,
1784557755,2026-07-20 14:29:15,21345,SPI,BBO,32,,34,,,,,,
1784557777,2026-07-20 14:29:37,21323,MAZ,BBO,65,,67,,,,,,
1784557777,2026-07-20 14:29:37,21323,SPI,BBO,32,,34,,,,,,
1784557827,2026-07-20 14:30:27,21273,MAZ,BBO,65,,67,,,,,,
1784557827,2026-07-20 14:30:27,21273,SPI,BBO,32,,34,,,,,,
1784558010,2026-07-20 14:33:30,21090,MAZ,BBO,65,,67,,,,,,
1784558142,2026-07-20 14:35:42,20958,SPI,BBO,32,,34,,,,,,
1784558268,2026-07-20 14:37:48,20832,MAZ,BBO,65,,67,,,,,,
1784558543,2026-07-20 14:42:23,20557,SPI,BBO,32,,34,,,,,,
1784558599,2026-07-20 14:43:19,20501,MAZ,BBO,65,,67,,,,,,
