ts_epoch,ts_et,t_minus_bell_s,leg,row_type,best_bid,bid_sz,best_ask,ask_sz,mid,print_price,print_size,taker_side,trade_id
1783894220,2026-07-12 22:10:20,43222,KHO,BBO,1,5591,99,6016,50.0,,,,
1783894220,2026-07-12 22:10:20,43222,ZHA,BBO,2,87,99,6116,50.5,,,,
1783894222,2026-07-12 22:10:22,43220,KHO,BBO,1,5591,99,6516,50.0,,,,
1783894222,2026-07-12 22:10:22,43220,KHO,BBO,1,6091,99,6516,50.0,,,,
1783894222,2026-07-12 22:10:22,43220,KHO,BBO,1,6091,98,87,49.5,,,,
1783894222,2026-07-12 22:10:22,43220,ZHA,BBO,2,87,99,6616,50.5,,,,
1783894222,2026-07-12 22:10:22,43220,ZHA,BBO,2,87,99,6616,50.5,,,,
1783894223,2026-07-12 22:10:23,43219,KHO,BBO,1,6091,98,87,49.5,,,,
1783894223,2026-07-12 22:10:23,43219,KHO,BBO,1,6091,96,500,48.5,,,,
1783894223,2026-07-12 22:10:23,43219,KHO,BBO,4,500,96,500,50.0,,,,
1783894223,2026-07-12 22:10:23,43219,ZHA,BBO,2,87,96,500,49.0,,,,
1783894223,2026-07-12 22:10:23,43219,ZHA,BBO,4,500,96,500,50.0,,,,
1783894256,2026-07-12 22:10:56,43186,ZHA,BBO,4,500,95,93,49.5,,,,
1783894258,2026-07-12 22:10:58,43184,KHO,BBO,4,500,96,500,50.0,,,,
1783894258,2026-07-12 22:10:58,43184,KHO,BBO,4,500,96,500,50.0,,,,
1783894258,2026-07-12 22:10:58,43184,ZHA,BBO,4,500,95,93,49.5,,,,
1783894258,2026-07-12 22:10:58,43184,ZHA,BBO,4,500,95,93,49.5,,,,
1783894261,2026-07-12 22:11:01,43181,KHO,BBO,5,93,96,500,50.5,,,,
1783894261,2026-07-12 22:11:01,43181,KHO,BBO,5,93,96,500,50.5,,,,
1783894261,2026-07-12 22:11:01,43181,ZHA,BBO,4,500,95,93,49.5,,,,
1783894265,2026-07-12 22:11:05,43177,KHO,BBO,5,93,96,500,50.5,,,,
1783894265,2026-07-12 22:11:05,43177,ZHA,BBO,4,500,95,93,49.5,,,,
1783894266,2026-07-12 22:11:06,43176,KHO,BBO,5,93,96,500,50.5,,,,
1783894266,2026-07-12 22:11:06,43176,ZHA,BBO,4,500,95,93,49.5,,,,
1783894326,2026-07-12 22:12:06,43116,KHO,BBO,5,93,96,500,50.5,,,,
1783894326,2026-07-12 22:12:06,43116,ZHA,BBO,4,500,95,93,49.5,,,,
1783894330,2026-07-12 22:12:10,43112,ZHA,BBO,4,500,95,93,49.5,,,,
1783894399,2026-07-12 22:13:19,43043,KHO,BBO,5,93,96,500,50.5,,,,
1783894399,2026-07-12 22:13:19,43043,ZHA,BBO,4,500,95,93,49.5,,,,
1783894399,2026-07-12 22:13:19,43043,ZHA,BBO,4,500,95,93,49.5,,,,
1783894400,2026-07-12 22:13:20,43042,KHO,BBO,5,93,96,500,50.5,,,,
1783894400,2026-07-12 22:13:20,43042,KHO,BBO,5,93,96,500,50.5,,,,
1783894400,2026-07-12 22:13:20,43042,KHO,BBO,5,93,96,500,50.5,,,,
1783894400,2026-07-12 22:13:20,43042,ZHA,BBO,4,500,95,93,49.5,,,,
1783894400,2026-07-12 22:13:20,43042,ZHA,BBO,4,500,95,93,49.5,,,,
1783894456,2026-07-12 22:14:16,42986,KHO,BBO,5,93,96,500,50.5,,,,
1783894531,2026-07-12 22:15:31,42911,KHO,BBO,5,93,96,500,50.5,,,,
1783894533,2026-07-12 22:15:33,42909,ZHA,BBO,4,500,95,93,49.5,,,,
1783894892,2026-07-12 22:21:32,42550,ZHA,BBO,4,500,95,93,49.5,,,,
1783894904,2026-07-12 22:21:44,42538,KHO,BBO,5,93,96,500,50.5,,,,
1783895630,2026-07-12 22:33:50,41812,KHO,BBO,6,299,96,500,51.0,,,,
1783895630,2026-07-12 22:33:50,41812,KHO,BBO,6,299,95,1504,50.5,,,,
1783895630,2026-07-12 22:33:50,41812,KHO,BBO,6,549,95,1504,50.5,,,,
1783895630,2026-07-12 22:33:50,41812,KHO,BBO,6,549,95,1754,50.5,,,,
1783895630,2026-07-12 22:33:50,41812,KHO,BBO,6,649,95,1754,50.5,,,,
1783895630,2026-07-12 22:33:50,41812,KHO,BBO,6,649,95,1954,50.5,,,,
1783895630,2026-07-12 22:33:50,41812,KHO,BBO,6,649,95,1954,50.5,,,,
1783895630,2026-07-12 22:33:50,41812,ZHA,BBO,5,304,95,93,50.0,,,,
1783895630,2026-07-12 22:33:50,41812,ZHA,BBO,5,304,94,1501,49.5,,,,
1783895630,2026-07-12 22:33:50,41812,ZHA,BBO,5,554,94,1501,49.5,,,,
1783895630,2026-07-12 22:33:50,41812,ZHA,BBO,5,554,94,1751,49.5,,,,
1783895630,2026-07-12 22:33:50,41812,ZHA,BBO,5,554,94,1751,49.5,,,,
1783895630,2026-07-12 22:33:50,41812,ZHA,BBO,5,654,94,1751,49.5,,,,
1783895630,2026-07-12 22:33:50,41812,ZHA,BBO,5,654,94,1951,49.5,,,,
1783895644,2026-07-12 22:34:04,41798,KHO,BBO,6,649,95,1954,50.5,,,,
1783895644,2026-07-12 22:34:04,41798,ZHA,BBO,5,654,94,1951,49.5,,,,
1783895663,2026-07-12 22:34:23,41779,KHO,BBO,6,649,95,1954,50.5,,,,
1783895663,2026-07-12 22:34:23,41779,ZHA,BBO,5,654,94,1951,49.5,,,,
1783895808,2026-07-12 22:36:48,41634,ZHA,BBO,5,654,94,1951,49.5,,,,
1783895820,2026-07-12 22:37:00,41622,KHO,BBO,6,649,95,1954,50.5,,,,
1783895820,2026-07-12 22:37:00,41622,ZHA,BBO,5,654,94,1951,49.5,,,,
1783895839,2026-07-12 22:37:19,41603,KHO,BBO,6,649,95,1954,50.5,,,,
1783895839,2026-07-12 22:37:19,41603,KHO,BBO,6,649,95,1954,50.5,,,,
1783896677,2026-07-12 22:51:17,40765,KHO,BBO,6,649,94,10,50.0,,,,
1783896677,2026-07-12 22:51:17,40765,ZHA,BBO,5,654,93,10,49.0,,,,
1783896725,2026-07-12 22:52:05,40717,KHO,BBO,6,649,94,10,50.0,,,,
1783896835,2026-07-12 22:53:55,40607,KHO,BBO,6,649,94,10,50.0,,,,
1783897828,2026-07-12 23:10:28,39614,KHO,BBO,6,649,94,10,50.0,,,,
1783897842,2026-07-12 23:10:42,39600,ZHA,BBO,5,654,93,10,49.0,,,,
1783897848,2026-07-12 23:10:48,39594,KHO,BBO,6,649,94,10,50.0,,,,
1783897848,2026-07-12 23:10:48,39594,ZHA,BBO,5,654,93,10,49.0,,,,
1783897849,2026-07-12 23:10:49,39593,ZHA,BBO,5,654,93,10,49.0,,,,
1783897849,2026-07-12 23:10:49,39593,ZHA,BBO,5,654,93,10,49.0,,,,
1783897849,2026-07-12 23:10:49,39593,ZHA,BBO,5,654,93,10,49.0,,,,
1783897849,2026-07-12 23:10:49,39593,ZHA,BBO,5,654,93,10,49.0,,,,
1783897850,2026-07-12 23:10:50,39592,ZHA,BBO,5,654,93,10,49.0,,,,
1783897850,2026-07-12 23:10:50,39592,ZHA,BBO,5,654,93,10,49.0,,,,
1783897857,2026-07-12 23:10:57,39585,ZHA,BBO,5,654,93,10,49.0,,,,
1783898113,2026-07-12 23:15:13,39329,ZHA,BBO,5,654,93,10,49.0,,,,
1783898120,2026-07-12 23:15:20,39322,KHO,BBO,6,649,94,10,50.0,,,,
1783898121,2026-07-12 23:15:21,39321,KHO,BBO,6,350,94,10,50.0,,,,
1783898121,2026-07-12 23:15:21,39321,KHO,BBO,6,350,94,10,50.0,,,,
1783898121,2026-07-12 23:15:21,39321,KHO,BBO,6,100,94,10,50.0,,,,
1783898121,2026-07-12 23:15:21,39321,KHO,BBO,6,100,94,10,50.0,,,,
1783898121,2026-07-12 23:15:21,39321,KHO,BBO,5,549,94,10,49.5,,,,
1783898121,2026-07-12 23:15:21,39321,KHO,BBO,7,100,94,10,50.5,,,,
1783898248,2026-07-12 23:17:28,39194,KHO,BBO,5,549,94,10,49.5,,,,
1783898248,2026-07-12 23:17:28,39194,KHO,BBO,5,649,94,10,49.5,,,,
1783898253,2026-07-12 23:17:33,39189,ZHA,BBO,5,654,93,10,49.0,,,,
1783898409,2026-07-12 23:20:09,39033,KHO,BBO,77,190,94,10,85.5,,,,
1783898409,2026-07-12 23:20:09,39033,KHO,BBO,77,190,87,190,82.0,,,,
1783898409,2026-07-12 23:20:09,39033,ZHA,BBO,13,190,93,10,53.0,,,,
1783898409,2026-07-12 23:20:09,39033,ZHA,BBO,13,190,23,190,18.0,,,,
1783898412,2026-07-12 23:20:12,39030,KHO,BBO,77,190,85,93,81.0,,,,
1783898412,2026-07-12 23:20:12,39030,KHO,BBO,79,39,85,93,82.0,,,,
1783898412,2026-07-12 23:20:12,39030,KHO,BBO,79,39,84,49,81.5,,,,
1783898412,2026-07-12 23:20:12,39030,KHO,BBO,80,88,84,49,82.0,,,,
1783898412,2026-07-12 23:20:12,39030,ZHA,BBO,15,60,23,190,19.0,,,,
1783898412,2026-07-12 23:20:12,39030,ZHA,BBO,15,60,20,65,17.5,,,,
1783898412,2026-07-12 23:20:12,39030,ZHA,BBO,15,60,20,65,17.5,,,,
1783898412,2026-07-12 23:20:12,39030,ZHA,BBO,16,63,20,65,18.0,,,,
1783898413,2026-07-12 23:20:13,39029,KHO,BBO,80,88,84,49,82.0,,,,
1783898413,2026-07-12 23:20:13,39029,KHO,BBO,80,88,84,49,82.0,,,,
1783898413,2026-07-12 23:20:13,39029,KHO,BBO,80,88,84,49,82.0,,,,
1783898413,2026-07-12 23:20:13,39029,ZHA,BBO,16,63,20,65,18.0,,,,
1783898413,2026-07-12 23:20:13,39029,ZHA,BBO,16,63,20,65,18.0,,,,
1783898413,2026-07-12 23:20:13,39029,ZHA,BBO,16,63,20,65,18.0,,,,
1783898427,2026-07-12 23:20:27,39015,KHO,BBO,81,95,84,49,82.5,,,,
