ts_epoch,ts_et,t_minus_bell_s,leg,row_type,best_bid,bid_sz,best_ask,ask_sz,mid,print_price,print_size,taker_side,trade_id
1784298039,2026-07-17 14:20:39,6917,CER,BBO,6,219,94,202,50.0,,,,
1784298039,2026-07-17 14:20:39,6917,COL,BBO,6,217,94,200,50.0,,,,
1784298089,2026-07-17 14:21:29,6867,CER,BBO,6,219,90,500,48.0,,,,
1784298089,2026-07-17 14:21:29,6867,COL,BBO,6,217,90,500,48.0,,,,
1784298108,2026-07-17 14:21:48,6848,COL,BBO,6,217,90,498,48.0,,,,
1784298108,2026-07-17 14:21:48,6848,COL,TRADE,,,,,,90,2.07,yes,c1cd8c3f-4429-73cc-6dae-f5e5794c56d3
1784298129,2026-07-17 14:22:09,6827,CER,BBO,6,219,90,500,48.0,,,,
1784298129,2026-07-17 14:22:09,6827,COL,BBO,6,217,90,498,48.0,,,,
1784298175,2026-07-17 14:22:55,6781,CER,BBO,6,219,90,500,48.0,,,,
1784298175,2026-07-17 14:22:55,6781,COL,BBO,6,217,90,497,48.0,,,,
1784298253,2026-07-17 14:24:13,6703,CER,BBO,6,219,90,500,48.0,,,,
1784298253,2026-07-17 14:24:13,6703,CER,BBO,6,219,89,2,47.5,,,,
1784298517,2026-07-17 14:28:37,6439,COL,TRADE,,,,,,90,1.0,yes,ea116a40-2425-5e2c-7600-a01ae969f3ab
1784298522,2026-07-17 14:28:42,6434,COL,BBO,6,217,90,496,48.0,,,,
1784298589,2026-07-17 14:29:49,6367,CER,BBO,37,5,89,2,63.0,,,,
1784298589,2026-07-17 14:29:49,6367,COL,BBO,55,5,90,496,72.5,,,,
1784298590,2026-07-17 14:29:50,6366,CER,BBO,37,5,86,30,61.5,,,,
1784298590,2026-07-17 14:29:50,6366,COL,BBO,55,5,87,30,71.0,,,,
1784298641,2026-07-17 14:30:41,6315,CER,BBO,37,505,47,500,42.0,,,,
1784298642,2026-07-17 14:30:42,6314,COL,BBO,55,5,63,500,59.0,,,,
1784298664,2026-07-17 14:31:04,6292,CER,BBO,37,505,47,500,42.0,,,,
1784298664,2026-07-17 14:31:04,6292,COL,BBO,55,5,63,500,59.0,,,,
1784298687,2026-07-17 14:31:27,6269,CER,BBO,37,505,47,500,42.0,,,,
1784298687,2026-07-17 14:31:27,6269,COL,BBO,55,5,63,500,59.0,,,,
1784298696,2026-07-17 14:31:36,6260,CER,TRADE,,,,,,47,0.59,yes,b610ee62-89c1-66e9-8620-4666e2d41d53
1784298701,2026-07-17 14:31:41,6255,CER,BBO,37,505,47,499,42.0,,,,
1784298707,2026-07-17 14:31:47,6249,CER,BBO,37,505,47,505,42.0,,,,
1784298711,2026-07-17 14:31:51,6245,CER,BBO,38,10,47,505,42.5,,,,
1784298724,2026-07-17 14:32:04,6232,CER,BBO,38,10,46,7,42.0,,,,
1784298791,2026-07-17 14:33:11,6165,CER,BBO,38,10,46,7,42.0,,,,
1784298806,2026-07-17 14:33:26,6150,CER,TRADE,,,,,,38,0.59,no,e08f5d31-d6a3-7745-0ea4-c7bc978fa731
1784298867,2026-07-17 14:34:27,6089,CER,BBO,38,1,46,7,42.0,,,,
1784298875,2026-07-17 14:34:35,6081,CER,BBO,37,505,44,47,40.5,,,,
1784298875,2026-07-17 14:34:35,6081,COL,BBO,55,5,62,62,58.5,,,,
1784298879,2026-07-17 14:34:39,6077,COL,BBO,55,5,62,50,58.5,,,,
1784298879,2026-07-17 14:34:39,6077,COL,BBO,55,5,62,50,58.5,,,,
1784298879,2026-07-17 14:34:39,6077,COL,BBO,55,5,62,50,58.5,,,,
1784298879,2026-07-17 14:34:39,6077,COL,BBO,55,5,62,50,58.5,,,,
1784298879,2026-07-17 14:34:39,6077,COL,BBO,55,5,62,50,58.5,,,,
1784298879,2026-07-17 14:34:39,6077,COL,BBO,55,5,61,38,58.0,,,,
1784298885,2026-07-17 14:34:45,6071,COL,BBO,55,5,61,38,58.0,,,,
1784298891,2026-07-17 14:34:51,6065,CER,TRADE,,,,,,44,47.0,yes,fcb42639-db55-4ced-fe86-d04abb717843
1784298891,2026-07-17 14:34:51,6065,CER,TRADE,,,,,,45,0.59,yes,b03f484c-ef43-459c-e830-e2b049785e53
1784298891,2026-07-17 14:34:51,6065,CER,TRADE,,,,,,45,46.0,yes,e03f9729-8886-43f7-e050-a74d6b1cebc2
1784298891,2026-07-17 14:34:51,6065,CER,TRADE,,,,,,46,0.79,yes,39b44c04-1b02-449b-f90e-4ba3e72b776e
1784298891,2026-07-17 14:34:51,6065,CER,TRADE,,,,,,46,7.0,yes,d6fabc28-c0b7-4abb-e2f5-961b2371c67e
1784298892,2026-07-17 14:34:52,6064,COL,BBO,55,5,61,38,58.0,,,,
1784298892,2026-07-17 14:34:52,6064,COL,BBO,55,5,61,38,58.0,,,,
1784298894,2026-07-17 14:34:54,6062,CER,BBO,37,505,45,46,41.0,,,,
1784298894,2026-07-17 14:34:54,6062,CER,BBO,37,505,46,54,41.5,,,,
1784298894,2026-07-17 14:34:54,6062,CER,BBO,37,505,46,47,41.5,,,,
1784298899,2026-07-17 14:34:59,6057,CER,BBO,37,505,46,1,41.5,,,,
1784298911,2026-07-17 14:35:11,6045,CER,BBO,37,505,46,1,41.5,,,,
1784298911,2026-07-17 14:35:11,6045,CER,BBO,37,505,46,1,41.5,,,,
1784298911,2026-07-17 14:35:11,6045,CER,BBO,37,505,46,1,41.5,,,,
1784298911,2026-07-17 14:35:11,6045,CER,BBO,37,505,46,1,41.5,,,,
1784298911,2026-07-17 14:35:11,6045,CER,BBO,37,505,46,1,41.5,,,,
1784298911,2026-07-17 14:35:11,6045,COL,BBO,55,5,61,38,58.0,,,,
1784298911,2026-07-17 14:35:11,6045,COL,BBO,55,5,61,38,58.0,,,,
1784298911,2026-07-17 14:35:11,6045,COL,BBO,55,5,61,102,58.0,,,,
1784298922,2026-07-17 14:35:22,6034,CER,BBO,38,10,46,1,42.0,,,,
1784298994,2026-07-17 14:36:34,5962,CER,BBO,38,10,45,9,41.5,,,,
1784298994,2026-07-17 14:36:34,5962,COL,BBO,55,5,61,102,58.0,,,,
1784299016,2026-07-17 14:36:56,5940,CER,BBO,37,505,45,9,41.0,,,,
1784299017,2026-07-17 14:36:57,5939,CER,BBO,37,505,44,1,40.5,,,,
1784299049,2026-07-17 14:37:29,5907,CER,BBO,37,505,44,1,40.5,,,,
1784299099,2026-07-17 14:38:19,5857,CER,TRADE,,,,,,44,1.0,yes,4bee283b-55d2-47b9-b951-791712cf10a2
1784299099,2026-07-17 14:38:19,5857,CER,TRADE,,,,,,45,9.0,yes,794cb857-df6c-4c53-9272-31abe8fe2037
1784299099,2026-07-17 14:38:19,5857,CER,TRADE,,,,,,47,51.96,yes,b3089547-d019-4499-a33d-255cbd67c2e3
1784299102,2026-07-17 14:38:22,5854,CER,BBO,38,1,46,1,42.0,,,,
1784299102,2026-07-17 14:38:22,5854,CER,BBO,38,1,47,462,42.5,,,,
1784299102,2026-07-17 14:38:22,5854,CER,BBO,38,1,46,1,42.0,,,,
1784299102,2026-07-17 14:38:22,5854,COL,BBO,55,5,60,1,57.5,,,,
1784299102,2026-07-17 14:38:22,5854,COL,BBO,55,5,61,102,58.0,,,,
1784299102,2026-07-17 14:38:22,5854,COL,BBO,55,5,60,1,57.5,,,,
1784299103,2026-07-17 14:38:23,5853,COL,BBO,55,5,60,1,57.5,,,,
1784299103,2026-07-17 14:38:23,5853,COL,BBO,55,5,60,1,57.5,,,,
1784299103,2026-07-17 14:38:23,5853,COL,BBO,55,5,60,1,57.5,,,,
1784299104,2026-07-17 14:38:24,5852,CER,BBO,38,1,47,462,42.5,,,,
1784299104,2026-07-17 14:38:24,5852,COL,BBO,55,5,61,102,58.0,,,,
1784299106,2026-07-17 14:38:26,5850,CER,BBO,38,1,46,1,42.0,,,,
1784299106,2026-07-17 14:38:26,5850,CER,BBO,38,1,47,462,42.5,,,,
1784299106,2026-07-17 14:38:26,5850,COL,BBO,55,5,60,1,57.5,,,,
1784299106,2026-07-17 14:38:26,5850,COL,BBO,55,5,61,102,58.0,,,,
1784299108,2026-07-17 14:38:28,5848,CER,BBO,38,1,46,1,42.0,,,,
1784299108,2026-07-17 14:38:28,5848,COL,BBO,55,5,60,1,57.5,,,,
1784299110,2026-07-17 14:38:30,5846,CER,BBO,42,52,46,1,44.0,,,,
1784299110,2026-07-17 14:38:30,5846,CER,BBO,42,52,46,1,44.0,,,,
1784299110,2026-07-17 14:38:30,5846,CER,BBO,42,52,46,1,44.0,,,,
1784299110,2026-07-17 14:38:30,5846,CER,BBO,42,52,47,462,44.5,,,,
1784299110,2026-07-17 14:38:30,5846,COL,BBO,55,5,61,102,58.0,,,,
1784299111,2026-07-17 14:38:31,5845,CER,BBO,42,52,47,462,44.5,,,,
1784299111,2026-07-17 14:38:31,5845,CER,BBO,42,52,47,462,44.5,,,,
1784299111,2026-07-17 14:38:31,5845,CER,BBO,42,52,47,462,44.5,,,,
1784299111,2026-07-17 14:38:31,5845,CER,BBO,42,52,46,1,44.0,,,,
1784299111,2026-07-17 14:38:31,5845,COL,BBO,55,5,60,1,57.5,,,,
1784299112,2026-07-17 14:38:32,5844,CER,BBO,42,52,47,462,44.5,,,,
1784299112,2026-07-17 14:38:32,5844,COL,BBO,55,5,61,102,58.0,,,,
1784299114,2026-07-17 14:38:34,5842,CER,BBO,42,52,46,1,44.0,,,,
1784299114,2026-07-17 14:38:34,5842,COL,BBO,55,5,60,1,57.5,,,,
1784299115,2026-07-17 14:38:35,5841,CER,BBO,42,52,47,462,44.5,,,,
1784299115,2026-07-17 14:38:35,5841,COL,BBO,55,5,61,102,58.0,,,,
1784299116,2026-07-17 14:38:36,5840,CER,BBO,42,52,46,1,44.0,,,,
