ts_epoch,ts_et,t_minus_bell_s,leg,row_type,best_bid,bid_sz,best_ask,ask_sz,mid,print_price,print_size,taker_side,trade_id
1783894220,2026-07-12 22:10:20,43205,FAL,BBO,2,54,99,6216,50.5,,,,
1783894220,2026-07-12 22:10:20,43205,PAN,BBO,2,54,99,6316,50.5,,,,
1783894222,2026-07-12 22:10:22,43203,FAL,BBO,2,54,99,6716,50.5,,,,
1783894222,2026-07-12 22:10:22,43203,FAL,BBO,2,54,99,6716,50.5,,,,
1783894222,2026-07-12 22:10:22,43203,PAN,BBO,2,54,99,6816,50.5,,,,
1783894222,2026-07-12 22:10:22,43203,PAN,BBO,2,54,99,6816,50.5,,,,
1783894222,2026-07-12 22:10:22,43203,PAN,BBO,2,54,98,54,50.0,,,,
1783894223,2026-07-12 22:10:23,43202,FAL,BBO,2,54,96,500,49.0,,,,
1783894223,2026-07-12 22:10:23,43202,FAL,BBO,4,500,96,500,50.0,,,,
1783894223,2026-07-12 22:10:23,43202,PAN,BBO,2,54,96,500,49.0,,,,
1783894223,2026-07-12 22:10:23,43202,PAN,BBO,4,500,96,500,50.0,,,,
1783894232,2026-07-12 22:10:32,43193,FAL,BBO,4,500,95,57,49.5,,,,
1783894232,2026-07-12 22:10:32,43193,PAN,BBO,4,500,96,500,50.0,,,,
1783894244,2026-07-12 22:10:44,43181,FAL,BBO,4,500,95,57,49.5,,,,
1783894256,2026-07-12 22:10:56,43169,PAN,BBO,4,500,96,500,50.0,,,,
1783894261,2026-07-12 22:11:01,43164,FAL,BBO,4,500,95,57,49.5,,,,
1783894261,2026-07-12 22:11:01,43164,FAL,BBO,4,500,95,57,49.5,,,,
1783894261,2026-07-12 22:11:01,43164,PAN,BBO,4,500,96,500,50.0,,,,
1783894261,2026-07-12 22:11:01,43164,PAN,BBO,4,500,96,500,50.0,,,,
1783894265,2026-07-12 22:11:05,43160,FAL,BBO,4,500,95,57,49.5,,,,
1783894265,2026-07-12 22:11:05,43160,FAL,BBO,4,500,95,57,49.5,,,,
1783894265,2026-07-12 22:11:05,43160,PAN,BBO,4,500,96,500,50.0,,,,
1783894265,2026-07-12 22:11:05,43160,PAN,BBO,4,500,96,500,50.0,,,,
1783894266,2026-07-12 22:11:06,43159,FAL,BBO,4,500,95,57,49.5,,,,
1783894399,2026-07-12 22:13:19,43026,FAL,BBO,4,500,95,57,49.5,,,,
1783894399,2026-07-12 22:13:19,43026,FAL,BBO,4,500,95,57,49.5,,,,
1783894399,2026-07-12 22:13:19,43026,PAN,BBO,4,500,96,500,50.0,,,,
1783894399,2026-07-12 22:13:19,43026,PAN,BBO,4,500,96,500,50.0,,,,
1783894400,2026-07-12 22:13:20,43025,FAL,BBO,4,500,95,57,49.5,,,,
1783894400,2026-07-12 22:13:20,43025,FAL,BBO,4,500,95,57,49.5,,,,
1783894400,2026-07-12 22:13:20,43025,PAN,BBO,4,500,96,500,50.0,,,,
1783894400,2026-07-12 22:13:20,43025,PAN,BBO,4,500,96,500,50.0,,,,
1783894533,2026-07-12 22:15:33,42892,PAN,BBO,4,500,96,500,50.0,,,,
1783894534,2026-07-12 22:15:34,42891,FAL,BBO,4,500,95,57,49.5,,,,
1783894590,2026-07-12 22:16:30,42835,PAN,BBO,4,500,96,500,50.0,,,,
1783894591,2026-07-12 22:16:31,42834,FAL,BBO,4,500,95,57,49.5,,,,
1783894712,2026-07-12 22:18:32,42713,FAL,BBO,4,500,95,57,49.5,,,,
1783894712,2026-07-12 22:18:32,42713,PAN,BBO,4,500,96,500,50.0,,,,
1783895630,2026-07-12 22:33:50,41795,FAL,BBO,5,303,95,57,50.0,,,,
1783895630,2026-07-12 22:33:50,41795,FAL,BBO,5,303,94,1501,49.5,,,,
1783895630,2026-07-12 22:33:50,41795,FAL,BBO,5,553,94,1501,49.5,,,,
1783895630,2026-07-12 22:33:50,41795,FAL,BBO,5,553,94,1751,49.5,,,,
1783895630,2026-07-12 22:33:50,41795,FAL,BBO,5,653,94,1751,49.5,,,,
1783895630,2026-07-12 22:33:50,41795,FAL,BBO,5,653,94,1951,49.5,,,,
1783895630,2026-07-12 22:33:50,41795,PAN,BBO,5,300,96,500,50.5,,,,
1783895630,2026-07-12 22:33:50,41795,PAN,BBO,5,300,95,1499,50.0,,,,
1783895630,2026-07-12 22:33:50,41795,PAN,BBO,5,550,95,1499,50.0,,,,
1783895630,2026-07-12 22:33:50,41795,PAN,BBO,5,550,95,1749,50.0,,,,
1783895630,2026-07-12 22:33:50,41795,PAN,BBO,5,650,95,1749,50.0,,,,
1783895630,2026-07-12 22:33:50,41795,PAN,BBO,5,650,95,1949,50.0,,,,
1783895639,2026-07-12 22:33:59,41786,FAL,BBO,5,653,94,1951,49.5,,,,
1783895640,2026-07-12 22:34:00,41785,PAN,BBO,5,650,95,1949,50.0,,,,
1783895644,2026-07-12 22:34:04,41781,FAL,BBO,5,653,94,1951,49.5,,,,
1783895644,2026-07-12 22:34:04,41781,PAN,BBO,5,650,95,1949,50.0,,,,
1783895663,2026-07-12 22:34:23,41762,FAL,BBO,5,653,94,1951,49.5,,,,
1783895819,2026-07-12 22:36:59,41606,PAN,BBO,5,650,95,1949,50.0,,,,
1783895831,2026-07-12 22:37:11,41594,FAL,BBO,5,653,94,1951,49.5,,,,
1783895843,2026-07-12 22:37:23,41582,FAL,BBO,5,653,94,1951,49.5,,,,
1783895855,2026-07-12 22:37:35,41570,PAN,BBO,5,650,95,1949,50.0,,,,
1783896677,2026-07-12 22:51:17,40748,PAN,BBO,6,10,95,1949,50.5,,,,
1783896677,2026-07-12 22:51:17,40748,PAN,BBO,6,10,94,10,50.0,,,,
1783896725,2026-07-12 22:52:05,40700,PAN,BBO,6,10,94,10,50.0,,,,
1783896835,2026-07-12 22:53:55,40590,PAN,BBO,6,10,94,10,50.0,,,,
1783896835,2026-07-12 22:53:55,40590,PAN,BBO,6,10,94,10,50.0,,,,
1783897827,2026-07-12 23:10:27,39598,FAL,BBO,5,653,94,1951,49.5,,,,
