ts_epoch,ts_et,leg,row_type,best_bid,bid_sz,best_ask,ask_sz,print_price,print_size,taker_side,trade_id
1783801048,2026-07-11 16:17:28,BAR,BBO,4,500,96,500,,,,
1783801048,2026-07-11 16:17:28,REI,BBO,4,500,96,500,,,,
1783802162,2026-07-11 16:36:02,BAR,BBO,4,500,95,7,,,,
1783802162,2026-07-11 16:36:02,REI,BBO,4,500,95,7,,,,
1783803153,2026-07-11 16:52:33,BAR,BBO,5,10,95,7,,,,
1783803153,2026-07-11 16:52:33,REI,BBO,5,10,95,7,,,,
1783806368,2026-07-11 17:46:08,BAR,BBO,4,500,95,7,,,,
1783806368,2026-07-11 17:46:08,REI,BBO,4,500,95,7,,,,
1783806687,2026-07-11 17:51:27,BAR,BBO,5,10,95,37,,,,
1783806687,2026-07-11 17:51:27,REI,BBO,5,10,95,37,,,,
1783809968,2026-07-11 18:46:08,BAR,BBO,4,500,95,37,,,,
1783809968,2026-07-11 18:46:08,REI,BBO,4,500,95,37,,,,
1783810308,2026-07-11 18:51:48,BAR,BBO,5,10,95,37,,,,
1783810308,2026-07-11 18:51:48,REI,BBO,5,10,95,37,,,,
1783813573,2026-07-11 19:46:13,BAR,BBO,4,500,95,37,,,,
1783813573,2026-07-11 19:46:13,REI,BBO,4,500,95,37,,,,
1783813892,2026-07-11 19:51:32,BAR,BBO,5,10,95,37,,,,
1783813892,2026-07-11 19:51:32,REI,BBO,5,10,95,37,,,,
1783815535,2026-07-11 20:18:55,BAR,BBO,6,75,95,37,,,,
1783815535,2026-07-11 20:18:55,REI,BBO,5,10,94,75,,,,
1783817171,2026-07-11 20:46:11,BAR,BBO,4,501,95,37,,,,
1783817171,2026-07-11 20:46:11,BAR,BBO,5,75,95,37,,,,
1783817171,2026-07-11 20:46:11,REI,BBO,4,500,94,75,,,,
1783817498,2026-07-11 20:51:38,BAR,BBO,6,10,95,37,,,,
1783817498,2026-07-11 20:51:38,REI,BBO,5,10,94,75,,,,
1783817500,2026-07-11 20:51:40,BAR,BBO,7,75,95,37,,,,
1783820769,2026-07-11 21:46:09,BAR,BBO,4,502,95,37,,,,
1783820769,2026-07-11 21:46:09,BAR,BBO,5,75,95,37,,,,
1783820769,2026-07-11 21:46:09,REI,BBO,4,500,94,75,,,,
1783821070,2026-07-11 21:51:10,BAR,BBO,6,10,95,37,,,,
1783821070,2026-07-11 21:51:10,REI,BBO,5,10,94,75,,,,
1783821071,2026-07-11 21:51:11,BAR,BBO,7,75,95,37,,,,
1783824368,2026-07-11 22:46:08,REI,BBO,4,500,94,75,,,,
1783824370,2026-07-11 22:46:10,BAR,BBO,4,502,95,37,,,,
1783824370,2026-07-11 22:46:10,BAR,BBO,5,75,95,37,,,,
1783824670,2026-07-11 22:51:10,BAR,BBO,6,10,95,37,,,,
1783824670,2026-07-11 22:51:10,BAR,BBO,7,75,95,37,,,,
1783824670,2026-07-11 22:51:10,REI,BBO,5,10,94,75,,,,
1783827974,2026-07-11 23:46:14,BAR,BBO,4,502,95,37,,,,
1783827974,2026-07-11 23:46:14,BAR,BBO,5,75,95,37,,,,
1783827974,2026-07-11 23:46:14,REI,BBO,4,500,94,75,,,,
1783829049,2026-07-12 00:04:09,BAR,BBO,4,502,95,37,,,,
1783829049,2026-07-12 00:04:09,REI,BBO,4,500,95,37,,,,
1783829600,2026-07-12 00:13:20,BAR,BBO,5,75,95,37,,,,
1783829600,2026-07-12 00:13:20,REI,BBO,4,500,94,75,,,,
1783830024,2026-07-12 00:20:24,BAR,BBO,5,75,94,3,,,,
1783831015,2026-07-12 00:36:55,BAR,BBO,5,75,95,37,,,,
1783831771,2026-07-12 00:49:31,BAR,BBO,6,3,95,37,,,,
1783831771,2026-07-12 00:49:31,BAR,BBO,7,75,95,37,,,,
1783831804,2026-07-12 00:50:04,BAR,BBO,4,502,95,37,,,,
1783831804,2026-07-12 00:50:04,BAR,BBO,5,75,95,37,,,,
1783833032,2026-07-12 01:10:32,BAR,BBO,5,75,94,5,,,,
1783833118,2026-07-12 01:11:58,REI,BBO,14,10,94,75,,,,
1783833121,2026-07-12 01:12:01,BAR,BBO,14,10,94,5,,,,
1783833122,2026-07-12 01:12:02,BAR,BBO,15,75,94,5,,,,
1783833140,2026-07-12 01:12:20,BAR,BBO,15,75,93,49,,,,
1783833140,2026-07-12 01:12:20,BAR,BBO,15,75,92,7,,,,
1783833142,2026-07-12 01:12:22,BAR,BBO,15,75,91,36,,,,
1783833142,2026-07-12 01:12:22,BAR,BBO,15,75,90,7,,,,
1783833144,2026-07-12 01:12:24,BAR,BBO,15,75,89,23,,,,
1783833144,2026-07-12 01:12:24,BAR,BBO,15,75,88,7,,,,
1783833146,2026-07-12 01:12:26,BAR,BBO,15,75,87,9,,,,
1783833148,2026-07-12 01:12:28,BAR,BBO,15,75,94,5,,,,
1783833148,2026-07-12 01:12:28,BAR,BBO,15,75,93,49,,,,
1783833148,2026-07-12 01:12:28,BAR,BBO,15,75,92,7,,,,
1783833150,2026-07-12 01:12:30,BAR,BBO,15,75,91,36,,,,
1783833150,2026-07-12 01:12:30,BAR,BBO,15,75,90,7,,,,
1783833152,2026-07-12 01:12:32,BAR,BBO,15,75,89,23,,,,
1783833152,2026-07-12 01:12:32,BAR,BBO,15,75,88,7,,,,
1783833154,2026-07-12 01:12:34,BAR,BBO,15,75,87,9,,,,
1783833156,2026-07-12 01:12:36,BAR,BBO,15,75,94,5,,,,
1783833156,2026-07-12 01:12:36,BAR,BBO,15,75,93,49,,,,
1783833156,2026-07-12 01:12:36,BAR,BBO,15,75,92,7,,,,
1783833158,2026-07-12 01:12:38,BAR,BBO,15,75,91,36,,,,
1783833158,2026-07-12 01:12:38,BAR,BBO,15,75,90,7,,,,
1783833160,2026-07-12 01:12:40,BAR,BBO,15,75,89,23,,,,
1783833160,2026-07-12 01:12:40,BAR,BBO,15,75,88,7,,,,
1783833162,2026-07-12 01:12:42,BAR,BBO,15,75,87,9,,,,
1783833164,2026-07-12 01:12:44,BAR,BBO,15,75,94,5,,,,
1783833164,2026-07-12 01:12:44,BAR,BBO,15,75,93,49,,,,
1783833164,2026-07-12 01:12:44,BAR,BBO,15,75,92,7,,,,
1783833166,2026-07-12 01:12:46,BAR,BBO,15,75,91,36,,,,
1783833166,2026-07-12 01:12:46,BAR,BBO,15,75,90,7,,,,
1783833168,2026-07-12 01:12:48,BAR,BBO,15,75,89,23,,,,
1783833168,2026-07-12 01:12:48,BAR,BBO,15,75,88,7,,,,
1783833170,2026-07-12 01:12:50,BAR,BBO,15,75,87,9,,,,
1783833172,2026-07-12 01:12:52,BAR,BBO,15,75,94,5,,,,
1783833172,2026-07-12 01:12:52,BAR,BBO,15,75,93,49,,,,
1783833172,2026-07-12 01:12:52,BAR,BBO,15,75,92,7,,,,
1783833174,2026-07-12 01:12:54,BAR,BBO,15,75,91,36,,,,
