ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz
1783870590,2026-07-12 11:36:30 AM,6,200,94,200
1783870650,2026-07-12 11:37:30 AM,6,217,94,200
1783871486,2026-07-12 11:51:26 AM,6,217,93,10
1783874768,2026-07-12 12:46:08 PM,6,217,94,200
1783875080,2026-07-12 12:51:20 PM,6,217,93,10
1783878374,2026-07-12 01:46:14 PM,6,217,94,200
1783878680,2026-07-12 01:51:20 PM,6,217,93,10
1783880046,2026-07-12 02:14:06 PM,32,500,42,500
1783880046,2026-07-12 02:14:06 PM,32,500,93,10
1783880048,2026-07-12 02:14:08 PM,32,500,42,500
1783880060,2026-07-12 02:14:20 PM,32,500,41,43
1783880060,2026-07-12 02:14:20 PM,32,500,42,500
1783880060,2026-07-12 02:14:20 PM,32,500,42,543
1783880069,2026-07-12 02:14:29 PM,32,500,41,43
1783880145,2026-07-12 02:15:45 PM,18,83,41,43
1783880145,2026-07-12 02:15:45 PM,31,11,41,43
1783880145,2026-07-12 02:15:45 PM,31,12,41,43
1783880146,2026-07-12 02:15:46 PM,31,512,41,43
1783880146,2026-07-12 02:15:46 PM,31,512,41,543
1783880170,2026-07-12 02:16:10 PM,31,512,39,1
1783880178,2026-07-12 02:16:18 PM,31,512,38,40
1783880178,2026-07-12 02:16:18 PM,31,512,39,1
1783880178,2026-07-12 02:16:18 PM,31,512,39,42
1783880180,2026-07-12 02:16:20 PM,31,512,38,40
1783880183,2026-07-12 02:16:23 PM,31,512,37,30
1783880183,2026-07-12 02:16:23 PM,31,512,38,30
1783880184,2026-07-12 02:16:24 PM,31,512,37,30
1783880193,2026-07-12 02:16:33 PM,31,512,37,40
1783880266,2026-07-12 02:17:46 PM,32,1,37,40
1783880282,2026-07-12 02:18:02 PM,31,512,37,40
1783880454,2026-07-12 02:20:54 PM,28,24,37,40
1783880454,2026-07-12 02:20:54 PM,28,36,37,40
1783880454,2026-07-12 02:20:54 PM,31,12,37,40
1783880455,2026-07-12 02:20:55 PM,30,500,37,40
1783880456,2026-07-12 02:20:56 PM,31,12,37,40
1783880459,2026-07-12 02:20:59 PM,31,12,37,41
1783880965,2026-07-12 02:29:25 PM,31,12,37,31
1783880966,2026-07-12 02:29:26 PM,31,12,36,30
1783880975,2026-07-12 02:29:35 PM,31,12,35,30
1783880975,2026-07-12 02:29:35 PM,31,12,36,29
1783880980,2026-07-12 02:29:40 PM,31,12,35,30
1783881069,2026-07-12 02:31:09 PM,31,12,35,31
1783881669,2026-07-12 02:41:09 PM,31,12,35,30
1783881673,2026-07-12 02:41:13 PM,30,62,34,240
1783881673,2026-07-12 02:41:13 PM,30,74,34,240
1783881673,2026-07-12 02:41:13 PM,31,12,34,240
1783881674,2026-07-12 02:41:14 PM,31,120,33,240
