ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz
1784148754,2026-07-15 04:52:34 PM,6,217,94,200
1784148863,2026-07-15 04:54:23 PM,6,217,93,10
1784150005,2026-07-15 05:13:25 PM,6,217,93,9
1784150065,2026-07-15 05:14:25 PM,6,217,93,8
1784150176,2026-07-15 05:16:16 PM,6,217,94,183
1784150176,2026-07-15 05:16:16 PM,6,217,94,200
1784150210,2026-07-15 05:16:50 PM,6,217,94,178
1784150235,2026-07-15 05:17:15 PM,6,190,94,197
1784150306,2026-07-15 05:18:26 PM,6,190,94,177
1784150612,2026-07-15 05:23:32 PM,6,190,93,14
1784150612,2026-07-15 05:23:32 PM,6,190,94,177
1784150613,2026-07-15 05:23:33 PM,6,190,94,62
1784150613,2026-07-15 05:23:33 PM,7,14,94,62
1784150631,2026-07-15 05:23:51 PM,7,29,94,62
1784150632,2026-07-15 05:23:52 PM,7,15,94,62
1784150632,2026-07-15 05:23:52 PM,8,14,94,62
1784150639,2026-07-15 05:23:59 PM,8,14,94,81
1784150645,2026-07-15 05:24:05 PM,8,14,93,1
1784150651,2026-07-15 05:24:11 PM,8,14,93,4
1784150693,2026-07-15 05:24:53 PM,8,27,93,4
1784150696,2026-07-15 05:24:56 PM,8,14,93,4
1784150696,2026-07-15 05:24:56 PM,9,13,93,4
1784150706,2026-07-15 05:25:06 PM,9,13,93,1
1784150759,2026-07-15 05:25:59 PM,9,25,93,1
1784150760,2026-07-15 05:26:00 PM,10,1,93,1
1784150760,2026-07-15 05:26:00 PM,9,25,93,1
1784150763,2026-07-15 05:26:03 PM,10,12,93,1
1784150823,2026-07-15 05:27:03 PM,11,10,93,1
1784151639,2026-07-15 05:40:39 PM,11,507,93,1
1784151639,2026-07-15 05:40:39 PM,11,507,93,1505
1784151639,2026-07-15 05:40:39 PM,11,757,93,1505
1784151639,2026-07-15 05:40:39 PM,11,757,93,2005
1784151639,2026-07-15 05:40:39 PM,11,857,93,2005
1784151639,2026-07-15 05:40:39 PM,11,857,93,2305
1784151640,2026-07-15 05:40:40 PM,11,847,93,2305
1784151640,2026-07-15 05:40:40 PM,11,849,93,2305
1784151640,2026-07-15 05:40:40 PM,11,857,93,2305
1784151640,2026-07-15 05:40:40 PM,12,14,93,2305
1784151640,2026-07-15 05:40:40 PM,13,250,93,2305
1784151640,2026-07-15 05:40:40 PM,13,350,93,2305
1784151640,2026-07-15 05:40:40 PM,14,14,93,2305
1784151640,2026-07-15 05:40:40 PM,15,250,93,2305
1784151640,2026-07-15 05:40:40 PM,15,350,93,2305
1784151640,2026-07-15 05:40:40 PM,16,14,93,2305
1784151641,2026-07-15 05:40:41 PM,17,250,93,2305
1784151641,2026-07-15 05:40:41 PM,17,350,93,2305
1784151641,2026-07-15 05:40:41 PM,18,14,93,2305
1784151648,2026-07-15 05:40:48 PM,39,350,93,2305
1784151669,2026-07-15 05:41:09 PM,39,350,93,2300
1784151669,2026-07-15 05:41:09 PM,39,350,93,2304
1784151670,2026-07-15 05:41:10 PM,39,350,92,6
1784151694,2026-07-15 05:41:34 PM,38,250,92,6
1784151694,2026-07-15 05:41:34 PM,39,100,92,6
1784151694,2026-07-15 05:41:34 PM,39,350,92,6
1784151694,2026-07-15 05:41:34 PM,40,100,92,6
1784151714,2026-07-15 05:41:54 PM,41,10,92,6
1784151822,2026-07-15 05:43:42 PM,41,24,92,6
1784151853,2026-07-15 05:44:13 PM,41,14,92,6
1784151853,2026-07-15 05:44:13 PM,42,10,92,6
1784152138,2026-07-15 05:48:58 PM,47,410,92,6
