ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz
1784434536,2026-07-19 12:15:36 AM,5,10,92,30
1784434967,2026-07-19 12:22:47 AM,5,15,92,30
1784436777,2026-07-19 12:52:57 AM,6,10,92,30
1784437783,2026-07-19 01:09:43 AM,14,10,92,30
1784437962,2026-07-19 01:12:42 AM,14,10,91,11
1784437962,2026-07-19 01:12:42 AM,14,10,91,8
1784437963,2026-07-19 01:12:43 AM,14,10,91,11
1784440364,2026-07-19 01:52:44 AM,14,10,89,5
1784440364,2026-07-19 01:52:44 AM,14,10,90,10
1784440447,2026-07-19 01:54:07 AM,14,10,89,5
1784443969,2026-07-19 02:52:49 AM,14,10,88,10
1784447253,2026-07-19 03:47:33 AM,14,10,90,5
1784447253,2026-07-19 03:47:33 AM,14,10,91,2
1784447479,2026-07-19 03:51:19 AM,14,10,90,5
1784447479,2026-07-19 03:51:19 AM,14,10,91,2
1784447555,2026-07-19 03:52:35 AM,14,10,89,10
1784448368,2026-07-19 04:06:08 AM,29,500,39,500
1784448368,2026-07-19 04:06:08 AM,29,500,89,10
1784448376,2026-07-19 04:06:16 AM,29,500,39,499
1784448472,2026-07-19 04:07:52 AM,29,505,39,499
1784450706,2026-07-19 04:45:06 AM,29,505,38,42
1784450706,2026-07-19 04:45:06 AM,29,505,39,499
1784450706,2026-07-19 04:45:06 AM,29,505,39,541
1784450731,2026-07-19 04:45:31 AM,29,505,36,31
1784450732,2026-07-19 04:45:32 AM,29,505,36,41
1784450835,2026-07-19 04:47:15 AM,29,505,36,30
1784450843,2026-07-19 04:47:23 AM,29,505,35,30
1784450876,2026-07-19 04:47:56 AM,29,505,35,40
1784451073,2026-07-19 04:51:13 AM,29,505,35,14
1784451492,2026-07-19 04:58:12 AM,29,5,34,1
1784451492,2026-07-19 04:58:12 AM,29,5,35,14
1784451493,2026-07-19 04:58:13 AM,29,5,34,1
1784451493,2026-07-19 04:58:13 AM,30,500,34,1
1784451493,2026-07-19 04:58:13 AM,30,500,35,14
1784451821,2026-07-19 05:03:41 AM,29,5,35,14
1784451822,2026-07-19 05:03:42 AM,31,500,35,14
1784451924,2026-07-19 05:05:24 AM,29,5,34,1
1784451924,2026-07-19 05:05:24 AM,29,5,35,14
1784451925,2026-07-19 05:05:25 AM,30,500,34,1
1784451926,2026-07-19 05:05:26 AM,30,500,35,14
1784452490,2026-07-19 05:14:50 AM,31,53,35,18
1784452584,2026-07-19 05:16:24 AM,30,500,35,14
1784452584,2026-07-19 05:16:24 AM,30,500,35,18
1784452584,2026-07-19 05:16:24 AM,31,53,35,18
1784452585,2026-07-19 05:16:25 AM,30,500,35,14
1784452690,2026-07-19 05:18:10 AM,30,556,35,14
1784452700,2026-07-19 05:18:20 AM,31,57,35,14
1784453069,2026-07-19 05:24:29 AM,30,500,35,14
1784453069,2026-07-19 05:24:29 AM,31,57,35,14
1784453142,2026-07-19 05:25:42 AM,30,500,35,14
1784453489,2026-07-19 05:31:29 AM,30,500,36,13
1784455957,2026-07-19 06:12:37 AM,31,100,36,13
1784455999,2026-07-19 06:13:19 AM,30,500,36,13
1784456021,2026-07-19 06:13:41 AM,31,100,36,13
1784456058,2026-07-19 06:14:18 AM,30,500,36,13
1784456082,2026-07-19 06:14:42 AM,31,100,36,13
1784456124,2026-07-19 06:15:24 AM,30,500,36,13
1784456146,2026-07-19 06:15:46 AM,31,100,36,13
1784456179,2026-07-19 06:16:19 AM,30,500,36,13
1784456204,2026-07-19 06:16:44 AM,31,100,36,13
1784456242,2026-07-19 06:17:22 AM,30,500,36,13
1784456302,2026-07-19 06:18:22 AM,31,100,36,13
1784456308,2026-07-19 06:18:28 AM,30,500,36,13
1784456355,2026-07-19 06:19:15 AM,31,100,36,13
1784456359,2026-07-19 06:19:19 AM,30,500,36,13
1784456390,2026-07-19 06:19:50 AM,31,100,36,13
1784456419,2026-07-19 06:20:19 AM,30,500,36,13
1784456420,2026-07-19 06:20:20 AM,31,250,36,13
1784456420,2026-07-19 06:20:20 AM,31,350,36,13
1784456424,2026-07-19 06:20:24 AM,31,350,36,90
1784456433,2026-07-19 06:20:33 AM,31,350,36,1
1784456433,2026-07-19 06:20:33 AM,31,350,36,78
1784456433,2026-07-19 06:20:33 AM,31,350,36,87
