ts_epoch,t_min,spread,midsum_abs_dev,bid_dwell_s,ask_dwell_s,book_changes_30min,trades_60min
1783801048,0.0,92,0.0,0,0,0,0
1783801108,1.0,92,0.0,60,60,0,0
1783801168,2.0,92,0.0,120,120,0,0
1783801228,3.0,92,0.0,180,180,0,0
1783801288,4.0,92,0.0,240,240,0,0
1783801348,5.0,92,0.0,300,300,0,0
1783801408,6.0,92,0.0,360,360,0,0
1783801468,7.0,92,0.0,420,420,0,0
1783801528,8.0,92,0.0,480,480,0,0
1783801588,9.0,92,0.0,540,540,0,0
1783801648,10.0,92,0.0,600,600,0,0
1783801708,11.0,92,0.0,660,660,0,0
1783801768,12.0,92,0.0,720,720,0,0
1783801828,13.0,92,0.0,780,780,0,0
1783801888,14.0,92,0.0,840,840,0,0
1783801948,15.0,92,0.0,900,900,0,0
1783802008,16.0,92,0.0,960,960,0,0
1783802068,17.0,92,0.0,1020,1020,0,0
1783802128,18.0,92,0.0,1080,1080,0,0
1783802188,19.0,92,0.0,1140,26,2,0
1783802248,20.0,91,1.0,1200,22,3,0
1783802308,21.0,91,1.0,1260,82,3,0
1783802368,22.0,91,1.0,1320,142,3,0
1783802428,23.0,91,1.0,1380,202,3,0
1783802488,24.0,91,1.0,1440,262,3,0
1783802548,25.0,91,1.0,1500,322,3,0
1783802608,26.0,91,1.0,1560,382,3,0
1783802668,27.0,91,1.0,1620,442,3,0
1783802728,28.0,91,1.0,1680,502,3,0
1783802788,29.0,91,1.0,1740,562,3,0
1783802848,30.0,91,1.0,1800,622,3,0
1783802908,31.0,91,1.0,1860,682,3,0
1783802968,32.0,91,1.0,1920,742,3,0
1783803028,33.0,91,1.0,1980,802,3,0
1783803088,34.0,91,1.0,2040,862,3,0
1783803148,35.0,91,1.0,2100,922,3,0
1783803208,36.0,90,0.0,54,982,4,0
1783803268,37.0,90,0.0,114,1042,4,0
1783803328,38.0,90,0.0,174,1102,4,0
1783803388,39.0,90,0.0,234,1162,4,0
1783803448,40.0,90,0.0,294,1222,4,0
1783803508,41.0,90,0.0,354,1282,4,0
1783803568,42.0,90,0.0,414,1342,4,0
1783803628,43.0,90,0.0,474,1402,4,0
1783803688,44.0,90,0.0,534,1462,4,0
1783803748,45.0,90,0.0,594,1522,4,0
1783803808,46.0,90,0.0,654,1582,4,0
1783803868,47.0,90,0.0,714,1642,4,0
1783803928,48.0,90,0.0,774,1702,4,0
1783803988,49.0,90,0.0,834,1762,2,0
1783804048,50.0,90,0.0,894,1822,1,0
1783804108,51.0,90,0.0,954,1882,1,0
1783804168,52.0,90,0.0,1014,1942,1,0
1783804228,53.0,90,0.0,1074,2002,1,0
1783804288,54.0,90,0.0,1134,2062,1,0
