cell,n_matches,best_exit,best_dpd_baby,best_dpd_25ct,best_dpd_80ct,best_hit_rate,avg_pnl_at_best,hold_dpd_baby
ATP_CHALL_leader_55-59,15,1,0.05,0.13,0.43,100%,1.0,-1.68
ATP_CHALL_leader_60-64,30,9,0.72,1.80,5.76,97%,6.7,-3.29
ATP_CHALL_leader_65-69,9,30,0.27,0.68,2.19,67%,8.5,-0.04
ATP_CHALL_leader_70-74,18,26,0.28,0.71,2.27,72%,4.4,-0.70
ATP_CHALL_leader_75-79,17,20,0.86,2.16,6.90,94%,14.2,-0.10
ATP_CHALL_leader_80-84,29,16,0.30,0.74,2.37,79%,2.9,-0.55
ATP_CHALL_underdog_15-19,16,9,0.13,0.33,1.06,75%,2.3,-0.65
ATP_CHALL_underdog_20-24,25,64,0.75,1.88,6.00,36%,8.4,-0.63
ATP_CHALL_underdog_25-29,24,10,0.34,0.86,2.74,83%,4.0,-0.48
ATP_CHALL_underdog_30-34,14,57,0.32,0.80,2.57,43%,6.4,-0.17
ATP_CHALL_underdog_35-39,24,7,0.60,1.50,4.80,100%,7.0,-1.44
ATP_CHALL_underdog_40-44,13,10,0.27,0.68,2.19,92%,5.9,-0.57
ATP_MAIN_leader_60-64,28,13,-0.04,-0.09,-0.30,82%,-0.4,-1.27
ATP_MAIN_leader_65-69,18,5,-0.19,-0.47,-1.51,89%,-2.9,-1.81
ATP_MAIN_leader_70-74,9,16,0.21,0.52,1.67,89%,6.5,-0.84
ATP_MAIN_leader_75-79,9,22,0.36,0.90,2.89,78%,11.2,0.05
ATP_MAIN_underdog_20-24,11,15,0.32,0.80,2.57,82%,8.2,-0.17
ATP_MAIN_underdog_25-29,8,5,0.14,0.36,1.14,100%,5.0,-0.39
ATP_MAIN_underdog_30-34,11,64,0.13,0.32,1.03,27%,3.3,-0.19
ATP_MAIN_underdog_35-39,16,32,0.58,1.46,4.67,69%,10.2,-1.09
ATP_MAIN_underdog_40-44,9,56,0.42,1.06,3.40,56%,13.2,-0.59
WTA_MAIN_leader_55-59,6,3,-0.14,-0.36,-1.16,83%,-6.8,-0.84
WTA_MAIN_leader_60-64,7,1,0.02,0.06,0.20,100%,1.0,-0.15
WTA_MAIN_leader_65-69,15,17,-0.28,-0.71,-2.26,73%,-5.3,-0.73
WTA_MAIN_leader_70-74,11,26,0.69,1.71,5.49,82%,17.5,-0.30
WTA_MAIN_leader_80-84,5,1,0.02,0.04,0.14,100%,1.0,-0.40
WTA_MAIN_leader_85-89,5,13,0.24,0.60,1.93,0%,13.5,0.24
WTA_MAIN_underdog_15-19,9,70,0.39,0.98,3.14,33%,12.2,-0.54
WTA_MAIN_underdog_20-24,8,2,0.06,0.14,0.46,100%,2.0,-0.29
WTA_MAIN_underdog_25-29,9,42,0.39,0.96,3.09,56%,12.0,-0.12
WTA_MAIN_underdog_30-34,10,1,-0.08,-0.19,-0.61,90%,-2.1,-0.42
WTA_MAIN_underdog_35-39,9,33,0.57,1.43,4.57,78%,17.8,-0.43
WTA_MAIN_underdog_40-44,13,48,0.29,0.73,2.34,54%,6.3,0.17
