c,own_match_N,match_N,fill_off0,cost_off0,fill_off1,cost_off1,fill_off2,cost_off2,verdict
5,257,487,0.45686677864381836,5,0.3538082037880546,4,0.29446826950154625,3,CHASE/PASS
6,312,526,0.475546647732655,6,0.36953128643059563,5,0.2922863258955163,4,CHASE/PASS
7,289,607,0.4822006318782744,7,0.3913835340922103,6,0.31108169488792714,5,CHASE/PASS
8,283,649,0.49739367691828934,8,0.403448341698276,7,0.33174635948343173,6,CHASE/PASS
9,275,649,0.5053807447630229,9,0.4194382704590268,8,0.3381124878242477,7,WAIT
10,379,638,0.5055422595782026,10,0.4266076654629027,9,0.3531906291637011,8,WAIT
11,353,651,0.5253380557542777,11,0.43655292590724826,10,0.3702877432066333,9,WAIT
12,363,680,0.5332512366713791,12,0.46079271354801465,11,0.3877683012976116,10,WAIT
13,332,706,0.5541450171821305,13,0.47561821305841917,12,0.41031383161512014,11,WAIT
14,349,713,0.5690467559798014,14,0.5003865704729635,13,0.4304429072247647,12,WAIT
15,382,728,0.5791602276329072,15,0.5079680944835687,14,0.44947779013646916,13,WAIT
16,389,748,0.6036213915017695,16,0.5163836292950017,15,0.45952966551600827,14,WAIT
17,377,791,0.6039950687366418,17,0.5345062683920533,16,0.46467862171280033,15,WAIT
18,389,825,0.6181636162287428,18,0.5279278694900694,17,0.4739510872104006,16,WAIT
19,410,836,0.645762123853128,19,0.5446651153330757,18,0.47254017760396405,17,WAIT
20,452,850,0.6456957478172127,20,0.5609931284726158,19,0.48323229391087413,18,WAIT
21,450,873,0.6625064527649611,21,0.5596673660867656,20,0.4899929931416327,19,WAIT
22,456,917,0.6710108443934799,22,0.575523714551913,21,0.49424591487531855,20,WAIT
23,452,933,0.67129705186844,23,0.5801973885360845,22,0.5076133696788401,21,WAIT
24,439,967,0.6790643033391847,24,0.5735729776294846,23,0.5103505440487186,22,WAIT
25,505,983,0.682523537726377,25,0.5852998616190024,24,0.5137117114739447,23,WAIT
26,480,995,0.6791541681866649,26,0.5845622984640433,25,0.521868887926473,24,WAIT
27,473,1014,0.6647633013049008,27,0.5797529332638243,26,0.5210205847662523,25,WAIT
28,508,1031,0.6616315736256094,28,0.5729848764410751,27,0.5192685823063218,26,WAIT
29,486,1032,0.6692064280657427,29,0.5675387648134906,28,0.5077574340257385,27,WAIT
30,509,1064,0.6495785287685498,30,0.5677005432468929,29,0.49886052023541533,28,WAIT
31,497,1085,0.6483362211182319,31,0.5528683359343985,30,0.4942088287228315,29,WAIT
32,498,1105,0.6585288253808579,32,0.5487558238773121,31,0.48286621030923016,30,WAIT
33,525,1103,0.6435968019112445,33,0.5559596244717244,32,0.4807070186353343,31,WAIT
34,503,1091,0.6512054659091338,34,0.5449811518206071,33,0.4854573560727363,32,WAIT
35,576,1117,0.6681069710582541,35,0.5481098963087915,34,0.4794621224671268,33,WAIT
36,566,1110,0.6679444322573918,36,0.5624788407903829,35,0.48544488896616855,34,WAIT
37,524,1129,0.6734077253406339,37,0.5578564224849801,36,0.49147735429888073,35,WAIT
38,547,1137,0.6921877364081691,38,0.5524898006880061,37,0.48172978930561416,36,WAIT
39,518,1119,0.689486712164272,39,0.5673650744147947,38,0.4794638076869737,37,WAIT
40,555,1095,0.6844993964951753,40,0.5672301165940815,39,0.4848547080651181,38,WAIT
41,521,1074,0.7003546354099516,41,0.5651405893737277,40,0.48449062018947847,39,WAIT
42,548,1054,0.7026272453134557,42,0.581910888470852,41,0.4862013037552116,40,WAIT
43,513,1010,0.6979663627337184,43,0.5874294060765447,42,0.49816433549061406,41,WAIT
44,513,968,0.7167891489888816,44,0.5848752338756313,43,0.49894852101583437,42,WAIT
45,489,912,0.7184405006119066,45,0.5949176837018475,44,0.49276543577278686,43,WAIT
46,455,830,0.7062191645644506,46,0.5945149057757492,45,0.49891669717900794,44,WAIT
47,411,788,0.7079773666714916,47,0.5819147400322388,46,0.49727380628491935,45,WAIT
48,380,730,0.6944120892002271,48,0.5852586528105688,47,0.4861419574169784,46,WAIT
49,328,687,0.6862728837065439,49,0.5792298301409772,48,0.4962174366093009,47,WAIT
50,399,716,0.6915981868569065,50,0.5701739793846209,49,0.48559412355207815,48,WAIT
51,446,771,0.6873885244007176,51,0.5801255182262645,50,0.4800017925789829,49,WAIT
52,486,852,0.6813796277717482,52,0.5721277851229689,51,0.48342955047135977,50,WAIT
53,499,933,0.6661952870062001,53,0.559537952051201,52,0.47517336804700167,51,WAIT
54,513,986,0.6562906239515055,54,0.5508162085982217,53,0.4693223541453078,52,WAIT
55,559,1048,0.6509080122250264,55,0.5306385851119517,54,0.45684866060663337,53,WAIT
