c,own_match_N,match_N,fill_off0,cost_off0,fill_off1,cost_off1,fill_off2,cost_off2,verdict
5,276,486,0.5204686512022022,5,0.4300400967640274,4,0.3691923663578019,3,WAIT
6,271,519,0.5521813065035437,6,0.4550575857558468,5,0.3840757784166188,4,WAIT
7,258,599,0.5486065191762733,7,0.47162755929400935,6,0.39602570839164847,5,WAIT
8,323,645,0.5639686053809494,8,0.47188843068816594,7,0.40860208636066786,6,WAIT
9,298,672,0.5851294329866276,9,0.49047973599739747,8,0.4215257753036906,7,WAIT
10,387,675,0.5870078879695666,10,0.4967538254572066,9,0.43063196044526303,8,WAIT
11,336,688,0.6061850417087954,11,0.5027636952503857,10,0.43960981753063794,9,WAIT
12,407,759,0.6104879537527755,12,0.5287111161705849,11,0.45539941942538137,10,WAIT
13,379,783,0.620067556157877,13,0.5335624588743842,12,0.4691415138398769,11,WAIT
14,330,800,0.6192847239855203,14,0.53985145604089,13,0.47478288029373233,12,WAIT
15,466,831,0.6127778362304577,15,0.5362617493346378,14,0.4850511916972574,13,WAIT
16,464,852,0.6219586544786986,16,0.5370074920623871,15,0.4870533524111253,14,WAIT
17,449,875,0.6181281402082641,17,0.5529640709014343,16,0.49509924863118693,15,WAIT
18,469,913,0.6277672959801891,18,0.5532280122476778,17,0.5066614097166682,16,WAIT
19,459,925,0.6489435706933537,19,0.5656320515633068,18,0.5118782732293428,17,WAIT
20,510,936,0.641025490457016,20,0.5741736251345003,19,0.5183896011390261,18,WAIT
21,491,943,0.6542566715209995,21,0.5689021851172051,20,0.5240936140975815,19,WAIT
22,493,984,0.6673132966199479,22,0.5805873290872017,21,0.5231820434396646,20,WAIT
23,480,994,0.661976341596034,23,0.5858975154534456,22,0.5259075820894562,21,WAIT
24,475,996,0.6724011648608986,24,0.5860319358967987,23,0.5315196888054879,22,WAIT
25,532,1007,0.6737218535534003,25,0.597745696500482,24,0.5331556987692134,23,WAIT
26,529,1015,0.6702642238025559,26,0.5957236216463718,25,0.5365300293617581,24,WAIT
27,517,1029,0.6635142179522144,27,0.5989581143968311,26,0.5435956347471378,25,WAIT
28,512,1024,0.659044228383739,28,0.593388044296667,27,0.5451677718930279,26,WAIT
29,514,1031,0.6683286758640055,29,0.590307635727773,28,0.5413040050999527,27,WAIT
30,554,1040,0.6635032857327661,30,0.5962299004264406,29,0.5420997299972351,28,WAIT
31,509,1027,0.6673371753119347,31,0.5914519360664625,30,0.5440272937045869,29,WAIT
32,522,1027,0.6796383549022071,32,0.589069217836651,31,0.5365467365486212,30,WAIT
33,526,1040,0.6665144268388344,33,0.5963287176094505,32,0.5357025198215464,31,WAIT
34,508,1039,0.6663405482594382,34,0.583760204537691,33,0.5380612925477376,32,WAIT
