c,tbin,fill
5,20,0.2429109467583582
5,30,0.48856400088319063
5,40,0.5941816045885445
5,50,0.5479478105186018
5,60,0.6397965923726943
5,70,0.6056257886404168
5,80,0.5781819755738767
5,90,0.6226737068799495
5,100,0.630693172338994
5,110,0.6045750244711988
5,120,0.6236930519631592
5,130,0.6056543800957053
5,140,0.6151095213958041
5,150,0.6301275172690308
5,160,0.649667751269103
5,170,0.6717623066226376
5,180,0.7438379282479187
5,190,0.7014193039007545
5,200,0.6546500704556131
5,210,0.6527667975992467
5,220,0.6762027819915344
5,230,0.7128695999467484
5,240,0.718002842777436
6,20,0.2506080635919757
6,30,0.4768139867393512
6,40,0.5750279736910847
6,50,0.5670429249533467
6,60,0.6494576052249159
6,70,0.609916112799641
6,80,0.586218961054485
6,90,0.6038471842683384
6,100,0.6153734826673861
6,110,0.5955737091325668
6,120,0.5963374517069324
6,130,0.602118277336836
6,140,0.6038941859473791
6,150,0.6219573753093072
6,160,0.6478401084211906
6,170,0.6601147659833676
6,180,0.7350075492910937
6,190,0.6998879766665198
6,200,0.6836803920743878
6,210,0.6757752478654749
6,220,0.6858697988108536
6,230,0.7150492438858572
6,240,0.720559065224276
7,20,0.23640239523380838
7,30,0.45368041834839207
7,40,0.5394457359850462
7,50,0.548035147044508
7,60,0.6196718129048641
7,70,0.5749327225102232
7,80,0.5596522276931394
7,90,0.5828627851554788
7,100,0.5902829464183013
7,110,0.5665456137294579
7,120,0.5517044116483304
7,130,0.5705316679038023
7,140,0.5733984387285292
7,150,0.585864463544354
7,160,0.6214180818219448
7,170,0.624866253058428
7,180,0.6789588513549358
7,190,0.6430774847766406
7,200,0.6647347644380286
7,210,0.6478020864040439
7,220,0.6783033192842041
7,230,0.681115394687555
7,240,0.7082296706956334
8,20,0.23548329822134592
8,30,0.45739400194033764
8,40,0.5281332816447752
8,50,0.5549811364469641
8,60,0.6380126788816507
8,70,0.5980862287000002
8,80,0.5785196083471231
8,90,0.6154219856390594
8,100,0.6125285077760667
8,110,0.5898265527844597
8,120,0.57870279266474
8,130,0.5839239758104852
8,140,0.5830768907922015
8,150,0.6030335172175026
8,160,0.6331072147630779
8,170,0.6396260878474921
8,180,0.677863017279043
8,190,0.6467081344197974
8,200,0.6786743802220297
8,210,0.6620363405141948
8,220,0.7012883616343389
8,230,0.6861304903089469
8,240,0.6884703363021365
9,20,0.24166364272970112
9,30,0.4545585250578001
9,40,0.5175653396660531
9,50,0.5639237672941226
9,60,0.6464739957253448
9,70,0.5988210839421115
9,80,0.5808371400434748
9,90,0.6075765010053132
9,100,0.6028636707964803
9,110,0.590964274250215
9,120,0.5724865202984412
9,130,0.5716124125399957
9,140,0.5662458372582282
9,150,0.5937578081715572
9,160,0.6228328848396711
9,170,0.6292275489194398
9,180,0.6621925200282263
9,190,0.6341769458201201
9,200,0.6788490337730175
9,210,0.6692888426588327
9,220,0.7101069730299459
9,230,0.684853117790209
9,240,0.6846914366728497
10,20,0.244318976410751
10,30,0.4486544430123161
10,40,0.5106080171780369
10,50,0.5456039366485675
10,60,0.6216862734987585
10,70,0.5812696507990258
10,80,0.5642737580964773
10,90,0.6042791372181159
10,100,0.5983889190706745
10,110,0.5829502047232538
10,120,0.5853463166774283
10,130,0.5777457506920137
10,140,0.578044670928297
10,150,0.610896487433622
10,160,0.629701824948232
10,170,0.6407876169147849
10,180,0.6432284319646487
10,190,0.6307177249192606
10,200,0.6678889372916191
10,210,0.6530784068960175
10,220,0.7127962565337442
10,230,0.6588598250811916
10,240,0.6828975334250507
11,20,0.2671167149094834
11,30,0.484928209590848
11,40,0.5435062943220608
11,50,0.5688715773789629
11,60,0.6361420659918018
11,70,0.6224930333599848
11,80,0.5901021875479157
11,90,0.6373020615964391
11,100,0.6275109038123399
11,110,0.6228386086567498
11,120,0.6440810615949119
11,130,0.6298738461086278
11,140,0.6372567141434112
11,150,0.66475757715325
11,160,0.6670801839602353
11,170,0.6868758133522517
11,180,0.6807714863532703
11,190,0.6631701272642702
11,200,0.6911157386436566
11,210,0.6845195572767458
11,220,0.7428042127189178
11,230,0.6891874967079659
11,240,0.682737196812805
12,20,0.2658875729218063
12,30,0.4722877002955196
12,40,0.5372393497575284
12,50,0.5559818891491023
12,60,0.5969315618624322
12,70,0.5980465357125607
12,80,0.5631890782888808
12,90,0.5941280959731459
12,100,0.5877947041858349
12,110,0.6088581861135977
12,120,0.6407258170564927
12,130,0.6291333945994725
12,140,0.6423361246797599
12,150,0.6571333234287686
12,160,0.6441906454300618
12,170,0.6653728546010509
12,180,0.6544030394940242
12,190,0.6392498581160422
12,200,0.6562390612096476
12,210,0.6734706154331492
12,220,0.7176190424251678
12,230,0.6750482702425027
12,240,0.675160575320746
13,20,0.27533937628642186
13,30,0.4884451297459551
13,40,0.5499179085423943
13,50,0.5614055168713329
13,60,0.5796194206494742
13,70,0.6060904740961816
13,80,0.5689049416159231
13,90,0.6025888312847221
13,100,0.5931670057647833
13,110,0.6168573690444119
13,120,0.6644581702397624
13,130,0.6560600865792843
13,140,0.6800858375071268
13,150,0.6905503877480709
13,160,0.6673786989746822
13,170,0.6839179086036691
13,180,0.673806352755667
13,190,0.6533081368259793
13,200,0.6676022362347162
13,210,0.6870042730164717
13,220,0.7316895766353422
13,230,0.68943280843246
13,240,0.7003416540983102
14,20,0.26145562534274147
14,30,0.47276950428916653
14,40,0.5357423747284691
14,50,0.5473515178052584
14,60,0.5451150490782415
14,70,0.5821430775979185
14,80,0.5442939163170709
14,90,0.5591248183147273
14,100,0.5552714112422983
14,110,0.5949627007764493
14,120,0.6397648445426707
14,130,0.653211669324599
14,140,0.6639009883350426
14,150,0.662378662795972
14,160,0.6438173427260733
14,170,0.6569365897504759
14,180,0.6449169144993353
14,190,0.6197441651825527
14,200,0.6304845196651933
14,210,0.655197406189051
14,220,0.6803982200911886
14,230,0.6619878848415526
14,240,0.6521156325222173
15,20,0.2508576941527827
15,30,0.4473964644121058
15,40,0.5091272562524569
15,50,0.5389686625803075
15,60,0.5379973618551457
15,70,0.5619779501725485
15,80,0.5448776001899484
15,90,0.541634662744199
15,100,0.5474068654940463
15,110,0.5885343041246415
15,120,0.6333121569234379
15,130,0.6430882960745615
15,140,0.6489531180302099
15,150,0.6587704874963636
15,160,0.6460449409768799
15,170,0.6477266274312944
15,180,0.6359583607338212
15,190,0.6106026896199399
15,200,0.6213960466599152
15,210,0.654234585301772
15,220,0.6691635521776338
15,230,0.6536916876621579
15,240,0.6587670885411657
16,20,0.25726615547559634
16,30,0.4520604905324692
16,40,0.509909667518231
16,50,0.560312753607314
16,60,0.5761880745540751
16,70,0.590074827088323
16,80,0.5907548168958642
16,90,0.5844388760258943
16,100,0.5972290585460669
16,110,0.6229211470273796
16,120,0.6701440755988173
16,130,0.6732320079950636
16,140,0.6737555710223145
16,150,0.6982729470672495
16,160,0.6937428982909261
16,170,0.6888696144324729
16,180,0.6739621106480507
16,190,0.6551168035035503
16,200,0.6708717352549737
16,210,0.6875074933856972
16,220,0.683913419707353
16,230,0.6784487351504688
16,240,0.687652045360979
17,20,0.23442283822920976
17,30,0.4191382082420682
17,40,0.48552843159632186
17,50,0.5298568022274401
17,60,0.5483785461687487
17,70,0.549515149720905
17,80,0.5694923628848397
17,90,0.5554403597754567
17,100,0.5814878437988362
17,110,0.6116895061546925
17,120,0.6455289280034089
17,130,0.6526619185076663
17,140,0.6484992608036282
17,150,0.670357206254474
17,160,0.673456829713138
17,170,0.668014811249681
17,180,0.6554531424500479
17,190,0.6331147995790036
17,200,0.650030152333685
17,210,0.644138017201498
17,220,0.6277440184028928
17,230,0.6431499175580264
17,240,0.6401114402595572
18,20,0.24708577446568658
18,30,0.4249309433366035
18,40,0.4995656502673887
18,50,0.5511951056987228
18,60,0.5882937627222617
18,70,0.5922866490263049
