c,tbin,fill
5,20,0.36550089347580317
5,30,0.5660000246752125
5,40,0.6274651797137132
5,50,0.6514358444037864
5,60,0.6309518224890931
5,70,0.6727272727272726
5,80,0.8189118930461424
5,90,0.6716385954895805
5,100,0.751444661194744
5,110,0.6511596863006841
5,120,0.7961871857358792
5,130,0.7075014060742408
5,140,0.631868131868132
5,150,0.6457335390111227
5,160,0.8042971783587884
5,170,0.8547247929858742
5,180,0.7874594329802217
5,190,0.9159786304031082
5,200,0.7694036559784238
5,210,0.7130115249707701
5,220,0.7239492493416777
5,230,0.7026870846576133
5,240,0.790175864160097
6,20,0.3782298358315489
6,30,0.5969215557647148
6,40,0.6519547638464486
6,50,0.6793283572368335
6,60,0.6713408296324294
6,70,0.6926079337263024
6,80,0.8474534491258675
6,90,0.7027610008628128
6,100,0.7834013025747154
6,110,0.6658689552731474
6,120,0.8149545623638199
6,130,0.7212281032209455
6,140,0.6634560256851278
6,150,0.6805822192746692
6,160,0.8004295818983076
6,170,0.8429441938926567
6,180,0.7877605163133593
6,190,0.8926217897394839
6,200,0.7546912897323518
6,210,0.7068305044790193
6,220,0.7172363146782534
6,230,0.6822018348623853
6,240,0.7420382165605095
7,20,0.3882371652489621
7,30,0.6233632774699631
7,40,0.6783877591815224
7,50,0.702571010248902
7,60,0.6843444625407166
7,70,0.7190395763911077
7,80,0.8522513328523922
7,90,0.7236133820800645
7,100,0.7746326929004417
7,110,0.6558289464530043
7,120,0.8289512355029052
7,130,0.7692286516544625
7,140,0.7122933884297521
7,150,0.6849588502640954
7,160,0.777117903930131
7,170,0.788571240149042
7,180,0.7432605576055762
7,190,0.8522464385729941
7,200,0.6918970599952196
7,210,0.6634061640862392
7,220,0.6980851966309155
7,230,0.6339817161734969
7,240,0.6434301521438451
8,20,0.41218012866333087
8,30,0.669243769303988
8,40,0.6971745602995796
8,50,0.7264599103970337
8,60,0.7339647424818528
8,70,0.7666616537584279
8,80,0.8865576102418206
8,90,0.7756902931966979
8,100,0.799322496205539
8,110,0.6887997593502458
8,120,0.8698088003668482
8,130,0.8068527354082717
8,140,0.7827843204187291
8,150,0.7639364433982455
8,160,0.8139293476497875
8,170,0.8124787959164791
8,180,0.7778501785886669
8,190,0.8611393840695609
8,200,0.7315835991238521
8,210,0.6908509952217632
8,220,0.731423429699292
8,230,0.6594454582916347
8,240,0.636038186157518
9,20,0.4437529571943106
9,30,0.7206820725824323
9,40,0.7709448750601241
9,50,0.7940758673122325
9,60,0.7921461754613875
9,70,0.7846534317122553
9,80,0.9157615812420085
9,90,0.7994066749072929
9,100,0.7679259667104316
9,110,0.6808489634748272
9,120,0.8759841644054981
9,130,0.8146173318252814
9,140,0.8568431941610872
9,150,0.8241214187160133
9,160,0.7455143131077935
9,170,0.7398614913834757
9,180,0.7435798466368174
9,190,0.76087708376565
9,200,0.6434489537986239
