band,N,is_fb_discount,is_fb_poststart,is_fill_rate,oos_fb_$,oos_skip_$
5-9,276,1,B1,0.38,9.06,4.58
10-16,432,1,B2,0.419,14.63,7.8
17-19,185,5,B4,0.162,6.87,5.05
20-22,214,5,B3,0.173,6.57,1.52
23-25,204,3,B3,0.206,8.28,1.54
26-28,259,4,B1,0.216,11.31,5.32
29-30,172,3,B1,0.198,6.14,2.84
31-32,195,8,B2,0.067,5.99,3.09
33-35,277,4,B1,0.17,9.36,4.46
36-37,226,2,B1,0.252,7.93,3.92
38-40,285,1,B1,0.347,12.51,5.84
41-42,175,8,B4,0.091,9.23,5.05
43-44,194,3,B2,0.17,7.92,2.62
45-46,178,6,B3,0.124,5.2,-0.7
47-48,132,1,B3,0.409,2.52,-0.6
49-51,232,2,B1,0.409,10.1,5.49
52-54,257,3,B3,0.202,11.47,2.74
55-56,174,2,B2,0.328,7.68,2.83
57-58,206,6,B1,0.189,9.54,5.46
59-61,300,5,B3,0.193,10.14,-1.78
62-64,282,10,B1,0.071,11.75,8.11
65-66,188,2,B1,0.394,8.72,7.01
67-68,196,4,B1,0.255,19.03,11.15
69-71,256,8,B1,0.184,10.51,6.99
72-74,217,6,B1,0.23,7.51,0.77
75-76,146,8,B1,0.329,10.96,6.3
77-79,180,4,B1,0.372,6.44,-0.04
80-82,165,12,B1,0.303,7.72,7.87
83-86,243,12,B1,0.333,5.24,10.43
87-94,368,15,B1,0.323,24.26,17.98
