c,n,med_dip,off_reach50,off_reach60,current_offset,cur_fill_pred,new_fill_pred
5,160,3.0,3,2,3,0.525,0.744
6,192,3.0,3,2,3,0.516,0.74
7,239,3.0,3,2,3,0.561,0.766
8,269,3.0,3,2,3,0.561,0.77
9,291,3.0,3,3,3,0.612,0.612
10,301,3.0,3,3,3,0.648,0.648
11,309,4.0,4,3,3,0.663,0.663
12,313,4.0,4,3,3,0.671,0.671
13,329,4.0,4,3,3,0.687,0.687
14,331,4.0,4,3,3,0.671,0.671
15,359,4.0,4,3,2,0.844,0.694
16,356,4.0,4,3,2,0.854,0.699
17,348,4.0,4,3,2,0.839,0.687
18,338,4.0,4,3,2,0.858,0.722
19,343,4.0,4,3,2,0.854,0.723
20,349,4.0,4,3,2,0.854,0.722
21,357,4.0,4,3,2,0.86,0.72
22,351,4.0,4,3,2,0.84,0.692
23,351,4.0,4,3,2,0.829,0.675
24,360,4.0,4,3,2,0.836,0.686
25,371,4.0,4,3,2,0.822,0.655
26,367,4.0,4,3,2,0.828,0.659
27,382,4.0,4,3,2,0.84,0.675
28,405,4.0,4,3,2,0.83,0.686
29,427,4.0,4,3,2,0.831,0.681
30,451,4.0,4,3,2,0.836,0.683
31,461,4.0,4,3,2,0.82,0.67
32,488,4.0,4,3,2,0.82,0.68
33,498,4.0,4,3,2,0.811,0.665
34,494,4.0,4,3,2,0.804,0.66
35,491,4.0,4,3,3,0.654,0.654
36,491,4.0,4,3,3,0.662,0.662
37,492,4.0,4,3,3,0.665,0.665
38,503,4.0,4,3,3,0.684,0.684
39,477,4.0,4,3,3,0.675,0.675
40,481,4.0,4,3,3,0.674,0.674
41,477,4.0,4,3,3,0.671,0.671
42,471,4.0,4,3,3,0.688,0.688
43,460,4.0,4,3,3,0.704,0.704
44,456,4.0,4,3,3,0.715,0.715
45,447,4.0,4,3,7,0.295,0.725
46,443,4.0,4,3,7,0.289,0.745
47,441,4.0,4,4,7,0.324,0.612
48,432,4.0,4,4,7,0.354,0.63
49,414,5.0,5,4,7,0.372,0.635
50,411,5.0,5,4,7,0.394,0.65
51,403,5.0,5,4,7,0.385,0.64
52,414,5.0,5,4,7,0.389,0.645
53,433,5.0,5,4,7,0.39,0.647
54,448,5.0,5,4,7,0.35,0.636
55,465,4.0,4,4,4,0.63,0.63
56,491,4.0,4,4,4,0.637,0.637
57,503,5.0,5,4,4,0.646,0.646
58,528,5.0,5,4,4,0.665,0.665
59,532,5.0,5,4,4,0.679,0.679
60,554,5.0,5,4,4,0.686,0.686
61,551,5.0,5,4,4,0.701,0.701
62,567,5.0,5,4,4,0.697,0.697
63,574,5.0,5,4,4,0.702,0.702
64,589,5.0,5,4,4,0.71,0.71
65,589,5.0,5,4,2,0.929,0.698
66,591,5.0,5,4,2,0.924,0.68
67,572,5.0,5,4,2,0.925,0.692
68,568,5.0,5,4,2,0.935,0.687
69,562,5.0,5,4,2,0.938,0.689
70,537,5.0,5,4,2,0.924,0.669
71,511,5.0,5,4,2,0.924,0.665
72,489,5.0,5,4,2,0.933,0.681
73,453,5.0,5,4,2,0.936,0.689
74,446,5.0,5,4,2,0.924,0.673
75,441,5.0,5,4,3,0.796,0.683
76,410,6.0,6,4,3,0.812,0.705
77,401,6.0,6,5,3,0.82,0.601
78,394,7.0,7,5,3,0.825,0.607
79,373,7.0,7,5,3,0.815,0.622
80,378,8.0,8,5,3,0.823,0.635
81,348,8.0,8,6,3,0.839,0.603
82,343,9.0,8,6,3,0.837,0.609
83,338,12.0,8,6,3,0.852,0.627
84,339,13.0,8,6,3,0.858,0.646
85,331,12.0,8,6,7,0.598,0.647
86,335,14.0,8,8,7,0.636,0.615
87,329,16.0,8,8,7,0.666,0.65
88,330,16.0,8,8,7,0.67,0.655
89,301,17.0,8,8,7,0.704,0.688
90,295,17.0,8,8,7,0.705,0.688
91,276,16.0,8,8,7,0.721,0.699
92,230,18.0,8,8,7,0.748,0.73
93,182,16.0,8,8,7,0.725,0.714
94,138,15.5,8,8,7,0.71,0.696
