c,seg1_mean_dc,seg1_std,seg1_event_N,seg2_mean_dc,seg2_std,seg2_event_N,pooled_event_N
5,0.94,4.28,88,0.4,5.93,87,90
6,0.78,4.55,116,0.32,5.88,114,118
7,0.53,4.48,143,0.36,5.63,141,145
8,0.88,4.86,177,0.53,6.2,175,179
9,0.6,5.13,183,0.52,6.72,181,185
10,0.43,5.46,199,0.64,6.9,198,202
11,0.47,5.9,204,0.56,7.36,203,208
12,-0.2,5.99,211,0.93,7.1,210,215
13,-0.42,5.86,232,1.54,9.62,231,236
14,-0.41,6.08,246,1.82,9.82,245,252
15,-1.24,5.85,258,2.19,9.66,257,265
16,-1.46,6.08,269,2.36,9.68,268,276
17,-1.48,6.0,279,2.33,9.56,278,285
18,-1.61,5.83,287,2.25,9.41,286,292
19,-1.51,5.78,293,2.04,10.37,292,299
20,-1.38,7.22,290,1.62,9.05,289,300
21,-1.68,7.55,295,1.69,9.35,293,305
22,-1.37,7.7,301,1.26,9.3,299,311
23,-1.09,7.83,317,1.05,9.56,315,327
24,-0.67,9.09,329,1.4,9.91,327,340
25,-0.61,9.84,353,1.58,10.48,351,363
26,-0.46,10.08,370,1.56,9.88,368,381
27,-0.58,10.04,385,1.31,9.95,384,392
28,-0.54,10.07,418,0.96,9.61,418,426
29,-0.71,10.29,427,1.19,10.26,427,436
30,-1.09,10.08,445,1.15,10.13,444,456
31,-1.56,9.22,460,1.0,10.54,459,472
32,-1.76,8.86,470,0.91,10.28,469,483
33,-1.91,8.62,493,1.0,10.65,492,508
34,-1.77,8.3,515,1.32,10.48,514,533
35,-1.77,8.71,499,1.53,11.04,498,515
36,-1.41,9.18,519,1.51,10.58,518,534
37,-1.38,9.55,532,1.7,10.39,532,548
38,-1.17,9.99,544,1.6,10.0,544,560
39,-1.11,10.06,558,1.63,10.29,558,575
40,-0.69,10.7,559,1.36,9.7,558,575
41,-0.71,10.68,569,1.17,9.76,568,585
42,-0.75,10.56,582,0.99,9.67,581,599
43,-0.88,10.6,592,0.77,10.49,591,608
44,-0.61,10.74,586,0.59,10.57,585,601
45,-0.62,10.41,577,0.28,10.67,576,590
46,-0.43,10.6,567,-0.03,10.54,566,580
47,-0.99,10.01,537,0.07,11.16,536,547
48,-0.96,9.94,476,-0.05,11.17,476,483
49,-0.85,9.13,419,0.1,10.33,419,425
50,-1.02,7.65,341,0.02,7.33,341,348
51,-0.44,7.12,323,-0.6,6.58,322,327
52,0.24,8.17,367,-0.11,7.51,366,373
53,0.54,9.41,446,-0.18,9.76,445,452
54,1.17,9.58,537,-0.22,10.32,536,544
55,1.37,9.91,599,-0.35,10.32,598,609
56,1.47,10.11,637,-0.61,10.23,637,648
57,1.58,10.81,686,-0.68,10.21,685,698
58,1.5,11.21,686,-0.56,10.27,684,701
59,1.25,11.22,716,-0.99,10.36,714,729
60,1.42,11.36,707,-1.16,10.35,705,718
61,1.29,11.4,694,-1.27,10.3,692,706
62,0.93,11.39,699,-0.99,10.48,697,710
63,1.04,11.37,701,-0.91,10.14,699,711
64,1.23,10.73,674,-1.12,10.02,673,683
65,1.4,10.42,680,-1.36,10.18,680,687
66,1.74,10.34,638,-1.12,9.97,638,647
67,1.52,9.97,650,-1.02,9.83,649,660
68,1.35,10.07,639,-1.06,9.6,637,649
69,1.39,9.87,611,-1.4,9.25,609,620
70,1.27,9.76,580,-1.54,9.95,578,593
71,1.05,10.32,560,-1.56,10.25,558,573
72,0.86,10.24,523,-1.19,9.9,521,535
73,0.6,9.76,503,-1.06,9.83,501,514
74,0.15,10.64,459,-1.17,9.67,458,472
75,0.49,10.25,444,-1.33,9.65,444,458
76,0.78,10.33,420,-1.35,9.79,420,434
77,0.72,10.03,398,-1.36,9.06,397,409
78,0.66,9.47,368,-1.57,8.77,366,379
79,0.76,9.29,337,-1.88,8.47,334,350
80,0.88,9.29,330,-1.94,8.81,327,343
81,1.56,7.43,328,-2.02,9.9,325,340
82,1.06,8.22,332,-2.0,9.76,329,342
83,0.77,8.02,315,-2.08,9.71,311,324
84,0.63,8.81,297,-2.33,9.73,294,305
85,0.65,8.36,283,-2.02,9.58,281,291
86,0.41,8.22,284,-1.94,9.59,282,291
87,-0.03,8.67,263,-2.43,9.59,261,272
88,-0.74,9.02,245,-1.71,7.78,243,253
89,-0.8,7.98,203,-1.17,7.68,200,211
90,-0.72,7.65,201,-1.0,7.72,198,211
91,-0.96,7.03,196,-0.77,7.24,192,208
92,-1.09,7.23,171,-0.55,6.82,167,182
93,-1.53,7.87,135,-0.38,7.13,132,145
94,-1.43,7.97,108,0.43,6.17,105,115
