c,offset,p1_downtravel_med,full_downtravel_med,fill_prob_p1,fill_prob_full,event_N,offset_vs_p1travel
5,1,2.0,3.0,0.851,0.925,67,inside
6,1,2.0,3.0,0.843,0.899,89,inside
7,1,2.0,3.0,0.856,0.904,104,inside
8,1,2.0,3.0,0.848,0.896,125,inside
9,1,2.0,3.0,0.823,0.885,130,inside
10,1,2.0,3.0,0.817,0.875,120,inside
11,1,2.0,3.0,0.791,0.861,115,inside
12,1,2.0,3.0,0.795,0.836,122,inside
13,1,2.0,4.0,0.81,0.857,126,inside
14,1,2.0,3.0,0.815,0.859,135,inside
15,2,2.0,4.0,0.596,0.681,141,inside
16,2,2.0,4.0,0.658,0.717,152,inside
17,2,2.0,3.0,0.62,0.695,187,inside
18,2,2.0,3.0,0.626,0.709,203,inside
19,2,2.0,3.0,0.606,0.718,213,inside
20,2,2.0,3.0,0.655,0.777,229,inside
21,2,2.0,3.0,0.641,0.778,234,inside
22,2,2.0,3.0,0.639,0.804,255,inside
23,2,2.0,3.0,0.6,0.796,260,inside
24,2,2.0,4.0,0.647,0.835,278,inside
25,1,2.0,4.0,0.867,0.94,300,inside
26,1,2.0,4.0,0.835,0.927,327,inside
27,1,2.0,4.0,0.829,0.919,346,inside
28,1,2.0,4.0,0.841,0.923,378,inside
29,1,2.0,4.0,0.845,0.929,380,inside
30,1,2.0,4.0,0.849,0.928,404,inside
31,1,2.0,4.0,0.844,0.926,403,inside
32,1,2.0,4.0,0.836,0.912,409,inside
33,1,2.0,4.0,0.875,0.925,424,inside
34,1,2.0,4.0,0.871,0.924,435,inside
35,1,2.0,4.0,0.871,0.926,458,inside
36,1,2.0,4.0,0.877,0.923,479,inside
37,1,2.0,4.0,0.878,0.925,507,inside
38,1,2.0,4.0,0.887,0.933,520,inside
39,1,2.0,4.0,0.896,0.942,531,inside
40,1,2.0,4.0,0.891,0.938,533,inside
41,1,2.0,4.0,0.897,0.94,535,inside
42,1,2.0,4.0,0.887,0.932,532,inside
43,1,2.0,4.0,0.885,0.927,522,inside
44,1,2.0,4.0,0.886,0.924,501,inside
45,2,2.0,4.0,0.667,0.79,499,inside
46,2,2.0,4.0,0.664,0.779,479,inside
47,2,3.0,4.0,0.669,0.782,444,inside
48,2,3.0,4.0,0.708,0.819,387,inside
49,2,3.0,4.5,0.741,0.851,309,inside
50,2,3.0,4.5,0.765,0.878,255,inside
51,2,3.0,5.0,0.751,0.865,229,inside
52,2,3.0,4.5,0.727,0.819,293,inside
53,2,2.5,4.0,0.705,0.801,356,inside
54,2,2.5,4.0,0.649,0.744,441,inside
55,2,2.0,4.0,0.626,0.719,481,inside
56,2,2.0,4.0,0.621,0.716,507,inside
57,2,2.0,4.0,0.628,0.729,521,inside
58,2,2.0,4.0,0.62,0.731,553,inside
59,2,2.0,4.0,0.602,0.719,555,inside
60,2,2.0,3.0,0.587,0.712,572,inside
61,2,2.0,3.0,0.612,0.747,565,inside
62,2,2.0,3.0,0.614,0.753,572,inside
63,2,2.0,3.0,0.59,0.737,547,inside
64,2,2.0,3.0,0.59,0.729,549,inside
65,1,2.0,3.0,0.822,0.893,523,inside
66,1,2.0,3.0,0.83,0.893,495,inside
67,1,2.0,3.0,0.82,0.875,479,inside
68,1,2.0,3.0,0.83,0.874,454,inside
69,1,2.0,3.0,0.843,0.878,434,inside
70,1,2.0,3.0,0.856,0.884,431,inside
71,1,2.0,3.0,0.85,0.882,414,inside
72,1,2.0,3.0,0.851,0.883,409,inside
73,1,2.0,3.0,0.827,0.873,394,inside
74,1,2.0,3.0,0.845,0.891,375,inside
75,7,2.0,3.0,0.186,0.307,355,TOO-DEEP
76,7,2.0,3.0,0.176,0.294,323,TOO-DEEP
77,7,2.0,2.0,0.164,0.268,298,TOO-DEEP
78,7,2.0,2.0,0.144,0.246,285,TOO-DEEP
79,7,2.0,2.0,0.141,0.242,256,TOO-DEEP
80,7,2.0,2.0,0.147,0.253,245,TOO-DEEP
81,7,2.0,2.0,0.155,0.27,226,TOO-DEEP
82,7,2.0,2.0,0.165,0.269,212,TOO-DEEP
83,7,2.0,3.0,0.163,0.271,203,TOO-DEEP
84,7,2.0,3.0,0.176,0.28,193,TOO-DEEP
85,1,2.0,3.0,0.883,0.92,163,inside
86,1,2.0,3.0,0.875,0.928,152,inside
87,1,2.0,3.0,0.88,0.937,142,inside
88,1,2.0,3.0,0.899,0.93,129,inside
89,1,2.0,3.0,0.887,0.944,124,inside
90,1,2.0,3.0,0.884,0.942,121,inside
91,1,2.0,3.0,0.89,0.941,118,inside
92,1,2.0,3.0,0.902,0.951,102,inside
93,1,2.0,3.0,0.92,0.955,88,inside
94,1,2.0,3.0,0.894,0.939,66,inside
