c,D,time_bin_min_before_start,match_N,reach_dip_by_time_raw
5,3,240,7,0.0
5,3,180,7,0.0
5,3,120,7,0.14285714285714285
5,3,90,7,0.14285714285714285
5,3,60,7,0.14285714285714285
5,3,40,7,0.14285714285714285
5,3,30,7,0.14285714285714285
5,3,20,7,0.2857142857142857
5,3,10,7,0.2857142857142857
5,3,5,7,0.2857142857142857
5,3,2,7,0.2857142857142857
5,3,1,7,0.2857142857142857
5,5,240,7,0.0
5,5,180,7,0.0
5,5,120,7,0.0
5,5,90,7,0.0
5,5,60,7,0.0
5,5,40,7,0.0
5,5,30,7,0.0
5,5,20,7,0.0
5,5,10,7,0.0
5,5,5,7,0.0
5,5,2,7,0.0
5,5,1,7,0.0
6,3,240,11,0.0
6,3,180,11,0.0
6,3,120,11,0.09090909090909091
6,3,90,11,0.09090909090909091
6,3,60,11,0.09090909090909091
6,3,40,11,0.09090909090909091
6,3,30,11,0.09090909090909091
6,3,20,11,0.09090909090909091
6,3,10,11,0.18181818181818182
6,3,5,11,0.18181818181818182
6,3,2,11,0.18181818181818182
6,3,1,11,0.18181818181818182
6,5,240,11,0.0
6,5,180,11,0.0
6,5,120,11,0.0
6,5,90,11,0.0
6,5,60,11,0.0
6,5,40,11,0.0
6,5,30,11,0.0
6,5,20,11,0.0
6,5,10,11,0.0
6,5,5,11,0.0
6,5,2,11,0.0
6,5,1,11,0.0
7,3,240,6,0.0
7,3,180,6,0.16666666666666666
7,3,120,6,0.3333333333333333
7,3,90,6,0.3333333333333333
7,3,60,6,0.3333333333333333
7,3,40,6,0.3333333333333333
7,3,30,6,0.3333333333333333
7,3,20,6,0.3333333333333333
7,3,10,6,0.3333333333333333
7,3,5,6,0.3333333333333333
7,3,2,6,0.3333333333333333
7,3,1,6,0.3333333333333333
7,5,240,6,0.0
7,5,180,6,0.0
7,5,120,6,0.0
7,5,90,6,0.0
7,5,60,6,0.0
7,5,40,6,0.0
7,5,30,6,0.0
7,5,20,6,0.0
7,5,10,6,0.0
7,5,5,6,0.0
7,5,2,6,0.0
7,5,1,6,0.0
8,3,240,7,0.0
8,3,180,7,0.14285714285714285
8,3,120,7,0.14285714285714285
8,3,90,7,0.14285714285714285
8,3,60,7,0.14285714285714285
