c,D,time_bin_min_before_start,match_N,reach_dip_by_time_raw
5,3,240,18,0.0
5,3,180,18,0.0
5,3,120,18,0.0
5,3,90,18,0.0
5,3,60,18,0.0
5,3,40,18,0.05555555555555555
5,3,30,18,0.05555555555555555
5,3,20,18,0.05555555555555555
5,3,10,18,0.05555555555555555
5,3,5,18,0.1111111111111111
5,3,2,18,0.1111111111111111
5,3,1,18,0.1111111111111111
5,5,240,18,0.0
5,5,180,18,0.0
5,5,120,18,0.0
5,5,90,18,0.0
5,5,60,18,0.0
5,5,40,18,0.0
5,5,30,18,0.0
5,5,20,18,0.0
5,5,10,18,0.0
5,5,5,18,0.0
5,5,2,18,0.0
5,5,1,18,0.0
6,3,240,27,0.0
6,3,180,27,0.037037037037037035
6,3,120,27,0.037037037037037035
6,3,90,27,0.037037037037037035
6,3,60,27,0.07407407407407407
6,3,40,27,0.1111111111111111
6,3,30,27,0.18518518518518517
6,3,20,27,0.18518518518518517
6,3,10,27,0.18518518518518517
6,3,5,27,0.25925925925925924
6,3,2,27,0.25925925925925924
6,3,1,27,0.25925925925925924
6,5,240,27,0.0
6,5,180,27,0.0
6,5,120,27,0.0
6,5,90,27,0.0
6,5,60,27,0.0
6,5,40,27,0.0
6,5,30,27,0.0
6,5,20,27,0.0
6,5,10,27,0.0
6,5,5,27,0.0
6,5,2,27,0.0
6,5,1,27,0.0
7,3,240,22,0.0
7,3,180,22,0.13636363636363635
7,3,120,22,0.13636363636363635
7,3,90,22,0.18181818181818182
7,3,60,22,0.22727272727272727
7,3,40,22,0.3181818181818182
7,3,30,22,0.36363636363636365
7,3,20,22,0.4090909090909091
7,3,10,22,0.5
7,3,5,22,0.5454545454545454
7,3,2,22,0.5454545454545454
7,3,1,22,0.5454545454545454
7,5,240,22,0.0
7,5,180,22,0.0
7,5,120,22,0.0
7,5,90,22,0.0
7,5,60,22,0.045454545454545456
7,5,40,22,0.09090909090909091
7,5,30,22,0.13636363636363635
7,5,20,22,0.18181818181818182
7,5,10,22,0.2727272727272727
7,5,5,22,0.2727272727272727
7,5,2,22,0.2727272727272727
7,5,1,22,0.2727272727272727
8,3,240,32,0.0
8,3,180,32,0.125
8,3,120,32,0.125
8,3,90,32,0.125
8,3,60,32,0.1875
8,3,40,32,0.25
8,3,30,32,0.28125
8,3,20,32,0.3125
8,3,10,32,0.375
8,3,5,32,0.375
8,3,2,32,0.40625
8,3,1,32,0.40625
8,5,240,32,0.0
8,5,180,32,0.0
8,5,120,32,0.0
8,5,90,32,0.0
8,5,60,32,0.09375
8,5,40,32,0.09375
8,5,30,32,0.09375
8,5,20,32,0.09375
8,5,10,32,0.15625
8,5,5,32,0.15625
8,5,2,32,0.1875
8,5,1,32,0.1875
8,8,240,32,0.0
8,8,180,32,0.0
8,8,120,32,0.0
8,8,90,32,0.0
8,8,60,32,0.0
8,8,40,32,0.0
8,8,30,32,0.0
8,8,20,32,0.0
8,8,10,32,0.0
8,8,5,32,0.0
8,8,2,32,0.0
8,8,1,32,0.0
9,3,240,31,0.0
9,3,180,31,0.03225806451612903
9,3,120,31,0.06451612903225806
9,3,90,31,0.06451612903225806
9,3,60,31,0.12903225806451613
9,3,40,31,0.12903225806451613
9,3,30,31,0.16129032258064516
9,3,20,31,0.22580645161290322
9,3,10,31,0.3225806451612903
9,3,5,31,0.3870967741935484
9,3,2,31,0.3870967741935484
9,3,1,31,0.3870967741935484
9,5,240,31,0.0
9,5,180,31,0.0
9,5,120,31,0.0
9,5,90,31,0.0
9,5,60,31,0.0
9,5,40,31,0.0
9,5,30,31,0.0
9,5,20,31,0.03225806451612903
9,5,10,31,0.0967741935483871
9,5,5,31,0.12903225806451613
9,5,2,31,0.16129032258064516
9,5,1,31,0.16129032258064516
9,8,240,31,0.0
9,8,180,31,0.0
9,8,120,31,0.0
9,8,90,31,0.0
9,8,60,31,0.0
9,8,40,31,0.0
9,8,30,31,0.0
9,8,20,31,0.0
9,8,10,31,0.0
9,8,5,31,0.03225806451612903
9,8,2,31,0.03225806451612903
9,8,1,31,0.03225806451612903
10,3,240,40,0.0
10,3,180,40,0.1
10,3,120,40,0.1
10,3,90,40,0.1
10,3,60,40,0.2
10,3,40,40,0.275
10,3,30,40,0.325
10,3,20,40,0.35
10,3,10,40,0.375
10,3,5,40,0.375
10,3,2,40,0.375
10,3,1,40,0.375
10,5,240,40,0.0
10,5,180,40,0.05
10,5,120,40,0.05
10,5,90,40,0.05
10,5,60,40,0.1
10,5,40,40,0.125
10,5,30,40,0.2
10,5,20,40,0.225
10,5,10,40,0.25
10,5,5,40,0.25
10,5,2,40,0.25
10,5,1,40,0.25
10,8,240,40,0.0
10,8,180,40,0.0
10,8,120,40,0.0
10,8,90,40,0.0
10,8,60,40,0.025
10,8,40,40,0.025
10,8,30,40,0.075
10,8,20,40,0.1
10,8,10,40,0.1
10,8,5,40,0.1
10,8,2,40,0.1
10,8,1,40,0.1
11,3,240,26,0.0
11,3,180,26,0.038461538461538464
11,3,120,26,0.038461538461538464
11,3,90,26,0.07692307692307693
11,3,60,26,0.07692307692307693
11,3,40,26,0.15384615384615385
11,3,30,26,0.19230769230769232
11,3,20,26,0.2692307692307692
11,3,10,26,0.3076923076923077
11,3,5,26,0.3076923076923077
11,3,2,26,0.3076923076923077
11,3,1,26,0.3076923076923077
11,5,240,26,0.0
11,5,180,26,0.0
11,5,120,26,0.0
11,5,90,26,0.0
11,5,60,26,0.038461538461538464
11,5,40,26,0.07692307692307693
11,5,30,26,0.07692307692307693
11,5,20,26,0.15384615384615385
11,5,10,26,0.15384615384615385
11,5,5,26,0.15384615384615385
11,5,2,26,0.15384615384615385
11,5,1,26,0.15384615384615385
11,8,240,26,0.0
11,8,180,26,0.0
11,8,120,26,0.0
11,8,90,26,0.0
11,8,60,26,0.038461538461538464
11,8,40,26,0.038461538461538464
11,8,30,26,0.038461538461538464
11,8,20,26,0.038461538461538464
11,8,10,26,0.038461538461538464
11,8,5,26,0.038461538461538464
11,8,2,26,0.038461538461538464
11,8,1,26,0.038461538461538464
12,3,240,29,0.0
12,3,180,29,0.0
12,3,120,29,0.0
12,3,90,29,0.0
12,3,60,29,0.034482758620689655
12,3,40,29,0.06896551724137931
12,3,30,29,0.10344827586206896
12,3,20,29,0.1724137931034483
12,3,10,29,0.27586206896551724
12,3,5,29,0.27586206896551724
12,3,2,29,0.27586206896551724
12,3,1,29,0.27586206896551724
12,5,240,29,0.0
12,5,180,29,0.0
12,5,120,29,0.0
12,5,90,29,0.0
12,5,60,29,0.0
12,5,40,29,0.0
12,5,30,29,0.034482758620689655
12,5,20,29,0.06896551724137931
12,5,10,29,0.20689655172413793
12,5,5,29,0.20689655172413793
12,5,2,29,0.20689655172413793
12,5,1,29,0.20689655172413793
12,8,240,29,0.0
12,8,180,29,0.0
12,8,120,29,0.0
12,8,90,29,0.0
12,8,60,29,0.0
12,8,40,29,0.0
12,8,30,29,0.0
12,8,20,29,0.034482758620689655
12,8,10,29,0.13793103448275862
12,8,5,29,0.13793103448275862
12,8,2,29,0.13793103448275862
12,8,1,29,0.13793103448275862
13,3,240,33,0.0
13,3,180,33,0.0
13,3,120,33,0.0
13,3,90,33,0.0
13,3,60,33,0.030303030303030304
13,3,40,33,0.06060606060606061
13,3,30,33,0.12121212121212122
13,3,20,33,0.12121212121212122
13,3,10,33,0.12121212121212122
13,3,5,33,0.15151515151515152
13,3,2,33,0.15151515151515152
13,3,1,33,0.15151515151515152
13,5,240,33,0.0
13,5,180,33,0.0
13,5,120,33,0.0
13,5,90,33,0.0
13,5,60,33,0.030303030303030304
13,5,40,33,0.06060606060606061
13,5,30,33,0.12121212121212122
13,5,20,33,0.12121212121212122
13,5,10,33,0.12121212121212122
13,5,5,33,0.12121212121212122
13,5,2,33,0.12121212121212122
13,5,1,33,0.12121212121212122
13,8,240,33,0.0
13,8,180,33,0.0
13,8,120,33,0.0
13,8,90,33,0.0
13,8,60,33,0.030303030303030304
13,8,40,33,0.030303030303030304
13,8,30,33,0.06060606060606061
13,8,20,33,0.09090909090909091
13,8,10,33,0.09090909090909091
13,8,5,33,0.09090909090909091
13,8,2,33,0.09090909090909091
13,8,1,33,0.09090909090909091
14,3,240,40,0.0
14,3,180,40,0.05
14,3,120,40,0.075
14,3,90,40,0.125
14,3,60,40,0.175
14,3,40,40,0.275
14,3,30,40,0.275
14,3,20,40,0.3
14,3,10,40,0.325
14,3,5,40,0.375
14,3,2,40,0.4
14,3,1,40,0.4
14,5,240,40,0.0
14,5,180,40,0.0
14,5,120,40,0.025
14,5,90,40,0.025
14,5,60,40,0.075
14,5,40,40,0.175
14,5,30,40,0.175
14,5,20,40,0.2
14,5,10,40,0.225
14,5,5,40,0.25
14,5,2,40,0.25
14,5,1,40,0.25
14,8,240,40,0.0
14,8,180,40,0.0
14,8,120,40,0.0
14,8,90,40,0.0
14,8,60,40,0.025
14,8,40,40,0.1
14,8,30,40,0.125
14,8,20,40,0.125
14,8,10,40,0.15
14,8,5,40,0.175
14,8,2,40,0.175
14,8,1,40,0.175
15,3,240,38,0.0
15,3,180,38,0.05263157894736842
15,3,120,38,0.05263157894736842
15,3,90,38,0.10526315789473684
15,3,60,38,0.13157894736842105
15,3,40,38,0.15789473684210525
15,3,30,38,0.15789473684210525
15,3,20,38,0.18421052631578946
15,3,10,38,0.2631578947368421
15,3,5,38,0.3157894736842105
15,3,2,38,0.3157894736842105
15,3,1,38,0.3157894736842105
15,5,240,38,0.0
15,5,180,38,0.02631578947368421
15,5,120,38,0.02631578947368421
15,5,90,38,0.05263157894736842
15,5,60,38,0.07894736842105263
15,5,40,38,0.13157894736842105
15,5,30,38,0.13157894736842105
15,5,20,38,0.15789473684210525
15,5,10,38,0.18421052631578946
15,5,5,38,0.18421052631578946
15,5,2,38,0.18421052631578946
15,5,1,38,0.18421052631578946
15,8,240,38,0.0
15,8,180,38,0.0
15,8,120,38,0.0
15,8,90,38,0.0
15,8,60,38,0.02631578947368421
15,8,40,38,0.05263157894736842
15,8,30,38,0.07894736842105263
15,8,20,38,0.10526315789473684
15,8,10,38,0.13157894736842105
15,8,5,38,0.13157894736842105
15,8,2,38,0.13157894736842105
15,8,1,38,0.13157894736842105
16,3,240,35,0.0
16,3,180,35,0.05714285714285714
16,3,120,35,0.05714285714285714
16,3,90,35,0.05714285714285714
16,3,60,35,0.14285714285714285
16,3,40,35,0.14285714285714285
16,3,30,35,0.14285714285714285
16,3,20,35,0.17142857142857143
16,3,10,35,0.22857142857142856
16,3,5,35,0.2857142857142857
16,3,2,35,0.3142857142857143
16,3,1,35,0.3142857142857143
16,5,240,35,0.0
16,5,180,35,0.0
16,5,120,35,0.02857142857142857
16,5,90,35,0.02857142857142857
16,5,60,35,0.08571428571428572
16,5,40,35,0.14285714285714285
16,5,30,35,0.14285714285714285
16,5,20,35,0.14285714285714285
16,5,10,35,0.17142857142857143
16,5,5,35,0.2
16,5,2,35,0.22857142857142856
16,5,1,35,0.22857142857142856
16,8,240,35,0.0
16,8,180,35,0.0
16,8,120,35,0.0
16,8,90,35,0.0
16,8,60,35,0.02857142857142857
16,8,40,35,0.05714285714285714
16,8,30,35,0.05714285714285714
16,8,20,35,0.08571428571428572
16,8,10,35,0.08571428571428572
16,8,5,35,0.08571428571428572
16,8,2,35,0.08571428571428572
16,8,1,35,0.08571428571428572
17,3,240,40,0.0
17,3,180,40,0.05
17,3,120,40,0.125
17,3,90,40,0.15
17,3,60,40,0.15
17,3,40,40,0.2
17,3,30,40,0.2
17,3,20,40,0.225
17,3,10,40,0.275
17,3,5,40,0.275
17,3,2,40,0.275
17,3,1,40,0.275
17,5,240,40,0.0
17,5,180,40,0.05
17,5,120,40,0.125
17,5,90,40,0.15
17,5,60,40,0.15
17,5,40,40,0.15
17,5,30,40,0.15
17,5,20,40,0.175
17,5,10,40,0.175
17,5,5,40,0.175
17,5,2,40,0.2
17,5,1,40,0.2
17,8,240,40,0.0
17,8,180,40,0.0
17,8,120,40,0.025
17,8,90,40,0.075
17,8,60,40,0.075
17,8,40,40,0.075
17,8,30,40,0.1
17,8,20,40,0.1
17,8,10,40,0.1
17,8,5,40,0.1
17,8,2,40,0.1
17,8,1,40,0.1
18,3,240,36,0.027777777777777776
18,3,180,36,0.1388888888888889
18,3,120,36,0.1388888888888889
18,3,90,36,0.1388888888888889
18,3,60,36,0.19444444444444445
