c,tbin,dbucket,occ_N,fill_reach,deepen_frac,extra_dip,mean_vol,present_N,occupancy,match_N,fill_reach_pooled,occupancy_pooled,pooled_N
5,2,1,2,0.5,0.0,0.0,0.0,2,1.0,2,0.5702836004932181,0.668324130166729,136.7
5,3,0,2,0.5,0.0,0.0,11770.5,4,0.5,2,0.6976689195846224,0.68411200220694,136.7
5,3,1,1,1.0,1.0,1.0,0.0,4,0.25,1,1.0,0.25,136.7
5,3,3,1,1.0,1.0,2.0,0.0,4,0.25,1,1.0,0.25,136.7
5,5,-1,1,0.0,0.0,-1.0,0.0,2,0.5,1,0.6380936199133463,0.43619063800866537,136.7
5,5,1,1,1.0,0.0,0.0,0.0,2,0.5,1,1.0,0.32988207439785094,136.7
5,5,3,1,1.0,1.0,2.0,0.0,2,0.5,1,1.0,0.3973844450595073,136.7
5,7,0,1,1.0,1.0,1.0,22548.0,2,0.5,1,0.8050738508127875,0.6944109552514547,136.7
5,7,1,1,1.0,1.0,2.0,22968.0,2,0.5,1,0.7211750881316099,0.41635252643948295,136.7
5,7,2,1,1.0,1.0,1.0,0.0,2,0.5,1,1.0,0.3768613340714088,136.7
5,10,0,1,1.0,1.0,1.0,22363.0,2,0.5,1,0.7389424548515457,0.699702198755229,136.7
5,10,1,1,1.0,0.0,0.0,0.0,2,0.5,1,0.6749441733520801,0.5131554461996527,136.7
5,10,2,1,1.0,1.0,1.0,0.0,2,0.5,1,0.5553020921592909,0.3888255230398227,136.7
5,15,-4,1,0.0,0.0,-7.0,0.0,3,0.3333333333333333,1,0.41046221976197067,0.29912814835316914,136.7
5,15,0,2,0.5,0.5,0.0,11136.5,3,0.6666666666666666,2,0.5548157420477445,0.7681679702180673,136.7
5,15,3,1,0.0,0.0,,0.0,3,0.3333333333333333,1,0.0,0.3333333333333333,136.7
5,15,7,1,1.0,1.0,7.0,0.0,3,0.3333333333333333,1,1.0,0.3333333333333333,136.7
5,30,-4,1,1.0,0.0,0.0,0.0,2,0.5,1,0.5143426578404157,0.23607170820495615,136.7
5,30,0,1,0.0,0.0,,35707.0,2,0.5,1,0.8225398879949006,0.6412373710858846,136.7
5,45,-4,1,1.0,0.0,0.0,0.0,8,0.125,1,0.839647473560517,0.08249547245455173,136.7
5,45,-3,1,1.0,1.0,1.0,0.0,8,0.125,1,1.0,0.1414030159045888,136.7
5,45,-2,1,1.0,0.0,0.0,0.0,8,0.125,1,0.853130499627144,0.14035242288965147,136.7
5,45,-1,3,1.0,0.3333333333333333,0.6666666666666666,0.0,8,0.375,3,0.8747308734248417,0.4056390481526989,136.7
5,45,0,2,0.75,0.75,1.0,0.0,8,0.25,2,0.7708814973564685,0.5926002292683906,136.7
5,45,1,4,1.0,1.0,1.75,8884.107142857143,8,0.5,4,0.9446858522784105,0.3680762144368222,136.7
5,45,4,1,1.0,1.0,5.0,0.0,8,0.125,1,1.0,0.09164765691194682,136.7
5,45,5,1,1.0,1.0,2.0,0.0,8,0.125,1,0.8649546965350818,0.09068480659471924,136.7
5,60,-1,3,0.5,0.0,-0.5,9803.666666666666,9,0.3333333333333333,3,0.732326138431644,0.35659875656886925,136.7
5,60,0,5,0.8,0.4,0.5,10901.64,9,0.5555555555555556,5,0.8361835000466502,0.727381385739907,136.7
5,60,1,6,1.0,1.0,1.6666666666666667,5820.61111111111,9,0.6666666666666666,6,0.955819600479166,0.4496501115410717,136.7
5,60,2,1,1.0,1.0,3.0,0.0,9,0.1111111111111111,1,1.0,0.1291423914083311,136.7
5,60,3,1,1.0,1.0,4.0,0.0,9,0.1111111111111111,1,1.0,0.0817902996082251,136.7
5,60,5,1,1.0,1.0,6.0,0.0,9,0.1111111111111111,1,1.0,0.1111111111111111,136.7
5,60,8,1,1.0,1.0,9.0,0.0,9,0.1111111111111111,1,1.0,0.1111111111111111,136.7
5,90,-4,1,0.0,0.0,-1.0,0.0,13,0.07692307692307693,1,0.7607346457356288,0.06302399612821798,136.7
5,90,-2,1,1.0,1.0,2.0,0.0,13,0.07692307692307693,1,0.9421963892558344,0.19353808281080953,136.7
5,90,-1,4,0.75,0.25,0.0,36054.83333333333,13,0.3076923076923077,4,0.784749454948992,0.49012725491202513,136.7
5,90,0,10,0.9905462184873949,0.7660956690368456,1.2743589743589745,17344.312380952382,13,0.7692307692307693,10,0.9309938278822709,0.6781584895792722,136.7
5,90,1,3,1.0,1.0,2.0,0.0,13,0.23076923076923078,3,0.9494505623380127,0.25855695690545266,136.7
5,90,2,1,1.0,1.0,6.0,0.0,13,0.07692307692307693,1,1.0,0.09944587637067161,136.7
5,90,5,1,1.0,1.0,8.0,0.0,13,0.07692307692307693,1,1.0,0.06176754880878878,136.7
