category,price_bucket,N_trades,current_status,current_exit_cents,optimal_exit_cents,optimal_HR,optimal_avg_entry_cents,optimal_mean_pnl_cents,optimal_avg_roi_pct,optimal_ev_per_day,delta_vs_current_mean_pnl
ATP_MAIN,0-4,0,missing,,,,,,,,
ATP_MAIN,5-9,0,missing,,,,,,,,
ATP_MAIN,10-14,3,missing,,35,100.0,14.0,35.0,250.0,3.09,
ATP_MAIN,15-19,11,missing,,32,100.0,16.8,32.0,190.27,10.35,
ATP_MAIN,20-24,24,active,25,25,95.8,22.2,22.96,103.18,16.21,0.0
ATP_MAIN,25-29,13,active,23,22,84.6,26.5,14.69,55.36,5.62,3.07
ATP_MAIN,30-34,33,active,15,15,97.0,32.6,13.58,41.64,13.18,0.0
ATP_MAIN,35-39,34,active,12,12,94.1,37.5,9.09,24.25,9.09,0.0
ATP_MAIN,40-44,38,active,7,9,89.5,41.8,3.5,8.38,3.91,0.5
ATP_MAIN,45-49,13,missing,,4,92.3,46.8,-0.08,-0.16,-0.03,
ATP_MAIN,50-54,6,missing,,12,100.0,53.2,12.0,22.57,2.12,
ATP_MAIN,55-59,15,disabled,,9,66.7,57.0,-12.93,-22.69,-5.71,
ATP_MAIN,60-64,54,active,13,8,85.2,62.5,-2.54,-4.06,-4.03,-0.1
ATP_MAIN,65-69,29,active,5,3,93.1,67.2,-1.83,-2.72,-1.56,3.2
ATP_MAIN,70-74,30,active,10,25,80.0,71.8,5.73,7.99,5.06,3.86
ATP_MAIN,75-79,20,active,17,14,85.0,77.0,0.45,0.58,0.26,6.95
ATP_MAIN,80-84,10,missing,,15,90.0,81.8,5.1,6.23,1.5,
ATP_MAIN,85-89,0,missing,,,,,,,,
ATP_MAIN,90-94,0,missing,,,,,,,,
ATP_MAIN,95-99,0,missing,,,,,,,,
ATP_CHALL,0-4,1,missing,,4,100.0,2.0,4.0,200.0,0.12,
ATP_CHALL,5-9,3,missing,,35,100.0,7.3,35.0,477.27,3.09,
ATP_CHALL,10-14,19,missing,,35,89.5,12.5,29.95,240.08,16.74,
ATP_CHALL,15-19,36,active,31,31,94.4,17.4,28.39,163.26,30.06,0.0
ATP_CHALL,20-24,69,active,25,25,98.6,22.3,24.33,109.1,49.38,0.0
ATP_CHALL,25-29,54,active,21,21,100.0,26.8,21.0,78.31,33.35,0.0
ATP_CHALL,30-34,73,active,16,15,100.0,32.1,15.0,46.7,32.21,0.37
ATP_CHALL,35-39,56,active,12,11,100.0,37.1,11.0,29.62,18.12,0.79
ATP_CHALL,40-44,86,active,10,8,93.0,41.9,4.43,10.58,11.21,1.16
ATP_CHALL,45-49,58,active,6,13,86.2,46.2,4.84,10.48,8.26,3.37
