ts_offset_sec,bid,ask,mid
1644,6,94,50.0
2245,6,94,50.0
2245,6,94,50.0
2274,6,94,50.0
2274,6,94,50.0
2948,6,94,50.0
2948,6,94,50.0
2978,6,94,50.0
2978,6,94,50.0
3172,50,94,72.0
3597,51,94,72.5
3597,51,94,72.5
3597,51,94,72.5
3598,51,59,55.0
3598,51,59,55.0
3598,51,59,55.0
3827,51,59,55.0
3827,51,59,55.0
3857,51,59,55.0
3857,51,59,55.0
3887,51,59,55.0
3887,51,59,55.0
4167,51,58,54.5
4269,51,59,55.0
4269,51,58,54.5
4385,51,59,55.0
4385,51,58,54.5
4497,51,58,54.5
4497,51,58,54.5
4497,50,58,54.0
4497,52,58,55.0
4497,52,58,55.0
4497,52,58,55.0
4497,52,58,55.0
4497,52,58,55.0
4498,52,58,55.0
4498,52,58,55.0
4517,52,58,55.0
4517,52,58,55.0
4638,52,58,55.0
4638,52,58,55.0
4640,52,58,55.0
4640,52,58,55.0
4667,52,58,55.0
4667,52,58,55.0
4755,52,58,55.0
4755,52,58,55.0
4872,52,58,55.0
4872,52,58,55.0
4967,52,58,55.0
4967,52,58,55.0
5085,52,58,55.0
5085,52,58,55.0
5185,52,58,55.0
5185,52,58,55.0
5330,52,58,55.0
5330,52,58,55.0
5398,52,58,55.0
5398,52,58,55.0
5428,52,58,55.0
5428,52,58,55.0
5454,52,58,55.0
5454,52,58,55.0
5545,52,58,55.0
5545,52,58,55.0
5675,52,58,55.0
5675,52,58,55.0
5675,52,58,55.0
5675,52,58,55.0
5675,52,58,55.0
5675,52,58,55.0
5805,52,58,55.0
5805,52,58,55.0
5814,52,57,54.5
5814,52,57,54.5
5814,52,57,54.5
5814,52,57,54.5
5814,52,57,54.5
5814,52,57,54.5
5938,52,57,54.5
5938,52,57,54.5
6000,52,57,54.5
6032,52,57,54.5
6032,52,57,54.5
6160,52,57,54.5
6160,52,57,54.5
6274,52,57,54.5
6274,52,57,54.5
6279,52,57,54.5
6279,52,57,54.5
6304,52,57,54.5
6304,52,57,54.5
6406,52,57,54.5
6406,52,57,54.5
6430,52,57,54.5
6430,52,57,54.5
6499,52,57,54.5
6499,52,57,54.5
6616,52,57,54.5
6616,52,57,54.5
6618,52,57,54.5
6618,52,57,54.5
6618,52,57,54.5
6640,52,57,54.5
6640,52,57,54.5
6731,52,57,54.5
6731,52,57,54.5
6868,52,57,54.5
6868,52,57,54.5
6868,52,57,54.5
6869,52,57,54.5
6869,52,57,54.5
6869,52,57,54.5
6955,52,57,54.5
6955,52,57,54.5
6982,52,57,54.5
6982,52,57,54.5
6984,52,57,54.5
6984,52,57,54.5
7081,52,57,54.5
7081,52,57,54.5
7216,52,57,54.5
7216,52,57,54.5
7359,52,57,54.5
7359,52,57,54.5
7452,52,57,54.5
7452,52,57,54.5
7581,52,57,54.5
7581,52,57,54.5
7730,52,57,54.5
7730,52,57,54.5
7840,52,57,54.5
7840,52,57,54.5
7894,52,57,54.5
7894,52,57,54.5
7924,52,57,54.5
7924,52,57,54.5
7985,52,57,54.5
7985,52,57,54.5
8092,52,57,54.5
8092,52,57,54.5
8239,52,57,54.5
8239,52,57,54.5
8335,52,57,54.5
8335,52,57,54.5
8449,52,57,54.5
8449,52,57,54.5
8480,52,57,54.5
8480,52,57,54.5
8545,52,57,54.5
8545,52,57,54.5
8627,52,57,54.5
8627,52,57,54.5
8627,52,57,54.5
8627,52,57,54.5
8627,52,57,54.5
8627,52,57,54.5
8659,52,57,54.5
8659,52,57,54.5
8659,52,57,54.5
8659,52,57,54.5
8659,52,57,54.5
8659,52,57,54.5
8659,52,57,54.5
8711,52,57,54.5
8711,52,57,54.5
8740,52,57,54.5
8740,52,57,54.5
8808,52,57,54.5
8808,52,57,54.5
8820,52,57,54.5
8909,52,57,54.5
8909,52,57,54.5
9008,52,57,54.5
9008,52,57,54.5
9151,52,57,54.5
9151,52,57,54.5
9301,52,57,54.5
9301,52,57,54.5
9301,52,57,54.5
9443,52,57,54.5
9443,52,57,54.5
9535,52,57,54.5
9535,52,57,54.5
9596,52,57,54.5
9596,52,57,54.5
9625,52,57,54.5
9625,52,57,54.5
9632,52,57,54.5
9632,52,57,54.5
9744,52,57,54.5
9744,52,57,54.5
9757,52,57,54.5
9757,52,57,54.5
9887,52,57,54.5
9887,52,57,54.5
9983,52,57,54.5
9983,52,57,54.5
10037,52,57,54.5
10126,52,57,54.5
10126,52,57,54.5
10241,52,57,54.5
10241,52,57,54.5
10328,52,57,54.5
10328,52,57,54.5
10358,52,57,54.5
10358,52,57,54.5
10359,52,57,54.5
10359,52,57,54.5
10466,52,57,54.5
10466,52,57,54.5
10579,52,57,54.5
10579,52,57,54.5
10722,52,57,54.5
10722,52,57,54.5
10848,52,57,54.5
10848,52,57,54.5
10979,52,57,54.5
10979,52,57,54.5
11108,52,57,54.5
11108,52,57,54.5
11226,52,57,54.5
11226,52,57,54.5
11239,52,57,54.5
11239,52,57,54.5
11256,52,57,54.5
11256,52,57,54.5
11334,52,57,54.5
11334,52,57,54.5
11473,52,57,54.5
11473,52,57,54.5
11592,52,57,54.5
11592,52,57,54.5
11692,52,57,54.5
11692,52,57,54.5
11823,52,57,54.5
11823,52,57,54.5
11955,52,57,54.5
11955,52,57,54.5
12021,52,57,54.5
12021,52,57,54.5
12050,52,57,54.5
12050,52,57,54.5
12068,52,57,54.5
12068,52,57,54.5
12179,52,57,54.5
12179,52,57,54.5
12274,52,57,54.5
12274,52,57,54.5
12379,52,57,54.5
12379,52,57,54.5
12491,52,57,54.5
12491,52,57,54.5
12562,52,57,54.5
12562,52,57,54.5
12627,52,57,54.5
12627,52,57,54.5
12663,52,57,54.5
12732,52,57,54.5
12732,52,57,54.5
12841,52,57,54.5
12841,52,57,54.5
12896,52,57,54.5
12896,52,57,54.5
12925,52,57,54.5
12925,52,57,54.5
12935,52,57,54.5
12935,52,57,54.5
12935,52,57,54.5
12935,52,57,54.5
12935,52,57,54.5
12935,52,57,54.5
12935,52,57,54.5
12935,52,57,54.5
12935,52,57,54.5
12990,52,57,54.5
12990,52,57,54.5
12990,52,57,54.5
12990,52,57,54.5
12990,52,57,54.5
12990,52,57,54.5
13140,52,57,54.5
13140,52,57,54.5
13266,52,57,54.5
13266,52,57,54.5
13316,52,57,54.5
13316,52,57,54.5
13316,52,57,54.5
13316,52,57,54.5
13316,52,57,54.5
13316,52,57,54.5
13344,52,57,54.5
13344,52,57,54.5
13359,52,57,54.5
13359,52,57,54.5
13359,52,57,54.5
13359,52,57,54.5
13475,52,57,54.5
13475,52,57,54.5
13542,52,57,54.5
13605,52,57,54.5
13605,52,57,54.5
13633,52,57,54.5
13633,52,57,54.5
13713,52,57,54.5
13713,52,57,54.5
13832,52,57,54.5
13832,52,57,54.5
13855,52,57,54.5
13855,52,57,54.5
13885,52,57,54.5
13885,52,57,54.5
13955,52,57,54.5
13955,52,57,54.5
14074,52,57,54.5
14074,52,57,54.5
14176,52,57,54.5
14176,52,57,54.5
14276,52,57,54.5
14276,52,57,54.5
14276,52,57,54.5
14363,52,57,54.5
14414,52,57,54.5
14414,52,57,54.5
14430,52,56,54.0
14509,52,56,54.0
14509,52,56,54.0
14509,52,57,54.5
14509,52,57,54.5
14509,52,57,54.5
14509,52,56,54.0
14556,52,56,54.0
14569,52,56,54.0
14569,52,56,54.0
14569,52,56,54.0
14569,52,56,54.0
14569,52,56,54.0
14569,52,56,54.0
14579,52,56,54.0
14626,52,56,54.0
14626,52,56,54.0
14719,52,56,54.0
14719,52,56,54.0
14720,52,56,54.0
14720,52,56,54.0
14720,52,56,54.0
14720,52,56,54.0
14796,52,56,54.0
14796,52,56,54.0
14826,52,56,54.0
14826,52,56,54.0
14867,52,56,54.0
14867,52,56,54.0
14867,52,56,54.0
14867,52,56,54.0
14867,52,56,54.0
14867,52,56,54.0
14892,52,56,54.0
14892,52,56,54.0
14937,52,56,54.0
14948,52,56,54.0
14948,52,56,54.0
14948,52,56,54.0
14948,52,56,54.0
14948,52,56,54.0
14948,52,56,54.0
14948,52,56,54.0
14968,52,56,54.0
14968,52,56,54.0
14968,52,56,54.0
14968,52,56,54.0
14968,52,56,54.0
14968,52,56,54.0
14968,52,56,54.0
14968,52,56,54.0
14968,52,56,54.0
14968,52,56,54.0
14968,52,56,54.0
14968,52,56,54.0
14968,52,56,54.0
14969,52,56,54.0
15114,52,56,54.0
15114,52,56,54.0
15114,52,56,54.0
15114,52,56,54.0
15115,52,56,54.0
15115,52,56,54.0
15115,52,56,54.0
15115,52,56,54.0
15176,52,56,54.0
15176,52,56,54.0
15176,52,56,54.0
15176,52,56,54.0
15176,52,56,54.0
15176,52,56,54.0
15176,52,56,54.0
15176,52,56,54.0
15176,52,56,54.0
15176,52,56,54.0
