ts_offset_sec,bid,ask,mid
444,81,88,84.5
474,81,88,84.5
936,81,88,84.5
1044,81,88,84.5
1044,81,88,84.5
1073,81,88,84.5
1073,81,88,84.5
1535,81,88,84.5
1535,81,88,84.5
1535,81,88,84.5
1535,81,88,84.5
1535,81,88,84.5
1535,81,88,84.5
1535,78,88,83.0
1535,82,88,85.0
1536,82,88,85.0
1536,82,88,85.0
1536,82,88,85.0
1536,82,88,85.0
1536,82,88,85.0
1774,82,88,85.0
1774,82,88,85.0
1803,82,88,85.0
1803,82,88,85.0
1976,83,88,85.5
1976,83,87,85.0
2615,83,87,85.0
2615,83,87,85.0
2625,83,87,85.0
2625,83,87,85.0
2655,83,87,85.0
2655,83,87,85.0
2706,83,88,85.5
2706,82,88,85.0
2978,82,88,85.0
3111,82,88,85.0
3111,82,88,85.0
3216,82,88,85.0
3216,82,88,85.0
3330,82,88,85.0
3330,82,88,85.0
3427,82,88,85.0
3427,82,88,85.0
3461,82,88,85.0
3461,82,88,85.0
3491,82,88,85.0
3491,82,88,85.0
3541,82,88,85.0
3541,82,88,85.0
3672,82,88,85.0
3672,82,88,85.0
3767,82,88,85.0
3767,82,88,85.0
3908,82,88,85.0
3908,82,88,85.0
4033,82,88,85.0
4033,82,88,85.0
4133,82,88,85.0
4133,82,88,85.0
4251,82,88,85.0
4251,82,88,85.0
4276,82,88,85.0
4276,82,88,85.0
4305,82,88,85.0
4305,82,88,85.0
4386,82,88,85.0
4386,82,88,85.0
4386,82,88,85.0
4386,82,88,85.0
4386,82,88,85.0
4490,82,88,85.0
4490,82,88,85.0
4632,82,88,85.0
4632,82,88,85.0
4768,82,88,85.0
4768,82,88,85.0
4892,82,88,85.0
4892,82,88,85.0
5013,82,88,85.0
5013,82,88,85.0
5013,82,88,85.0
5013,82,88,85.0
5013,82,88,85.0
5013,82,88,85.0
5031,82,88,85.0
5031,82,88,85.0
5031,82,88,85.0
5031,82,88,85.0
5042,82,88,85.0
5042,82,88,85.0
5042,82,88,85.0
5156,82,88,85.0
5156,82,88,85.0
5156,82,88,85.0
5156,82,88,85.0
5156,82,88,85.0
5253,82,88,85.0
5253,82,88,85.0
5401,82,88,85.0
5401,82,88,85.0
5416,82,88,85.0
5416,82,88,85.0
5418,82,88,85.0
5627,82,88,85.0
5627,82,88,85.0
5627,82,88,85.0
5627,82,88,85.0
5627,82,88,85.0
5627,82,88,85.0
5752,82,88,85.0
5752,82,88,85.0
5752,82,88,85.0
5752,82,88,85.0
5752,82,88,85.0
5810,82,88,85.0
5810,82,88,85.0
5810,82,88,85.0
5810,82,88,85.0
5810,82,88,85.0
5810,82,88,85.0
5839,82,88,85.0
5839,82,88,85.0
5898,82,88,85.0
5898,82,88,85.0
5898,82,88,85.0
5898,82,88,85.0
5898,82,88,85.0
5898,82,88,85.0
6047,82,88,85.0
6047,82,88,85.0
6168,82,88,85.0
6168,82,88,85.0
6266,82,88,85.0
6266,82,88,85.0
6382,82,88,85.0
6382,82,88,85.0
6517,82,88,85.0
6517,82,88,85.0
6658,82,88,85.0
6658,82,88,85.0
6658,82,88,85.0
6658,82,88,85.0
6658,82,88,85.0
6662,82,88,85.0
6662,82,88,85.0
6688,82,88,85.0
6688,82,88,85.0
6753,82,88,85.0
6753,82,88,85.0
6753,82,88,85.0
6753,82,88,85.0
6753,82,88,85.0
6854,82,88,85.0
6854,82,88,85.0
7002,82,88,85.0
7002,82,88,85.0
7119,82,88,85.0
7119,82,88,85.0
7228,82,88,85.0
7228,82,88,85.0
7345,82,88,85.0
7345,82,88,85.0
7414,82,88,85.0
7414,82,88,85.0
7414,82,88,85.0
7414,82,88,85.0
7414,82,88,85.0
7414,82,88,85.0
7414,82,88,85.0
7470,82,88,85.0
7470,82,88,85.0
7470,82,88,85.0
7470,82,88,85.0
7470,82,88,85.0
7470,82,88,85.0
7470,82,88,85.0
7501,82,88,85.0
7501,82,88,85.0
7501,82,88,85.0
7501,82,88,85.0
7501,82,88,85.0
7530,82,88,85.0
7530,82,88,85.0
7565,82,88,85.0
7565,82,88,85.0
7565,82,88,85.0
7565,82,88,85.0
7565,82,88,85.0
7620,82,88,85.0
7620,82,88,85.0
7620,82,88,85.0
7620,82,88,85.0
7659,82,88,85.0
7659,82,88,85.0
7659,82,88,85.0
7659,82,88,85.0
7659,82,88,85.0
7776,82,88,85.0
7776,82,88,85.0
7880,82,88,85.0
7881,82,88,85.0
7930,82,88,85.0
7930,82,87,84.5
7930,82,87,84.5
7930,82,87,84.5
7930,82,87,84.5
7977,82,87,84.5
7977,82,87,84.5
7992,82,87,84.5
7995,82,87,84.5
8094,82,88,85.0
8094,82,87,84.5
8094,82,87,84.5
8094,82,87,84.5
8094,82,87,84.5
8094,82,87,84.5
8094,82,87,84.5
8187,82,88,85.0
8187,82,87,84.5
8187,82,87,84.5
8187,82,87,84.5
8187,82,87,84.5
8187,82,87,84.5
8315,82,88,85.0
8315,82,87,84.5
8315,82,87,84.5
8315,82,87,84.5
8315,82,87,84.5
8417,82,87,84.5
8417,82,87,84.5
8422,82,88,85.0
8422,82,87,84.5
8422,82,87,84.5
8422,82,87,84.5
8422,82,87,84.5
8422,82,87,84.5
8447,82,87,84.5
8447,82,87,84.5
8474,82,87,84.5
8474,82,87,84.5
8527,82,88,85.0
8527,82,87,84.5
8527,82,87,84.5
8527,82,87,84.5
8527,82,87,84.5
8527,82,87,84.5
8630,82,88,85.0
8630,82,87,84.5
8630,82,87,84.5
8630,82,87,84.5
8630,82,87,84.5
8630,82,87,84.5
8725,82,87,84.5
8725,82,87,84.5
8725,82,87,84.5
8725,82,87,84.5
8725,82,87,84.5
8726,82,87,84.5
8726,82,87,84.5
8726,76,87,81.5
8726,79,87,83.0
8726,79,87,83.0
8726,79,87,83.0
8726,79,87,83.0
8726,79,87,83.0
8726,79,87,83.0
8727,79,87,83.0
8727,79,85,82.0
8727,79,85,82.0
8777,79,84,81.5
8777,79,84,81.5
8777,79,84,81.5
8777,79,84,81.5
8913,79,85,82.0
8913,79,84,81.5
8913,79,84,81.5
8913,79,84,81.5
8913,79,84,81.5
8913,79,84,81.5
9037,79,85,82.0
9037,79,84,81.5
9037,79,84,81.5
9037,79,84,81.5
9037,79,84,81.5
9037,79,84,81.5
9157,79,85,82.0
9157,79,84,81.5
9157,79,84,81.5
9157,79,84,81.5
9157,79,84,81.5
9157,79,84,81.5
9161,79,84,81.5
9161,79,84,81.5
9191,79,84,81.5
9191,79,84,81.5
9251,79,85,82.0
9251,79,84,81.5
9251,79,84,81.5
9251,79,84,81.5
9251,79,84,81.5
9251,79,84,81.5
9280,79,84,81.5
9365,79,84,81.5
9365,79,84,81.5
9365,79,84,81.5
9365,79,84,81.5
9365,79,84,81.5
9365,79,84,81.5
9497,79,84,81.5
9497,79,84,81.5
9497,79,84,81.5
9497,79,84,81.5
9497,79,84,81.5
9497,79,84,81.5
9634,79,84,81.5
9634,79,84,81.5
9733,79,84,81.5
9733,79,84,81.5
9733,79,84,81.5
9733,79,84,81.5
9733,79,84,81.5
9733,79,84,81.5
9733,79,84,81.5
9879,79,84,81.5
9879,79,84,81.5
9980,79,84,81.5
9980,79,84,81.5
10010,79,84,81.5
10010,79,84,81.5
10027,79,84,81.5
10027,79,84,81.5
10027,79,84,81.5
10027,79,84,81.5
10027,79,84,81.5
10027,79,84,81.5
10027,79,84,81.5
10175,79,84,81.5
10175,79,84,81.5
10175,79,84,81.5
10175,79,84,81.5
10175,79,84,81.5
10175,79,84,81.5
10269,79,84,81.5
10269,79,84,81.5
10269,79,84,81.5
10269,79,84,81.5
10269,79,84,81.5
10269,79,84,81.5
10359,79,84,81.5
10359,79,84,81.5
10359,79,84,81.5
10359,79,84,81.5
10359,79,84,81.5
10359,79,84,81.5
10480,79,84,81.5
10480,79,84,81.5
10480,79,84,81.5
10480,79,84,81.5
10480,79,84,81.5
10480,79,84,81.5
10573,79,84,81.5
10573,79,84,81.5
10573,79,84,81.5
10573,79,84,81.5
10573,79,84,81.5
10573,79,84,81.5
10717,79,84,81.5
10717,79,84,81.5
10717,79,84,81.5
10717,79,84,81.5
10717,79,84,81.5
10717,79,84,81.5
10782,79,84,81.5
10782,79,84,81.5
10812,79,84,81.5
10812,79,84,81.5
10822,79,84,81.5
10822,79,84,81.5
10941,79,84,81.5
10941,79,84,81.5
10941,79,84,81.5
10941,79,84,81.5
10941,79,84,81.5
10941,79,84,81.5
11089,79,84,81.5
11089,79,84,81.5
11089,79,84,81.5
11089,79,84,81.5
11089,79,84,81.5
11089,79,84,81.5
11211,79,84,81.5
11211,79,84,81.5
11211,79,84,81.5
11211,79,84,81.5
11211,79,84,81.5
11211,79,84,81.5
11360,79,84,81.5
11360,79,84,81.5
11360,79,84,81.5
11361,79,84,81.5
11361,79,84,81.5
11361,79,84,81.5
11374,79,84,81.5
11374,79,84,81.5
11413,79,84,81.5
11413,79,84,81.5
11413,79,84,81.5
11416,79,84,81.5
11471,79,84,81.5
11471,79,84,81.5
11471,79,84,81.5
11471,79,84,81.5
11471,79,84,81.5
11471,79,84,81.5
11573,79,84,81.5
11573,79,84,81.5
11573,79,84,81.5
11573,79,84,81.5
11573,79,84,81.5
11573,79,84,81.5
11712,79,84,81.5
11712,79,84,81.5
11712,79,84,81.5
11712,79,84,81.5
11712,79,84,81.5
11712,79,84,81.5
11719,79,84,81.5
11719,79,84,81.5
11749,79,84,81.5
11749,79,84,81.5
11827,79,84,81.5
11827,79,84,81.5
11827,79,84,81.5
11827,79,84,81.5
11827,79,84,81.5
11827,79,84,81.5
11832,79,84,81.5
11955,79,84,81.5
11955,79,84,81.5
11955,79,84,81.5
11955,79,84,81.5
11955,79,84,81.5
11955,79,84,81.5
12098,79,84,81.5
12098,79,84,81.5
12099,79,84,81.5
12099,79,84,81.5
12099,79,84,81.5
12099,79,84,81.5
12113,79,84,81.5
12113,79,84,81.5
12113,79,84,81.5
12113,79,84,81.5
12243,79,84,81.5
12243,79,84,81.5
12243,79,84,81.5
12243,79,84,81.5
12243,79,84,81.5
12243,79,84,81.5
12243,79,84,81.5
12243,79,84,81.5
12366,79,84,81.5
12385,79,84,81.5
12385,79,84,81.5
12385,79,84,81.5
12385,79,84,81.5
12385,79,84,81.5
12385,79,84,81.5
12385,79,84,81.5
12482,79,84,81.5
12482,79,84,81.5
12482,79,84,81.5
12482,79,84,81.5
12482,79,84,81.5
12482,79,84,81.5
12486,79,84,81.5
12487,79,84,81.5
12590,79,84,81.5
12590,79,84,81.5
12590,79,84,81.5
12590,79,84,81.5
12590,79,84,81.5
12590,79,84,81.5
12590,79,84,81.5
12606,79,84,81.5
12606,79,84,81.5
12636,79,84,81.5
12636,79,84,81.5
12698,79,84,81.5
12698,79,84,81.5
12698,79,84,81.5
12698,79,84,81.5
12698,79,84,81.5
12698,79,84,81.5
12845,79,84,81.5
12845,79,84,81.5
12845,79,84,81.5
12993,79,84,81.5
12993,79,84,81.5
13087,79,84,81.5
13087,79,84,81.5
13087,79,84,81.5
13087,79,84,81.5
13087,79,84,81.5
13200,79,84,81.5
13200,79,84,81.5
13200,79,84,81.5
13200,79,84,81.5
13200,79,84,81.5
13200,79,84,81.5
13312,79,84,81.5
13312,79,84,81.5
13442,79,84,81.5
13442,79,84,81.5
13442,79,84,81.5
13540,79,84,81.5
13540,79,84,81.5
13581,79,84,81.5
13581,79,84,81.5
13581,79,84,81.5
13581,79,84,81.5
13581,79,84,81.5
13581,79,84,81.5
13610,79,84,81.5
13610,79,84,81.5
13635,79,84,81.5
13635,79,84,81.5
13635,79,84,81.5
13635,79,84,81.5
13635,79,84,81.5
13691,79,84,81.5
13691,79,84,81.5
13691,79,84,81.5
13694,79,84,81.5
13732,79,84,81.5
13732,79,84,81.5
13732,79,84,81.5
13732,79,84,81.5
13732,79,84,81.5
13732,79,84,81.5
13732,79,84,81.5
13732,79,84,81.5
13732,79,84,81.5
13875,79,84,81.5
13875,79,84,81.5
13875,79,84,81.5
13875,79,84,81.5
14011,79,84,81.5
14011,79,84,81.5
14011,79,84,81.5
14011,79,84,81.5
14147,79,84,81.5
14147,79,84,81.5
14253,79,84,81.5
14253,79,84,81.5
14253,79,84,81.5
14253,79,84,81.5
14382,79,84,81.5
14382,79,84,81.5
14382,79,84,81.5
14382,79,84,81.5
14382,79,84,81.5
14382,79,84,81.5
14382,79,84,81.5
14393,79,84,81.5
14393,79,84,81.5
14393,79,84,81.5
14393,79,84,81.5
14393,79,84,81.5
14412,79,84,81.5
14412,79,84,81.5
14821,79,84,81.5
14821,79,84,81.5
14821,79,84,81.5
14821,79,84,81.5
14821,79,84,81.5
14821,79,84,81.5
15083,79,84,81.5
15083,79,84,81.5
15083,79,84,81.5
15083,79,84,81.5
15083,79,84,81.5
15083,79,84,81.5
15083,79,84,81.5
15083,79,84,81.5
15083,79,84,81.5
15083,79,84,81.5
15083,79,84,81.5
15083,79,84,81.5
15083,79,84,81.5
15083,79,84,81.5
15083,79,84,81.5
15084,79,84,81.5
15084,79,84,81.5
15143,79,84,81.5
15143,79,84,81.5
15173,79,84,81.5
