ts_offset_sec,bid,ask,mid
197,39,45,42.0
490,39,45,42.0
490,39,45,42.0
519,39,45,42.0
519,39,45,42.0
602,39,45,42.0
695,39,45,42.0
695,39,45,42.0
753,41,45,43.0
951,41,45,43.0
1124,41,45,43.0
1124,41,45,43.0
1124,41,45,43.0
1124,41,45,43.0
1237,41,45,43.0
1237,41,45,43.0
1267,41,45,43.0
1267,41,45,43.0
1269,41,45,43.0
1270,41,45,43.0
2119,41,45,43.0
2119,41,45,43.0
2148,41,45,43.0
2148,41,45,43.0
2230,41,45,43.0
2338,41,45,43.0
2338,41,45,43.0
2821,41,45,43.0
2821,41,45,43.0
2851,41,45,43.0
2851,41,45,43.0
2912,41,45,43.0
2912,41,45,43.0
2913,41,45,43.0
2913,41,45,43.0
3006,41,45,43.0
3447,41,45,43.0
3447,41,45,43.0
3447,41,45,43.0
3447,41,45,43.0
3633,41,45,43.0
3689,41,45,43.0
3764,41,45,43.0
3764,41,45,43.0
3782,41,45,43.0
3794,41,45,43.0
3794,41,45,43.0
3945,41,45,43.0
4251,41,45,43.0
4648,41,45,43.0
4756,41,45,43.0
4756,41,45,43.0
4786,41,45,43.0
4786,41,45,43.0
5387,41,45,43.0
5390,41,45,43.0
5534,41,45,43.0
5534,41,45,43.0
5534,41,45,43.0
5534,41,45,43.0
5534,41,45,43.0
5534,41,45,43.0
5564,41,45,43.0
5564,41,45,43.0
6685,41,45,43.0
6685,41,45,43.0
6685,41,45,43.0
6705,41,45,43.0
6705,41,45,43.0
6705,41,45,43.0
6705,41,45,43.0
6705,41,45,43.0
6705,41,45,43.0
6705,41,45,43.0
6705,41,45,43.0
6705,41,45,43.0
6705,41,45,43.0
6713,41,45,43.0
6713,41,45,43.0
6713,41,45,43.0
6713,41,45,43.0
7118,41,45,43.0
7682,41,45,43.0
7682,41,45,43.0
7682,41,45,43.0
7682,41,45,43.0
7682,41,45,43.0
7682,41,45,43.0
7712,41,45,43.0
7712,41,45,43.0
8473,41,45,43.0
8473,41,45,43.0
8477,41,45,43.0
8477,41,45,43.0
8507,41,45,43.0
8507,41,45,43.0
9458,41,45,43.0
9458,41,45,43.0
9488,41,45,43.0
9488,41,45,43.0
10332,41,45,43.0
10332,41,45,43.0
10361,41,45,43.0
10361,41,45,43.0
11087,41,45,43.0
11087,41,45,43.0
11087,41,45,43.0
11087,41,45,43.0
11087,41,45,43.0
11087,41,45,43.0
11087,41,45,43.0
11087,41,45,43.0
11132,41,45,43.0
11132,41,45,43.0
11132,41,45,43.0
11132,41,45,43.0
11132,41,45,43.0
11132,41,45,43.0
11162,41,45,43.0
11162,41,45,43.0
12112,41,45,43.0
12156,41,45,43.0
12156,41,45,43.0
12185,41,45,43.0
12185,41,45,43.0
12985,41,45,43.0
12985,41,45,43.0
13015,41,45,43.0
13015,41,45,43.0
13371,41,45,43.0
13474,41,45,43.0
13881,41,45,43.0
13881,41,45,43.0
13881,41,45,43.0
13881,41,45,43.0
13910,41,45,43.0
13910,41,45,43.0
14032,41,45,43.0
14032,41,45,43.0
14032,41,45,43.0
14032,41,45,43.0
14163,41,45,43.0
14163,41,45,43.0
14164,41,45,43.0
14164,41,45,43.0
14498,41,45,43.0
14498,41,45,43.0
14498,41,45,43.0
14498,41,45,43.0
14498,41,45,43.0
14498,41,45,43.0
14498,41,45,43.0
14499,41,45,43.0
14499,41,45,43.0
14499,41,45,43.0
14499,41,45,43.0
14499,41,45,43.0
14729,41,45,43.0
14729,41,45,43.0
14729,41,45,43.0
14729,41,45,43.0
14729,41,45,43.0
14730,41,45,43.0
14730,41,45,43.0
14730,41,45,43.0
14730,41,45,43.0
14730,41,45,43.0
14731,41,45,43.0
14731,41,45,43.0
14771,41,45,43.0
14771,41,45,43.0
14801,41,45,43.0
14801,41,45,43.0
14982,41,45,43.0
14982,41,45,43.0
14982,41,45,43.0
14982,41,45,43.0
14983,41,45,43.0
14983,41,45,43.0
14983,41,45,43.0
14983,41,45,43.0
15420,41,45,43.0
15420,41,45,43.0
15421,41,45,43.0
15421,41,45,43.0
15421,41,45,43.0
15422,41,45,43.0
15422,41,45,43.0
15422,41,45,43.0
15469,41,45,43.0
15469,41,45,43.0
15469,41,45,43.0
15469,41,45,43.0
15469,41,45,43.0
15469,41,45,43.0
15564,41,45,43.0
15564,41,45,43.0
15564,41,45,43.0
15564,41,45,43.0
15565,41,45,43.0
15565,41,45,43.0
15566,41,45,43.0
15566,41,45,43.0
15611,41,45,43.0
15611,41,45,43.0
15641,41,45,43.0
15641,41,45,43.0
16001,41,45,43.0
16001,41,45,43.0
16001,41,45,43.0
16002,41,45,43.0
16002,41,45,43.0
16002,41,45,43.0
16003,41,45,43.0
16003,41,45,43.0
16140,41,45,43.0
16140,41,45,43.0
16140,41,45,43.0
16140,41,45,43.0
16140,41,45,43.0
16140,41,45,43.0
16140,41,45,43.0
16141,41,45,43.0
16141,41,45,43.0
16141,41,45,43.0
16141,41,45,43.0
16141,41,45,43.0
16466,41,45,43.0
16466,41,45,43.0
16466,41,45,43.0
16466,41,45,43.0
16466,41,45,43.0
16466,41,45,43.0
16496,41,45,43.0
16496,41,45,43.0
16722,41,45,43.0
16722,41,45,43.0
16723,41,45,43.0
16723,41,45,43.0
16724,41,45,43.0
16724,41,45,43.0
16724,41,45,43.0
16724,41,45,43.0
16842,41,45,43.0
16842,41,45,43.0
16842,41,45,43.0
16842,41,45,43.0
16843,41,45,43.0
16843,41,45,43.0
16843,41,45,43.0
16844,41,45,43.0
17368,41,45,43.0
17368,41,45,43.0
17397,41,45,43.0
17397,41,45,43.0
17415,41,45,43.0
17415,41,45,43.0
17415,41,45,43.0
17415,41,45,43.0
17415,41,45,43.0
17415,41,45,43.0
17415,41,45,43.0
17416,41,45,43.0
17416,41,45,43.0
17416,41,45,43.0
17416,41,45,43.0
17417,41,45,43.0
17422,41,45,43.0
17422,41,45,43.0
17422,41,45,43.0
17422,41,45,43.0
17423,41,45,43.0
17423,41,45,43.0
17423,41,45,43.0
17424,41,45,43.0
17854,41,45,43.0
17856,41,45,43.0
17993,41,45,43.0
17993,41,45,43.0
17994,41,45,43.0
17994,41,45,43.0
17994,41,45,43.0
17995,41,45,43.0
17995,41,45,43.0
17995,41,45,43.0
18000,41,45,43.0
18001,41,45,43.0
18070,41,45,43.0
18070,41,45,43.0
18070,41,45,43.0
18070,41,45,43.0
18071,41,45,43.0
18072,41,45,43.0
18072,41,45,43.0
