ts_offset_sec,bid,ask,mid
184,19,27,23.0
187,19,27,23.0
221,19,27,23.0
221,19,27,23.0
251,19,27,23.0
251,19,27,23.0
271,19,27,23.0
471,19,27,23.0
471,6,27,16.5
472,24,27,25.5
472,24,27,25.5
472,24,27,25.5
472,24,27,25.5
472,24,27,25.5
472,24,27,25.5
472,24,27,25.5
472,24,94,59.0
473,24,31,27.5
473,24,31,27.5
474,24,31,27.5
474,24,31,27.5
490,24,31,27.5
490,24,31,27.5
948,24,31,27.5
948,24,31,27.5
978,24,31,27.5
978,24,31,27.5
1064,24,31,27.5
1665,24,31,27.5
1665,24,31,27.5
1694,24,31,27.5
1694,24,31,27.5
1791,24,31,27.5
1791,24,31,27.5
1831,24,31,27.5
1831,24,31,27.5
1831,24,31,27.5
1831,24,31,27.5
2077,24,31,27.5
2077,24,31,27.5
2077,24,31,27.5
2077,24,31,27.5
