ts_offset_sec,bid,ask,mid
120,46,52,49.0
327,46,52,49.0
391,46,52,49.0
391,46,52,49.0
421,46,52,49.0
421,46,52,49.0
654,46,52,49.0
1196,46,52,49.0
1196,46,52,49.0
1196,46,52,49.0
1196,46,52,49.0
1321,46,52,49.0
1321,46,52,49.0
1351,46,52,49.0
1351,46,52,49.0
2094,46,52,49.0
2094,46,52,49.0
2094,46,52,49.0
2094,46,52,49.0
2170,46,52,49.0
2170,46,52,49.0
2199,46,52,49.0
2199,46,52,49.0
2256,46,52,49.0
2256,46,52,49.0
2409,46,52,49.0
2409,46,52,49.0
2409,46,52,49.0
2410,46,52,49.0
2534,46,52,49.0
2534,46,52,49.0
2981,46,52,49.0
2981,46,52,49.0
2994,46,52,49.0
3010,46,52,49.0
3010,46,52,49.0
3665,46,52,49.0
3665,46,52,49.0
3665,46,52,49.0
3665,46,52,49.0
3665,46,52,49.0
3694,46,52,49.0
3694,46,52,49.0
4639,46,52,49.0
4639,46,52,49.0
4639,46,52,49.0
4669,46,52,49.0
4669,46,52,49.0
4669,46,52,49.0
4669,46,52,49.0
5577,46,52,49.0
5577,46,52,49.0
5577,46,52,49.0
5577,46,52,49.0
5607,46,52,49.0
5607,46,52,49.0
6386,46,52,49.0
6465,46,52,49.0
6465,46,52,49.0
6495,46,52,49.0
6495,46,52,49.0
7005,46,52,49.0
7006,46,52,49.0
7006,46,52,49.0
7006,46,52,49.0
7006,46,52,49.0
7006,46,52,49.0
7006,46,52,49.0
7006,46,52,49.0
7006,46,52,49.0
7006,46,52,49.0
7145,46,52,49.0
7145,46,52,49.0
7145,46,52,49.0
7145,46,52,49.0
7145,46,52,49.0
7145,46,52,49.0
7145,46,52,49.0
7145,46,52,49.0
7267,46,52,49.0
7267,46,52,49.0
7297,46,52,49.0
7297,46,52,49.0
7959,46,52,49.0
7959,46,52,49.0
7988,46,52,49.0
7988,46,52,49.0
8467,46,52,49.0
8467,46,52,49.0
8830,46,52,49.0
8830,46,52,49.0
8851,46,52,49.0
8860,46,52,49.0
8860,46,52,49.0
9122,46,52,49.0
9685,46,52,49.0
9685,46,52,49.0
9715,46,52,49.0
9715,46,52,49.0
10033,46,52,49.0
10033,46,52,49.0
10416,46,52,49.0
10416,46,52,49.0
10445,46,52,49.0
10445,46,52,49.0
11169,46,52,49.0
11240,46,52,49.0
11240,46,52,49.0
11240,46,52,49.0
11240,46,52,49.0
11240,46,52,49.0
11240,46,52,49.0
11268,46,52,49.0
11268,46,52,49.0
11434,46,52,49.0
11434,46,52,49.0
11434,46,52,49.0
11434,46,52,49.0
11434,46,52,49.0
11434,46,52,49.0
11434,46,52,49.0
11434,46,52,49.0
11945,46,52,49.0
11945,46,52,49.0
11945,46,52,49.0
11945,46,52,49.0
11945,46,52,49.0
11945,46,52,49.0
12082,46,52,49.0
12082,46,52,49.0
12111,46,52,49.0
12111,46,52,49.0
12573,46,52,49.0
12884,46,52,49.0
13139,46,52,49.0
13139,46,52,49.0
13169,46,52,49.0
13169,46,52,49.0
13190,46,52,49.0
13738,46,52,49.0
13863,46,52,49.0
13863,46,52,49.0
13864,46,52,49.0
13864,46,52,49.0
13870,46,52,49.0
13870,46,52,49.0
13870,46,52,49.0
13870,46,52,49.0
13870,46,52,49.0
13870,46,52,49.0
13899,46,52,49.0
13899,46,52,49.0
13899,46,52,49.0
13899,46,52,49.0
13990,46,52,49.0
13990,46,52,49.0
13990,46,52,49.0
13990,46,52,49.0
13990,46,52,49.0
13990,46,52,49.0
13990,46,52,49.0
13990,46,52,49.0
13990,46,52,49.0
14167,46,52,49.0
14167,46,52,49.0
14167,46,52,49.0
14167,46,52,49.0
14167,46,52,49.0
14167,46,52,49.0
14168,46,52,49.0
14168,46,52,49.0
14400,46,52,49.0
14400,46,52,49.0
14400,46,52,49.0
