ts_offset_sec,bid,ask,mid
177,4,96,50.0
209,4,96,50.0
209,4,96,50.0
212,4,96,50.0
212,4,96,50.0
212,4,96,50.0
212,4,96,50.0
212,4,96,50.0
213,4,96,50.0
213,5,96,50.5
213,5,95,50.0
213,6,95,50.5
214,6,94,50.0
351,6,94,50.0
351,6,94,50.0
381,6,94,50.0
381,6,94,50.0
398,6,94,50.0
1081,6,94,50.0
1081,6,94,50.0
1111,6,94,50.0
1111,6,94,50.0
1702,6,94,50.0
1702,6,94,50.0
1730,6,94,50.0
1730,6,94,50.0
1759,6,94,50.0
1759,6,94,50.0
2438,6,93,49.5
2451,6,93,49.5
2451,6,93,49.5
2481,6,93,49.5
2481,6,93,49.5
2775,6,93,49.5
2775,6,93,49.5
3113,6,93,49.5
3113,6,93,49.5
3139,6,93,49.5
3139,6,93,49.5
3169,6,93,49.5
3169,6,93,49.5
3803,6,93,49.5
3803,6,93,49.5
3803,6,93,49.5
3803,6,93,49.5
3803,6,93,49.5
3833,6,93,49.5
3833,6,93,49.5
4105,6,93,49.5
4106,6,93,49.5
4566,6,93,49.5
4566,6,93,49.5
4595,6,93,49.5
4595,6,93,49.5
5289,6,93,49.5
5289,6,93,49.5
5318,6,93,49.5
5318,6,93,49.5
