ts_offset_sec,bid,ask,mid
127,4,96,50.0
147,4,96,50.0
147,4,96,50.0
147,4,96,50.0
147,4,96,50.0
147,4,96,50.0
148,4,96,50.0
148,4,96,50.0
148,4,96,50.0
150,5,96,50.5
150,5,95,50.0
150,6,95,50.5
150,6,94,50.0
264,6,94,50.0
331,6,94,50.0
331,6,94,50.0
341,34,94,64.0
341,34,94,64.0
341,34,40,37.0
341,34,40,37.0
341,34,40,37.0
361,34,40,37.0
361,34,40,37.0
477,34,40,37.0
1298,34,40,37.0
1298,34,40,37.0
1328,34,40,37.0
1328,34,40,37.0
1827,34,40,37.0
1827,34,40,37.0
1947,34,40,37.0
1947,34,40,37.0
1947,34,40,37.0
1947,34,40,37.0
2240,34,40,37.0
2240,34,40,37.0
2269,34,40,37.0
2269,34,40,37.0
2741,34,40,37.0
2997,34,40,37.0
2997,34,40,37.0
3027,34,40,37.0
3027,34,40,37.0
3103,34,40,37.0
3103,34,40,37.0
3104,34,40,37.0
3104,34,40,37.0
3324,34,40,37.0
3324,34,40,37.0
3562,34,40,37.0
3562,34,40,37.0
3562,34,40,37.0
3562,34,40,37.0
3562,34,40,37.0
3692,34,40,37.0
3692,34,40,37.0
3692,34,40,37.0
3692,34,40,37.0
3904,34,40,37.0
3904,34,40,37.0
3933,34,40,37.0
3933,34,40,37.0
4662,34,40,37.0
4662,34,40,37.0
4662,34,40,37.0
4662,34,40,37.0
4692,34,40,37.0
4692,34,40,37.0
5519,34,40,37.0
5568,34,40,37.0
5568,34,40,37.0
5598,34,40,37.0
5598,34,40,37.0
6299,34,40,37.0
6299,34,40,37.0
6329,34,40,37.0
6329,34,40,37.0
6432,34,40,37.0
6432,34,40,37.0
7152,34,40,37.0
7152,34,40,37.0
7182,34,40,37.0
7182,34,40,37.0
7751,34,40,37.0
7751,34,40,37.0
7751,34,40,37.0
7751,34,40,37.0
7751,34,40,37.0
7751,34,40,37.0
7751,34,40,37.0
7751,34,40,37.0
7956,34,40,37.0
7956,34,40,37.0
7956,34,40,37.0
7956,34,40,37.0
7956,34,40,37.0
7956,34,40,37.0
7956,34,40,37.0
7956,34,40,37.0
7985,34,40,37.0
7985,34,40,37.0
8467,34,40,37.0
8467,34,40,37.0
8806,34,40,37.0
8806,34,40,37.0
8835,34,40,37.0
8835,34,40,37.0
9915,34,40,37.0
9915,34,40,37.0
9944,34,40,37.0
9944,34,40,37.0
10860,34,40,37.0
10860,34,40,37.0
10890,34,40,37.0
10890,34,40,37.0
11790,34,40,37.0
11790,34,40,37.0
11820,34,40,37.0
11820,34,40,37.0
12127,34,40,37.0
12127,34,40,37.0
12127,34,40,37.0
12127,34,40,37.0
12127,34,40,37.0
12127,34,40,37.0
12127,34,40,37.0
12127,34,40,37.0
12456,34,40,37.0
12456,34,40,37.0
12456,34,40,37.0
12702,34,40,37.0
12702,34,40,37.0
12702,34,40,37.0
12702,34,40,37.0
12732,34,40,37.0
12732,34,40,37.0
13910,34,40,37.0
13910,34,40,37.0
13910,34,40,37.0
13940,34,40,37.0
13940,34,40,37.0
13969,34,40,37.0
13969,34,40,37.0
13969,34,40,37.0
13969,34,40,37.0
14162,34,40,37.0
14162,34,40,37.0
14163,34,40,37.0
14163,34,40,37.0
14163,34,40,37.0
14163,34,40,37.0
14163,34,40,37.0
14163,34,40,37.0
14364,34,40,37.0
14364,34,40,37.0
14364,34,40,37.0
14364,34,40,37.0
14364,34,40,37.0
14364,34,40,37.0
14364,34,40,37.0
14364,34,40,37.0
14365,34,40,37.0
14365,34,40,37.0
14365,34,40,37.0
14719,34,40,37.0
14719,34,40,37.0
14719,34,40,37.0
14719,34,40,37.0
14720,34,40,37.0
14720,34,40,37.0
14720,34,40,37.0
14720,34,40,37.0
14721,34,40,37.0
14721,34,40,37.0
14721,34,40,37.0
14722,34,40,37.0
14751,34,40,37.0
14751,34,40,37.0
14751,34,40,37.0
14751,34,40,37.0
14752,34,40,37.0
14752,34,40,37.0
14752,34,40,37.0
14752,34,40,37.0
14777,34,40,37.0
14777,34,40,37.0
14806,34,40,37.0
14806,34,40,37.0
15135,34,40,37.0
15135,34,40,37.0
15135,34,40,37.0
15135,34,40,37.0
15136,34,40,37.0
15136,34,40,37.0
15136,34,40,37.0
15136,34,40,37.0
15266,34,40,37.0
15266,34,40,37.0
15266,34,40,37.0
15267,34,40,37.0
15268,34,40,37.0
15268,34,40,37.0
15268,34,40,37.0
15268,34,40,37.0
15524,34,40,37.0
15524,34,40,37.0
15524,34,40,37.0
15524,34,40,37.0
15525,34,40,37.0
15525,34,40,37.0
15525,34,40,37.0
15525,34,40,37.0
15713,34,40,37.0
15713,34,40,37.0
15742,34,40,37.0
15742,34,40,37.0
15814,34,40,37.0
15814,34,40,37.0
