ts_offset_sec,bid,ask,mid
219,6,94,50.0
329,6,94,50.0
343,6,94,50.0
343,6,94,50.0
373,6,94,50.0
373,6,94,50.0
1304,6,94,50.0
1304,6,94,50.0
1334,6,94,50.0
1334,6,94,50.0
1560,6,94,50.0
1560,5,94,49.5
1560,5,94,49.5
1560,5,94,49.5
1560,5,96,50.5
1560,5,96,50.5
1560,4,96,50.0
1560,4,96,50.0
1560,4,96,50.0
1560,4,96,50.0
1560,4,96,50.0
1560,4,96,50.0
2276,4,96,50.0
2411,4,95,49.5
2488,4,92,48.0
2560,5,92,48.5
2568,5,95,50.0
2657,4,95,49.5
2869,4,90,47.0
3176,4,95,49.5
4003,5,95,50.0
4041,4,95,49.5
4041,4,96,50.0
4059,4,96,50.0
4073,4,96,50.0
4136,4,96,50.0
4136,4,96,50.0
4316,4,96,50.0
4316,4,96,50.0
4316,4,96,50.0
4341,4,96,50.0
4567,4,96,50.0
4574,4,95,49.5
4576,4,96,50.0
4583,4,95,49.5
4593,4,96,50.0
4742,4,95,49.5
5040,4,95,49.5
5346,5,95,50.0
5367,4,95,49.5
5520,4,96,50.0
5520,4,95,49.5
5922,4,96,50.0
5922,4,95,49.5
6132,4,95,49.5
6369,4,95,49.5
6584,4,96,50.0
6585,4,95,49.5
7916,4,96,50.0
7916,4,96,50.0
7936,4,96,50.0
7936,4,96,50.0
7938,4,96,50.0
7938,4,96,50.0
8089,4,96,50.0
8192,4,96,50.0
8212,4,96,50.0
8309,4,96,50.0
8309,4,96,50.0
8334,4,96,50.0
8714,4,96,50.0
8714,4,96,50.0
8840,4,96,50.0
8840,4,96,50.0
9846,4,96,50.0
9855,4,96,50.0
9875,4,96,50.0
9925,4,96,50.0
9925,4,96,50.0
9985,4,96,50.0
10002,4,96,50.0
10013,4,96,50.0
10013,4,96,50.0
10027,4,96,50.0
10106,4,96,50.0
10121,4,96,50.0
10181,4,96,50.0
10181,4,96,50.0
10181,4,96,50.0
10181,4,96,50.0
10181,4,96,50.0
10181,4,96,50.0
10181,4,96,50.0
10181,4,96,50.0
10182,4,96,50.0
10182,4,96,50.0
10210,4,96,50.0
10210,4,96,50.0
10210,4,96,50.0
10210,4,96,50.0
10210,4,96,50.0
10210,4,96,50.0
10210,99,96,97.5
