ts_offset_sec,bid,ask,mid
0,57,59,58.0
0,57,59,58.0
0,57,59,58.0
0,57,59,58.0
0,57,59,58.0
1,57,59,58.0
1,57,61,59.0
1,57,61,59.0
1,56,61,58.5
1,56,61,58.5
1,56,61,58.5
1,56,61,58.5
2,56,60,58.0
2,56,60,58.0
3,56,60,58.0
3,56,60,58.0
3,56,60,58.0
5,56,60,58.0
5,56,60,58.0
5,57,60,58.5
5,56,60,58.0
5,56,60,58.0
5,56,60,58.0
5,56,60,58.0
6,57,60,58.5
6,57,60,58.5
6,57,60,58.5
6,57,60,58.5
6,57,60,58.5
6,57,60,58.5
7,57,60,58.5
7,57,60,58.5
7,57,61,59.0
7,57,61,59.0
7,57,61,59.0
7,57,61,59.0
8,57,61,59.0
15,58,61,59.5
15,58,60,59.0
15,58,60,59.0
16,58,60,59.0
19,58,61,59.5
19,58,61,59.5
19,58,61,59.5
19,58,60,59.0
19,58,60,59.0
19,58,60,59.0
20,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,60,59.0
27,58,63,60.5
27,58,63,60.5
27,58,63,60.5
27,58,63,60.5
27,58,63,60.5
27,58,63,60.5
27,58,63,60.5
27,58,63,60.5
27,58,63,60.5
27,58,63,60.5
27,58,63,60.5
27,58,63,60.5
27,58,63,60.5
27,58,63,60.5
27,58,63,60.5
27,58,63,60.5
27,58,63,60.5
27,58,63,60.5
27,58,62,60.0
27,58,62,60.0
27,58,62,60.0
27,58,62,60.0
27,58,62,60.0
27,58,62,60.0
27,58,62,60.0
28,58,62,60.0
28,58,62,60.0
28,58,62,60.0
28,58,62,60.0
28,58,62,60.0
28,58,62,60.0
28,58,62,60.0
29,58,62,60.0
29,58,62,60.0
29,58,62,60.0
29,58,62,60.0
29,58,62,60.0
30,58,64,61.0
30,58,65,61.5
30,58,62,60.0
30,58,62,60.0
30,58,62,60.0
30,58,62,60.0
30,58,62,60.0
30,58,62,60.0
30,58,62,60.0
30,58,62,60.0
30,58,65,61.5
30,58,65,61.5
30,58,65,61.5
30,58,65,61.5
30,58,65,61.5
30,58,65,61.5
30,58,64,61.0
30,58,64,61.0
30,58,64,61.0
30,58,63,60.5
30,58,65,61.5
30,58,65,61.5
30,58,65,61.5
30,58,65,61.5
30,58,65,61.5
30,58,64,61.0
30,58,64,61.0
30,58,63,60.5
30,58,65,61.5
30,58,64,61.0
31,58,63,60.5
31,58,63,60.5
31,58,65,61.5
31,58,65,61.5
31,58,65,61.5
31,58,65,61.5
31,58,65,61.5
31,58,65,61.5
31,58,65,61.5
31,58,65,61.5
31,58,65,61.5
31,58,64,61.0
31,58,64,61.0
31,58,64,61.0
31,58,64,61.0
32,58,64,61.0
32,58,64,61.0
32,58,64,61.0
32,58,63,60.5
32,58,63,60.5
32,58,63,60.5
32,58,63,60.5
32,58,63,60.5
32,58,63,60.5
32,58,64,61.0
32,58,63,60.5
32,58,64,61.0
32,58,64,61.0
32,58,64,61.0
33,58,63,60.5
33,58,63,60.5
33,58,64,61.0
33,58,64,61.0
33,58,63,60.5
33,58,62,60.0
33,58,62,60.0
33,58,62,60.0
33,58,62,60.0
33,58,62,60.0
33,58,62,60.0
33,58,62,60.0
33,58,62,60.0
33,58,62,60.0
33,58,62,60.0
33,58,62,60.0
33,58,62,60.0
33,58,62,60.0
33,58,62,60.0
33,58,64,61.0
33,58,62,60.0
33,58,62,60.0
33,58,62,60.0
33,58,62,60.0
33,58,62,60.0
33,58,62,60.0
34,58,62,60.0
34,58,62,60.0
34,58,64,61.0
34,58,64,61.0
34,58,64,61.0
34,58,64,61.0
34,58,64,61.0
34,58,64,61.0
34,58,64,61.0
34,58,64,61.0
34,58,64,61.0
34,58,63,60.5
34,58,63,60.5
34,58,63,60.5
34,58,63,60.5
34,58,63,60.5
34,58,63,60.5
34,58,63,60.5
34,58,63,60.5
34,58,63,60.5
34,58,63,60.5
34,58,63,60.5
34,58,63,60.5
34,58,63,60.5
35,58,63,60.5
35,58,63,60.5
35,58,63,60.5
35,58,63,60.5
35,58,63,60.5
36,58,63,60.5
36,58,63,60.5
39,58,63,60.5
49,58,62,60.0
49,58,62,60.0
49,58,62,60.0
49,58,62,60.0
49,58,62,60.0
49,58,62,60.0
49,58,62,60.0
49,58,62,60.0
49,58,62,60.0
49,58,62,60.0
49,58,62,60.0
49,58,62,60.0
49,58,62,60.0
49,58,64,61.0
49,58,64,61.0
49,58,64,61.0
49,58,64,61.0
49,58,64,61.0
49,58,62,60.0
49,58,62,60.0
49,58,62,60.0
49,58,62,60.0
49,58,62,60.0
49,58,62,60.0
49,58,64,61.0
49,58,64,61.0
