ts_offset_sec,bid,ask,mid
0,68,69,68.5
0,68,69,68.5
933,68,69,68.5
933,68,70,69.0
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
933,69,70,69.5
934,69,70,69.5
934,69,70,69.5
934,69,70,69.5
934,69,70,69.5
934,69,70,69.5
934,69,71,70.0
934,69,82,75.5
934,69,82,75.5
934,69,82,75.5
934,69,81,75.0
934,69,81,75.0
934,69,82,75.5
934,69,82,75.5
934,69,82,75.5
934,69,82,75.5
934,69,82,75.5
934,69,82,75.5
934,69,82,75.5
934,69,82,75.5
934,69,79,74.0
934,69,79,74.0
934,69,79,74.0
935,69,78,73.5
935,69,78,73.5
935,69,78,73.5
935,69,78,73.5
935,69,78,73.5
935,69,78,73.5
935,69,78,73.5
935,69,78,73.5
935,69,77,73.0
935,69,77,73.0
935,69,77,73.0
935,69,77,73.0
935,69,77,73.0
935,69,77,73.0
935,69,77,73.0
935,69,77,73.0
935,69,77,73.0
935,69,76,72.5
936,69,76,72.5
936,69,76,72.5
936,69,75,72.0
936,69,75,72.0
936,69,75,72.0
936,69,75,72.0
936,69,75,72.0
936,69,75,72.0
936,69,74,71.5
936,69,74,71.5
936,69,74,71.5
936,69,74,71.5
936,69,74,71.5
936,69,74,71.5
936,69,74,71.5
937,69,74,71.5
937,69,74,71.5
937,69,74,71.5
937,69,74,71.5
937,69,73,71.0
937,69,73,71.0
937,69,73,71.0
937,69,72,70.5
937,69,72,70.5
937,69,72,70.5
937,69,72,70.5
937,69,72,70.5
937,69,72,70.5
937,69,71,70.0
937,69,71,70.0
937,69,71,70.0
937,69,73,71.0
937,69,73,71.0
937,69,73,71.0
937,69,72,70.5
937,69,72,70.5
938,69,72,70.5
938,69,72,70.5
938,69,72,70.5
938,69,72,70.5
938,69,72,70.5
938,69,71,70.0
938,69,71,70.0
938,69,71,70.0
939,69,71,70.0
939,69,71,70.0
939,69,71,70.0
939,69,71,70.0
939,69,71,70.0
939,69,71,70.0
939,69,71,70.0
947,69,71,70.0
947,69,71,70.0
947,69,71,70.0
947,69,71,70.0
947,69,71,70.0
947,69,71,70.0
948,69,71,70.0
948,69,71,70.0
1043,69,71,70.0
1043,69,71,70.0
1043,69,71,70.0
1043,69,71,70.0
1094,69,71,70.0
1094,69,71,70.0
1094,69,71,70.0
1094,69,71,70.0
1098,69,71,70.0
1099,69,71,70.0
1099,69,71,70.0
1099,69,71,70.0
1152,69,71,70.0
1152,69,71,70.0
1152,69,71,70.0
1152,69,71,70.0
1152,69,71,70.0
1152,69,71,70.0
1152,69,71,70.0
1203,69,71,70.0
1203,69,71,70.0
1203,69,71,70.0
1203,69,71,70.0
1203,69,71,70.0
1203,69,70,69.5
1203,69,70,69.5
1203,69,70,69.5
1203,69,70,69.5
1203,69,70,69.5
1203,69,70,69.5
1203,69,70,69.5
1203,69,70,69.5
1203,69,70,69.5
1203,69,70,69.5
1203,69,70,69.5
1203,69,70,69.5
1203,69,70,69.5
1205,69,70,69.5
1224,69,70,69.5
1224,69,70,69.5
1331,69,70,69.5
1331,69,70,69.5
1331,69,70,69.5
1331,69,70,69.5
1332,69,70,69.5
1332,69,70,69.5
1504,69,70,69.5
1504,69,70,69.5
1757,69,70,69.5
1757,69,70,69.5
1787,69,70,69.5
1787,69,70,69.5
2123,69,70,69.5
2123,69,70,69.5
2123,69,70,69.5
2123,69,70,69.5
2123,69,70,69.5
2123,69,70,69.5
2123,69,70,69.5
2123,69,70,69.5
2123,69,70,69.5
2123,69,70,69.5
2123,69,70,69.5
2124,69,70,69.5
2124,69,70,69.5
2253,69,70,69.5
2253,69,70,69.5
2253,69,70,69.5
2253,69,70,69.5
2253,69,70,69.5
2254,69,70,69.5
2559,69,70,69.5
2559,69,70,69.5
2559,69,70,69.5
2559,69,70,69.5
2559,69,70,69.5
2559,69,70,69.5
2559,69,70,69.5
2559,69,70,69.5
2599,69,70,69.5
2599,69,70,69.5
2628,69,70,69.5
2628,69,70,69.5
2673,69,70,69.5
2684,69,70,69.5
2684,69,70,69.5
2684,69,70,69.5
2684,69,70,69.5
2685,69,70,69.5
2685,69,70,69.5
2685,69,70,69.5
2686,69,70,69.5
2686,69,70,69.5
2686,69,70,69.5
3017,69,70,69.5
3307,69,70,69.5
3307,69,70,69.5
3307,69,70,69.5
3307,69,70,69.5
3307,69,70,69.5
3334,69,70,69.5
3336,69,70,69.5
3336,69,70,69.5
3414,69,70,69.5
3414,69,70,69.5
3414,69,70,69.5
3414,69,70,69.5
3414,69,70,69.5
3414,69,70,69.5
3414,69,70,69.5
3414,69,70,69.5
3414,69,70,69.5
3415,69,70,69.5
4029,69,70,69.5
4029,69,70,69.5
4029,69,70,69.5
4029,69,70,69.5
4059,69,70,69.5
4059,69,70,69.5
