ts_offset_sec,bid,ask,mid
0,21,23,22.0
0,21,23,22.0
0,21,23,22.0
0,21,23,22.0
1,21,23,22.0
1,21,23,22.0
1,21,23,22.0
2,21,23,22.0
2,21,23,22.0
2,21,23,22.0
2,21,23,22.0
3,21,23,22.0
3,21,23,22.0
3,21,23,22.0
4,21,23,22.0
4,21,23,22.0
5,21,23,22.0
5,21,23,22.0
6,21,23,22.0
6,21,23,22.0
6,21,23,22.0
7,21,23,22.0
7,21,23,22.0
7,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
9,21,23,22.0
9,21,23,22.0
9,21,23,22.0
9,21,23,22.0
9,21,23,22.0
9,21,23,22.0
9,20,23,21.5
9,20,23,21.5
9,20,23,21.5
9,20,23,21.5
9,20,23,21.5
9,20,23,21.5
9,20,23,21.5
9,20,23,21.5
9,21,23,22.0
9,21,23,22.0
9,21,23,22.0
9,21,23,22.0
10,20,23,21.5
10,20,23,21.5
10,20,23,21.5
10,20,23,21.5
10,20,23,21.5
10,20,23,21.5
10,20,23,21.5
10,20,23,21.5
10,20,23,21.5
10,20,23,21.5
10,20,23,21.5
10,20,23,21.5
10,20,23,21.5
10,20,23,21.5
10,20,23,21.5
11,21,23,22.0
11,21,23,22.0
11,21,23,22.0
11,21,23,22.0
11,20,23,21.5
11,20,23,21.5
11,20,23,21.5
11,20,23,21.5
11,20,23,21.5
11,20,23,21.5
11,20,23,21.5
12,20,23,21.5
12,20,23,21.5
12,20,23,21.5
12,21,23,22.0
12,21,23,22.0
12,21,23,22.0
12,21,23,22.0
12,21,23,22.0
12,21,23,22.0
12,20,23,21.5
12,20,23,21.5
12,20,23,21.5
12,20,23,21.5
13,20,23,21.5
13,20,23,21.5
13,20,23,21.5
13,20,23,21.5
13,20,23,21.5
13,20,23,21.5
13,20,23,21.5
13,21,23,22.0
13,21,23,22.0
13,21,23,22.0
13,21,23,22.0
