ts_offset_sec,bid,ask,mid
0,16,21,18.5
1,16,21,18.5
3,16,21,18.5
5,16,21,18.5
7,16,21,18.5
9,16,21,18.5
11,16,21,18.5
13,16,21,18.5
15,16,21,18.5
15,16,21,18.5
16,16,21,18.5
18,16,21,18.5
19,16,20,18.0
19,16,20,18.0
19,16,20,18.0
19,16,20,18.0
19,16,20,18.0
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
19,16,19,17.5
20,16,18,17.0
20,16,18,17.0
20,16,18,17.0
20,16,18,17.0
20,16,18,17.0
20,16,18,17.0
21,16,18,17.0
22,16,18,17.0
22,16,18,17.0
23,16,18,17.0
24,16,18,17.0
24,16,18,17.0
24,16,18,17.0
25,16,18,17.0
26,16,18,17.0
28,16,18,17.0
28,16,18,17.0
28,16,18,17.0
28,16,18,17.0
30,16,18,17.0
30,14,18,16.0
30,12,18,15.0
30,12,18,15.0
30,12,18,15.0
30,12,18,15.0
30,12,18,15.0
30,12,18,15.0
30,12,18,15.0
30,12,18,15.0
30,12,19,15.5
30,12,19,15.5
30,12,19,15.5
30,12,19,15.5
30,12,19,15.5
30,13,19,16.0
30,13,19,16.0
31,13,19,16.0
31,13,19,16.0
31,13,19,16.0
31,13,19,16.0
31,13,19,16.0
31,13,19,16.0
31,13,19,16.0
31,13,19,16.0
31,13,19,16.0
33,13,19,16.0
33,13,19,16.0
35,13,19,16.0
35,13,19,16.0
36,13,19,16.0
36,13,18,15.5
36,13,18,15.5
36,13,18,15.5
36,13,18,15.5
36,13,18,15.5
36,13,18,15.5
36,13,18,15.5
37,13,19,16.0
37,13,19,16.0
37,13,19,16.0
37,13,19,16.0
37,13,19,16.0
37,13,19,16.0
37,13,19,16.0
37,13,19,16.0
39,13,19,16.0
41,13,19,16.0
41,13,19,16.0
41,13,19,16.0
41,13,19,16.0
41,13,19,16.0
41,13,19,16.0
41,13,19,16.0
41,13,19,16.0
41,13,19,16.0
41,13,19,16.0
41,13,19,16.0
41,13,19,16.0
41,13,19,16.0
41,13,19,16.0
41,13,19,16.0
42,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
43,13,19,16.0
44,13,19,16.0
44,13,19,16.0
44,13,19,16.0
44,13,19,16.0
44,13,19,16.0
44,13,19,16.0
44,13,19,16.0
44,13,19,16.0
44,13,19,16.0
44,13,19,16.0
44,13,19,16.0
44,13,19,16.0
44,14,19,16.5
44,14,19,16.5
44,14,19,16.5
45,14,19,16.5
45,14,19,16.5
45,14,19,16.5
45,14,19,16.5
45,14,19,16.5
45,14,19,16.5
45,14,19,16.5
45,14,19,16.5
45,14,19,16.5
45,14,19,16.5
45,14,19,16.5
45,14,19,16.5
45,14,19,16.5
45,14,19,16.5
46,14,19,16.5
46,14,19,16.5
48,14,19,16.5
48,14,19,16.5
48,14,19,16.5
48,14,19,16.5
48,14,19,16.5
48,14,19,16.5
48,14,19,16.5
48,14,19,16.5
48,14,19,16.5
48,14,19,16.5
49,14,19,16.5
49,14,19,16.5
50,14,19,16.5
50,14,19,16.5
51,14,19,16.5
51,14,19,16.5
52,14,19,16.5
52,14,19,16.5
52,14,19,16.5
52,14,19,16.5
52,14,19,16.5
52,14,19,16.5
52,14,19,16.5
52,14,19,16.5
52,14,19,16.5
53,14,19,16.5
53,14,19,16.5
53,14,19,16.5
53,14,19,16.5
53,14,19,16.5
53,14,19,16.5
54,14,19,16.5
54,14,19,16.5
55,14,19,16.5
57,14,19,16.5
58,14,19,16.5
59,14,19,16.5
59,14,19,16.5
59,14,19,16.5
59,14,19,16.5
59,14,19,16.5
59,14,19,16.5
