ts_offset_sec,bid,ask,mid
0,21,27,24.0
0,21,27,24.0
0,21,27,24.0
0,21,27,24.0
0,21,26,23.5
0,21,26,23.5
0,21,26,23.5
0,21,26,23.5
0,21,26,23.5
0,21,26,23.5
0,21,26,23.5
0,21,26,23.5
0,21,26,23.5
0,21,26,23.5
0,21,26,23.5
0,21,26,23.5
0,21,26,23.5
0,21,26,23.5
0,21,26,23.5
1,21,26,23.5
1,21,26,23.5
1,21,26,23.5
1,21,26,23.5
1,21,26,23.5
1,21,26,23.5
1,21,26,23.5
1,21,26,23.5
1,21,26,23.5
1,21,27,24.0
1,21,27,24.0
1,21,27,24.0
1,21,27,24.0
1,21,27,24.0
1,21,27,24.0
1,21,27,24.0
1,21,27,24.0
3,21,27,24.0
3,21,27,24.0
4,21,27,24.0
5,21,27,24.0
6,21,27,24.0
7,21,27,24.0
8,21,26,23.5
8,21,26,23.5
8,21,26,23.5
8,21,26,23.5
8,21,25,23.0
8,21,25,23.0
8,21,25,23.0
8,21,25,23.0
8,21,25,23.0
8,21,25,23.0
8,21,25,23.0
8,21,25,23.0
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,24,22.5
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,23,22.0
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
8,21,22,21.5
9,21,22,21.5
9,21,22,21.5
9,21,22,21.5
9,21,22,21.5
