ts_offset_sec,bid,ask,mid
0,36,39,37.5
7,36,39,37.5
7,36,39,37.5
7,36,39,37.5
7,36,39,37.5
7,36,39,37.5
7,36,39,37.5
7,36,39,37.5
7,36,39,37.5
7,36,39,37.5
7,36,39,37.5
7,36,40,38.0
7,36,40,38.0
7,36,40,38.0
7,36,40,38.0
7,36,39,37.5
7,36,39,37.5
8,36,39,37.5
9,36,39,37.5
9,36,39,37.5
9,36,39,37.5
9,36,39,37.5
9,36,39,37.5
9,36,39,37.5
9,36,39,37.5
9,36,39,37.5
9,36,39,37.5
9,36,39,37.5
9,36,39,37.5
10,36,39,37.5
11,36,39,37.5
11,36,39,37.5
11,36,39,37.5
11,36,39,37.5
11,36,39,37.5
11,36,39,37.5
11,36,39,37.5
11,36,39,37.5
11,36,39,37.5
11,36,39,37.5
11,36,39,37.5
11,36,39,37.5
11,36,39,37.5
11,36,39,37.5
11,36,39,37.5
12,36,39,37.5
12,36,39,37.5
12,36,39,37.5
12,36,39,37.5
12,36,39,37.5
12,36,39,37.5
12,36,39,37.5
12,36,39,37.5
12,36,39,37.5
12,36,39,37.5
12,36,39,37.5
12,36,39,37.5
13,36,39,37.5
14,36,39,37.5
14,36,39,37.5
14,36,39,37.5
14,36,39,37.5
14,36,39,37.5
18,36,39,37.5
18,36,39,37.5
19,36,39,37.5
19,36,39,37.5
19,36,39,37.5
19,36,39,37.5
19,36,39,37.5
20,36,39,37.5
20,36,39,37.5
20,36,39,37.5
20,36,39,37.5
20,36,39,37.5
20,36,39,37.5
20,36,39,37.5
20,36,39,37.5
20,36,39,37.5
20,36,39,37.5
20,36,39,37.5
20,36,39,37.5
20,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
21,36,39,37.5
22,36,39,37.5
22,36,39,37.5
22,36,39,37.5
22,36,39,37.5
22,36,39,37.5
22,36,39,37.5
22,36,39,37.5
22,36,39,37.5
22,36,39,37.5
23,36,39,37.5
23,36,39,37.5
23,36,39,37.5
23,36,39,37.5
23,36,39,37.5
23,36,39,37.5
23,36,39,37.5
23,36,39,37.5
23,36,39,37.5
23,36,39,37.5
23,36,39,37.5
23,36,39,37.5
23,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,39,37.5
24,36,38,37.0
24,36,38,37.0
24,36,38,37.0
24,36,38,37.0
24,36,38,37.0
24,36,38,37.0
24,36,38,37.0
