ts_offset_sec,bid,ask,mid
0,22,23,22.5
0,22,23,22.5
0,22,23,22.5
0,22,23,22.5
0,22,23,22.5
0,22,23,22.5
0,22,23,22.5
1,22,23,22.5
1,22,23,22.5
1,22,23,22.5
1,22,23,22.5
1,22,23,22.5
1,22,23,22.5
2,22,23,22.5
2,22,23,22.5
2,22,23,22.5
2,22,23,22.5
2,22,23,22.5
2,22,23,22.5
2,22,23,22.5
2,22,23,22.5
2,22,23,22.5
2,22,23,22.5
2,22,23,22.5
3,22,23,22.5
3,22,23,22.5
3,22,23,22.5
3,22,23,22.5
3,22,23,22.5
3,22,23,22.5
3,22,23,22.5
3,22,23,22.5
4,22,23,22.5
4,22,23,22.5
5,22,23,22.5
5,22,23,22.5
5,22,23,22.5
5,22,23,22.5
5,22,23,22.5
5,22,23,22.5
5,22,23,22.5
5,22,23,22.5
5,22,23,22.5
5,21,23,22.0
5,21,23,22.0
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,21,22,21.5
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,22,21.0
5,20,21,20.5
5,20,21,20.5
5,20,21,20.5
5,20,21,20.5
5,20,21,20.5
5,20,21,20.5
5,20,21,20.5
5,20,21,20.5
5,20,21,20.5
5,20,21,20.5
5,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
7,20,21,20.5
7,20,21,20.5
7,20,21,20.5
7,20,21,20.5
7,20,21,20.5
7,20,21,20.5
7,20,21,20.5
7,20,21,20.5
7,20,21,20.5
7,20,21,20.5
7,20,21,20.5
7,20,21,20.5
8,20,21,20.5
8,20,21,20.5
8,20,21,20.5
8,20,21,20.5
8,20,21,20.5
8,20,21,20.5
8,20,21,20.5
9,20,21,20.5
9,20,21,20.5
9,20,21,20.5
9,20,21,20.5
9,20,21,20.5
9,20,21,20.5
9,20,21,20.5
9,20,21,20.5
9,20,21,20.5
9,20,21,20.5
9,20,21,20.5
9,20,21,20.5
9,20,21,20.5
9,20,21,20.5
9,20,21,20.5
10,20,21,20.5
10,20,21,20.5
10,20,21,20.5
10,20,21,20.5
10,20,21,20.5
10,20,21,20.5
10,20,21,20.5
10,20,21,20.5
11,20,21,20.5
11,20,21,20.5
11,20,21,20.5
11,20,21,20.5
11,20,21,20.5
11,20,21,20.5
11,20,21,20.5
11,20,21,20.5
11,20,21,20.5
11,20,21,20.5
11,20,21,20.5
11,20,21,20.5
11,20,21,20.5
11,20,21,20.5
11,20,21,20.5
11,20,21,20.5
11,20,21,20.5
11,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
13,20,21,20.5
13,20,21,20.5
13,20,21,20.5
13,20,21,20.5
13,20,21,20.5
13,20,21,20.5
13,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
15,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
16,20,21,20.5
17,20,21,20.5
18,20,21,20.5
18,20,21,20.5
18,20,21,20.5
18,20,21,20.5
18,20,21,20.5
19,20,21,20.5
19,20,21,20.5
19,20,21,20.5
19,20,21,20.5
20,20,21,20.5
20,20,21,20.5
21,20,21,20.5
21,20,21,20.5
21,20,21,20.5
21,20,21,20.5
21,20,21,20.5
21,20,21,20.5
21,20,21,20.5
21,20,21,20.5
22,20,21,20.5
22,20,21,20.5
22,20,21,20.5
22,20,21,20.5
22,20,21,20.5
22,20,21,20.5
22,20,21,20.5
22,20,21,20.5
22,20,21,20.5
22,20,21,20.5
22,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
23,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
24,20,21,20.5
25,20,21,20.5
25,20,21,20.5
25,20,21,20.5
25,20,21,20.5
25,20,21,20.5
25,20,21,20.5
25,20,21,20.5
25,20,21,20.5
25,20,21,20.5
25,20,21,20.5
26,20,21,20.5
26,20,21,20.5
26,20,21,20.5
26,20,21,20.5
26,20,21,20.5
26,20,21,20.5
26,20,21,20.5
26,20,21,20.5
26,20,21,20.5
26,20,21,20.5
26,20,21,20.5
26,20,21,20.5
27,20,21,20.5
27,20,21,20.5
27,20,21,20.5
27,20,21,20.5
27,20,21,20.5
27,20,21,20.5
27,20,21,20.5
27,20,21,20.5
28,20,21,20.5
28,20,21,20.5
28,20,21,20.5
28,20,21,20.5
28,20,21,20.5
28,20,21,20.5
28,20,21,20.5
28,20,21,20.5
28,20,21,20.5
28,20,21,20.5
28,20,21,20.5
28,20,21,20.5
28,20,21,20.5
28,20,21,20.5
28,20,21,20.5
28,20,21,20.5
28,20,21,20.5
28,20,21,20.5
29,20,21,20.5
29,20,21,20.5
29,20,21,20.5
29,20,21,20.5
29,20,21,20.5
29,20,21,20.5
29,20,21,20.5
29,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,20,21,20.5
30,19,21,20.0
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,18,21,19.5
30,17,21,19.0
30,17,21,19.0
30,18,21,19.5
30,18,20,19.0
30,18,20,19.0
30,18,20,19.0
30,18,20,19.0
30,18,20,19.0
30,18,20,19.0
30,18,20,19.0
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
31,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,18,20,19.0
32,16,20,18.0
32,16,20,18.0
32,16,20,18.0
32,17,20,18.5
32,17,20,18.5
32,17,20,18.5
32,17,20,18.5
32,17,20,18.5
32,17,20,18.5
32,17,20,18.5
32,17,20,18.5
32,17,20,18.5
32,17,20,18.5
32,17,20,18.5
32,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
33,17,20,18.5
34,17,20,18.5
34,17,20,18.5
34,17,20,18.5
34,17,20,18.5
34,17,20,18.5
34,17,20,18.5
34,17,20,18.5
34,17,20,18.5
34,17,20,18.5
34,17,20,18.5
34,17,20,18.5
34,17,20,18.5
34,17,20,18.5
34,17,20,18.5
34,17,20,18.5
34,17,20,18.5
35,17,20,18.5
