ts_offset_sec,bid,ask,mid
0,78,80,79.0
7,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
8,78,80,79.0
9,78,80,79.0
9,78,80,79.0
9,78,80,79.0
9,78,80,79.0
9,78,80,79.0
9,78,80,79.0
9,78,80,79.0
9,78,80,79.0
9,78,80,79.0
9,78,80,79.0
9,78,79,78.5
9,78,79,78.5
9,78,79,78.5
9,78,79,78.5
9,78,79,78.5
9,78,79,78.5
9,78,79,78.5
9,78,79,78.5
9,78,79,78.5
9,78,79,78.5
9,78,79,78.5
9,78,79,78.5
9,78,79,78.5
9,76,79,77.5
9,76,78,77.0
9,76,78,77.0
9,76,78,77.0
9,76,78,77.0
9,76,78,77.0
9,76,78,77.0
9,76,78,77.0
9,76,78,77.0
9,76,78,77.0
9,76,78,77.0
9,76,78,77.0
9,76,78,77.0
9,76,78,77.0
9,76,78,77.0
9,76,78,77.0
9,76,78,77.0
9,76,78,77.0
10,76,78,77.0
10,76,78,77.0
10,76,78,77.0
10,76,78,77.0
10,76,78,77.0
10,76,78,77.0
10,76,78,77.0
10,76,78,77.0
10,76,78,77.0
10,76,78,77.0
10,76,78,77.0
10,76,78,77.0
10,76,78,77.0
10,76,78,77.0
10,76,78,77.0
11,76,78,77.0
11,77,78,77.5
11,77,78,77.5
11,77,78,77.5
11,77,78,77.5
11,77,78,77.5
11,77,78,77.5
11,77,78,77.5
11,77,78,77.5
11,77,78,77.5
12,77,78,77.5
12,77,78,77.5
12,77,78,77.5
12,77,78,77.5
12,77,78,77.5
12,77,78,77.5
12,77,78,77.5
12,77,78,77.5
12,77,78,77.5
12,77,78,77.5
13,77,78,77.5
13,77,78,77.5
13,77,78,77.5
13,77,78,77.5
13,77,78,77.5
13,77,78,77.5
14,77,78,77.5
15,77,78,77.5
15,77,78,77.5
16,77,78,77.5
17,77,78,77.5
18,77,78,77.5
18,77,78,77.5
19,77,78,77.5
19,77,78,77.5
20,77,78,77.5
20,77,78,77.5
23,77,78,77.5
23,77,78,77.5
24,77,78,77.5
26,77,78,77.5
27,77,78,77.5
28,77,78,77.5
29,77,78,77.5
30,77,78,77.5
30,77,78,77.5
33,77,78,77.5
33,77,78,77.5
33,77,78,77.5
33,77,78,77.5
33,77,78,77.5
33,77,78,77.5
33,77,78,77.5
33,77,78,77.5
33,77,78,77.5
33,77,78,77.5
33,77,78,77.5
33,77,78,77.5
33,77,78,77.5
33,76,78,77.0
33,75,78,76.5
33,75,78,76.5
33,75,78,76.5
33,75,78,76.5
33,75,78,76.5
33,75,78,76.5
33,75,78,76.5
33,75,78,76.5
33,75,78,76.5
33,75,78,76.5
33,75,78,76.5
33,75,78,76.5
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
33,75,77,76.0
34,75,77,76.0
34,75,77,76.0
34,75,77,76.0
34,75,78,76.5
34,75,78,76.5
34,75,78,76.5
34,75,78,76.5
34,75,78,76.5
34,75,78,76.5
34,75,78,76.5
34,75,78,76.5
34,75,78,76.5
34,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
35,75,78,76.5
36,75,78,76.5
36,75,78,76.5
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
36,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,75,77,76.0
37,77,78,77.5
37,77,79,78.0
37,77,79,78.0
37,77,79,78.0
37,77,79,78.0
37,77,79,78.0
37,77,79,78.0
37,75,79,77.0
37,75,79,77.0
37,75,79,77.0
37,75,79,77.0
37,75,79,77.0
37,75,79,77.0
37,76,79,77.5
37,76,79,77.5
37,76,79,77.5
37,76,79,77.5
37,76,79,77.5
37,76,79,77.5
37,77,79,78.0
37,77,79,78.0
37,77,79,78.0
37,78,79,78.5
37,78,79,78.5
37,78,79,78.5
37,78,79,78.5
37,78,79,78.5
37,78,79,78.5
37,78,79,78.5
37,78,79,78.5
37,78,79,78.5
37,78,79,78.5
38,78,79,78.5
38,78,79,78.5
38,78,79,78.5
38,78,79,78.5
38,78,79,78.5
38,78,79,78.5
38,78,79,78.5
38,78,79,78.5
38,78,79,78.5
38,78,79,78.5
38,78,79,78.5
38,78,79,78.5
38,78,80,79.0
38,78,80,79.0
38,78,80,79.0
38,78,80,79.0
39,78,80,79.0
