ts_offset_sec,bid,ask,mid
0,37,38,37.5
0,37,38,37.5
1,37,38,37.5
1,37,38,37.5
2,37,38,37.5
3,37,38,37.5
4,37,38,37.5
4,37,38,37.5
5,37,38,37.5
6,37,38,37.5
6,37,38,37.5
6,37,38,37.5
7,36,38,37.0
7,36,37,36.5
7,36,37,36.5
7,36,37,36.5
8,36,37,36.5
8,36,37,36.5
8,36,37,36.5
8,36,37,36.5
8,36,37,36.5
8,36,37,36.5
8,36,37,36.5
8,36,37,36.5
8,36,37,36.5
9,36,37,36.5
9,36,37,36.5
9,36,37,36.5
10,36,37,36.5
11,36,37,36.5
11,36,37,36.5
11,36,37,36.5
11,36,37,36.5
11,36,37,36.5
11,36,37,36.5
12,36,37,36.5
13,36,37,36.5
14,36,37,36.5
14,36,37,36.5
15,36,37,36.5
16,36,37,36.5
17,36,37,36.5
18,36,37,36.5
18,36,37,36.5
19,36,37,36.5
20,34,37,35.5
20,34,37,35.5
20,34,37,35.5
20,34,37,35.5
20,34,37,35.5
20,34,37,35.5
20,34,37,35.5
21,34,37,35.5
21,34,37,35.5
21,34,37,35.5
22,34,36,35.0
22,34,36,35.0
23,34,36,35.0
23,34,36,35.0
24,34,36,35.0
24,34,36,35.0
25,34,36,35.0
25,34,36,35.0
26,34,36,35.0
27,34,36,35.0
28,34,36,35.0
29,34,36,35.0
29,34,35,34.5
29,34,35,34.5
29,34,35,34.5
30,34,35,34.5
31,34,35,34.5
31,34,35,34.5
32,34,35,34.5
33,34,35,34.5
33,34,35,34.5
33,34,35,34.5
33,34,35,34.5
33,34,35,34.5
33,34,35,34.5
34,34,35,34.5
35,34,35,34.5
36,34,35,34.5
36,34,35,34.5
37,34,35,34.5
38,34,35,34.5
39,34,35,34.5
40,34,35,34.5
40,34,35,34.5
41,34,35,34.5
42,34,35,34.5
43,34,35,34.5
44,34,35,34.5
44,34,35,34.5
45,34,35,34.5
45,34,35,34.5
45,34,35,34.5
45,34,35,34.5
46,34,35,34.5
46,34,35,34.5
46,34,35,34.5
47,34,35,34.5
47,34,35,34.5
48,34,35,34.5
49,34,35,34.5
50,34,35,34.5
51,34,35,34.5
52,34,35,34.5
52,34,35,34.5
53,34,35,34.5
54,34,35,34.5
55,34,35,34.5
55,34,35,34.5
55,33,35,34.0
55,33,35,34.0
55,33,35,34.0
55,33,35,34.0
55,33,35,34.0
56,33,35,34.0
56,33,35,34.0
56,33,35,34.0
57,33,35,34.0
57,33,35,34.0
58,33,35,34.0
58,33,35,34.0
59,33,35,34.0
59,33,35,34.0
60,33,35,34.0
61,33,35,34.0
61,33,35,34.0
62,33,35,34.0
62,33,35,34.0
63,33,35,34.0
64,33,35,34.0
64,33,35,34.0
65,33,35,34.0
66,33,35,34.0
67,33,35,34.0
67,33,35,34.0
67,33,35,34.0
68,33,35,34.0
69,33,35,34.0
69,33,35,34.0
70,33,35,34.0
70,33,35,34.0
71,33,35,34.0
72,33,35,34.0
73,33,35,34.0
73,33,35,34.0
73,33,35,34.0
73,33,35,34.0
73,33,35,34.0
74,33,35,34.0
74,33,35,34.0
74,33,35,34.0
75,33,35,34.0
75,33,35,34.0
75,33,35,34.0
76,33,35,34.0
76,33,35,34.0
76,33,35,34.0
77,33,35,34.0
77,33,35,34.0
78,33,35,34.0
78,33,35,34.0
78,33,35,34.0
79,33,35,34.0
79,33,35,34.0
79,33,35,34.0
79,33,35,34.0
80,33,35,34.0
80,33,35,34.0
81,33,35,34.0
81,33,35,34.0
81,33,35,34.0
82,33,35,34.0
82,33,35,34.0
82,33,35,34.0
82,33,35,34.0
82,33,35,34.0
83,33,35,34.0
83,33,35,34.0
84,33,35,34.0
84,33,35,34.0
84,33,35,34.0
84,33,35,34.0
84,33,35,34.0
85,33,35,34.0
85,33,35,34.0
85,33,35,34.0
86,33,35,34.0
86,33,35,34.0
86,33,35,34.0
86,33,35,34.0
86,33,35,34.0
86,33,35,34.0
87,33,35,34.0
87,33,35,34.0
87,33,35,34.0
87,33,35,34.0
88,33,35,34.0
88,33,35,34.0
88,33,35,34.0
88,33,35,34.0
88,33,35,34.0
89,33,35,34.0
89,33,35,34.0
89,33,35,34.0
89,33,35,34.0
89,33,35,34.0
89,33,35,34.0
90,33,35,34.0
90,33,35,34.0
90,33,35,34.0
90,33,35,34.0
91,33,35,34.0
91,33,35,34.0
91,33,35,34.0
92,33,35,34.0
92,33,35,34.0
92,33,35,34.0
93,33,35,34.0
93,33,35,34.0
93,33,35,34.0
94,33,35,34.0
94,33,35,34.0
95,33,35,34.0
95,33,35,34.0
96,33,35,34.0
96,33,35,34.0
97,33,35,34.0
97,33,35,34.0
98,33,35,34.0
98,33,35,34.0
99,33,35,34.0
100,33,35,34.0
100,33,35,34.0
101,33,35,34.0
101,33,35,34.0
102,33,35,34.0
103,33,35,34.0
103,33,35,34.0
104,33,35,34.0
105,33,35,34.0
106,33,35,34.0
106,33,35,34.0
107,33,35,34.0
108,33,35,34.0
108,33,35,34.0
109,33,35,34.0
110,33,35,34.0
111,33,35,34.0
111,33,35,34.0
112,33,35,34.0
112,33,35,34.0
113,33,35,34.0
114,33,35,34.0
114,33,35,34.0
115,33,35,34.0
115,33,35,34.0
115,33,35,34.0
116,33,35,34.0
117,33,35,34.0
117,33,35,34.0
118,33,35,34.0
119,33,35,34.0
120,33,35,34.0
120,33,35,34.0
121,33,35,34.0
121,33,35,34.0
122,33,35,34.0
123,33,35,34.0
123,33,35,34.0
124,33,35,34.0
124,33,35,34.0
125,33,35,34.0
125,34,35,34.5
126,34,35,34.5
126,34,35,34.5
127,34,35,34.5
128,34,35,34.5
129,34,35,34.5
130,34,35,34.5
130,34,35,34.5
131,34,35,34.5
132,34,35,34.5
132,34,35,34.5
133,34,35,34.5
134,34,35,34.5
134,34,35,34.5
135,34,35,34.5
135,34,35,34.5
136,34,35,34.5
136,34,35,34.5
136,34,35,34.5
136,34,35,34.5
136,34,35,34.5
137,34,35,34.5
138,34,35,34.5
138,34,35,34.5
138,34,35,34.5
139,34,35,34.5
140,34,35,34.5
140,34,35,34.5
141,34,35,34.5
141,34,35,34.5
141,34,35,34.5
142,34,35,34.5
142,34,35,34.5
142,34,35,34.5
143,34,35,34.5
143,34,35,34.5
144,34,35,34.5
144,34,35,34.5
145,34,35,34.5
145,34,35,34.5
146,34,35,34.5
146,34,35,34.5
147,34,35,34.5
147,34,35,34.5
148,34,35,34.5
148,34,35,34.5
149,34,35,34.5
149,34,35,34.5
150,34,35,34.5
150,34,35,34.5
150,34,35,34.5
151,34,35,34.5
152,34,35,34.5
152,34,35,34.5
152,34,35,34.5
153,34,35,34.5
153,34,35,34.5
153,34,35,34.5
153,34,35,34.5
154,34,35,34.5
154,34,35,34.5
154,34,35,34.5
154,34,35,34.5
155,34,35,34.5
155,34,35,34.5
155,34,35,34.5
155,34,35,34.5
156,34,35,34.5
156,34,35,34.5
156,34,35,34.5
156,34,35,34.5
157,34,35,34.5
157,34,35,34.5
157,34,35,34.5
158,34,35,34.5
158,34,35,34.5
158,34,35,34.5
158,34,35,34.5
158,34,35,34.5
158,34,35,34.5
159,34,35,34.5
159,34,35,34.5
159,34,35,34.5
159,34,35,34.5
159,34,35,34.5
160,34,35,34.5
160,34,35,34.5
160,34,35,34.5
160,34,35,34.5
161,34,35,34.5
161,34,35,34.5
161,34,35,34.5
162,34,35,34.5
162,34,35,34.5
163,34,35,34.5
163,34,35,34.5
163,34,35,34.5
164,34,35,34.5
164,34,35,34.5
165,34,35,34.5
165,34,35,34.5
166,34,35,34.5
166,34,35,34.5
167,34,35,34.5
167,34,35,34.5
168,34,35,34.5
169,34,35,34.5
169,34,35,34.5
169,34,35,34.5
170,34,35,34.5
170,34,35,34.5
171,34,35,34.5
171,34,35,34.5
172,34,35,34.5
172,34,35,34.5
172,34,35,34.5
173,34,35,34.5
173,34,35,34.5
174,34,35,34.5
174,34,35,34.5
175,34,35,34.5
175,34,35,34.5
175,34,35,34.5
175,34,35,34.5
176,34,35,34.5
176,34,35,34.5
177,34,35,34.5
178,34,35,34.5
178,34,35,34.5
179,34,35,34.5
179,34,35,34.5
180,34,35,34.5
180,34,35,34.5
181,34,35,34.5
181,34,35,34.5
181,34,35,34.5
182,34,35,34.5
182,34,35,34.5
182,34,35,34.5
183,34,35,34.5
183,34,35,34.5
183,34,35,34.5
184,34,35,34.5
184,34,35,34.5
184,34,35,34.5
185,34,35,34.5
185,34,35,34.5
185,34,35,34.5
185,34,35,34.5
186,34,35,34.5
186,34,35,34.5
187,34,35,34.5
187,34,35,34.5
188,34,35,34.5
188,34,35,34.5
189,34,35,34.5
189,34,35,34.5
189,34,35,34.5
190,34,35,34.5
190,34,35,34.5
191,34,35,34.5
191,34,35,34.5
191,34,35,34.5
191,34,35,34.5
192,34,35,34.5
192,34,35,34.5
193,34,35,34.5
193,34,35,34.5
194,34,35,34.5
194,34,35,34.5
195,34,35,34.5
195,34,35,34.5
195,34,35,34.5
195,34,35,34.5
196,34,35,34.5
196,34,35,34.5
196,34,35,34.5
197,34,35,34.5
197,34,35,34.5
197,34,35,34.5
198,34,35,34.5
198,34,35,34.5
199,34,35,34.5
199,34,35,34.5
199,34,35,34.5
200,34,35,34.5
200,34,35,34.5
201,34,35,34.5
201,34,35,34.5
201,34,35,34.5
201,34,35,34.5
201,34,35,34.5
202,34,35,34.5
202,34,35,34.5
202,34,35,34.5
203,34,35,34.5
203,34,35,34.5
203,34,35,34.5
204,34,35,34.5
205,34,35,34.5
205,34,35,34.5
205,34,35,34.5
206,34,35,34.5
206,34,35,34.5
207,34,35,34.5
207,34,35,34.5
208,34,35,34.5
208,34,35,34.5
209,34,35,34.5
209,34,35,34.5
209,34,35,34.5
210,34,35,34.5
210,34,35,34.5
211,34,35,34.5
211,34,35,34.5
211,34,35,34.5
212,34,35,34.5
212,34,35,34.5
212,34,35,34.5
213,34,35,34.5
213,34,35,34.5
213,34,35,34.5
214,34,35,34.5
214,34,35,34.5
214,34,35,34.5
215,34,35,34.5
215,34,35,34.5
216,34,35,34.5
216,34,35,34.5
216,34,35,34.5
217,34,35,34.5
217,34,35,34.5
217,34,35,34.5
218,34,35,34.5
218,34,35,34.5
218,34,35,34.5
218,34,35,34.5
219,34,35,34.5
219,34,35,34.5
220,34,35,34.5
220,34,35,34.5
221,34,35,34.5
221,34,35,34.5
221,34,35,34.5
222,34,35,34.5
222,34,35,34.5
222,34,35,34.5
223,34,35,34.5
223,34,35,34.5
224,34,35,34.5
224,34,35,34.5
224,34,35,34.5
225,34,35,34.5
225,34,35,34.5
225,34,35,34.5
225,34,35,34.5
226,34,35,34.5
226,34,35,34.5
226,34,35,34.5
227,34,35,34.5
227,34,35,34.5
227,34,35,34.5
228,34,35,34.5
228,34,35,34.5
229,34,35,34.5
