ts_offset_sec,bid,ask,mid
0,61,62,61.5
0,61,62,61.5
0,61,62,61.5
0,61,62,61.5
1,61,62,61.5
1,61,62,61.5
1,61,62,61.5
1,61,62,61.5
2,61,62,61.5
2,61,62,61.5
2,61,62,61.5
2,61,62,61.5
2,61,62,61.5
3,61,62,61.5
3,61,62,61.5
3,61,62,61.5
3,61,62,61.5
3,61,62,61.5
3,61,62,61.5
3,61,62,61.5
3,61,62,61.5
3,61,62,61.5
4,61,62,61.5
4,61,62,61.5
4,61,62,61.5
4,61,62,61.5
4,61,62,61.5
4,61,62,61.5
4,61,62,61.5
4,61,62,61.5
5,61,62,61.5
5,61,62,61.5
5,61,62,61.5
5,61,62,61.5
6,61,62,61.5
6,61,62,61.5
6,61,62,61.5
6,61,62,61.5
6,61,62,61.5
6,61,62,61.5
7,61,62,61.5
7,61,62,61.5
7,61,62,61.5
7,61,62,61.5
7,61,62,61.5
7,61,62,61.5
7,61,62,61.5
7,61,62,61.5
7,61,62,61.5
7,61,62,61.5
7,61,62,61.5
8,61,62,61.5
8,61,62,61.5
8,61,62,61.5
8,61,62,61.5
8,61,62,61.5
9,61,62,61.5
9,61,62,61.5
9,61,62,61.5
10,61,62,61.5
10,61,62,61.5
10,61,62,61.5
11,61,62,61.5
11,61,62,61.5
11,61,62,61.5
11,61,62,61.5
11,61,62,61.5
11,61,62,61.5
11,61,62,61.5
11,61,62,61.5
11,61,62,61.5
12,61,62,61.5
12,61,62,61.5
12,61,62,61.5
12,61,62,61.5
12,61,62,61.5
12,61,62,61.5
12,61,62,61.5
12,61,62,61.5
13,61,62,61.5
13,61,62,61.5
13,61,62,61.5
13,61,62,61.5
13,61,62,61.5
13,61,62,61.5
13,61,62,61.5
13,61,62,61.5
13,61,62,61.5
13,61,62,61.5
13,61,62,61.5
13,61,62,61.5
14,61,62,61.5
14,61,62,61.5
14,61,62,61.5
14,61,62,61.5
14,61,62,61.5
14,61,62,61.5
14,61,62,61.5
14,61,62,61.5
14,61,62,61.5
14,61,62,61.5
15,61,62,61.5
15,61,62,61.5
15,61,62,61.5
15,61,62,61.5
15,61,62,61.5
16,61,62,61.5
16,61,62,61.5
16,61,62,61.5
16,61,62,61.5
16,61,62,61.5
17,61,62,61.5
17,61,62,61.5
17,61,62,61.5
17,61,62,61.5
18,61,62,61.5
18,61,62,61.5
18,61,62,61.5
18,61,62,61.5
19,61,62,61.5
19,61,62,61.5
19,61,62,61.5
19,61,62,61.5
20,61,62,61.5
20,61,62,61.5
21,61,62,61.5
21,61,62,61.5
21,61,62,61.5
21,61,62,61.5
22,61,62,61.5
22,61,62,61.5
22,61,62,61.5
22,61,62,61.5
23,61,62,61.5
23,61,62,61.5
23,59,62,60.5
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,61,59.5
23,58,61,59.5
23,58,61,59.5
23,58,61,59.5
23,58,61,59.5
23,58,61,59.5
23,58,61,59.5
23,58,61,59.5
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
23,58,62,60.0
