ts_offset_sec,bid,ask,mid
0,38,39,38.5
0,36,39,37.5
0,36,39,37.5
0,37,39,38.0
0,37,39,38.0
0,37,39,38.0
0,38,39,38.5
0,36,40,38.0
0,36,40,38.0
0,37,40,38.5
1,37,39,38.0
1,37,39,38.0
1,37,39,38.0
1,38,39,38.5
1,38,39,38.5
1,38,39,38.5
1,36,39,37.5
1,36,39,37.5
1,37,39,38.0
2,37,39,38.0
2,38,39,38.5
2,36,39,37.5
2,36,39,37.5
2,36,39,37.5
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,40,38.5
4,37,40,38.5
4,38,40,39.0
4,38,40,39.0
4,38,40,39.0
4,38,40,39.0
4,38,40,39.0
4,38,40,39.0
4,38,40,39.0
4,38,40,39.0
4,38,40,39.0
5,38,40,39.0
5,38,40,39.0
5,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
7,38,40,39.0
8,38,40,39.0
8,38,40,39.0
8,38,40,39.0
8,38,40,39.0
8,38,40,39.0
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,40,39.5
8,39,41,40.0
8,40,41,40.5
8,40,41,40.5
8,40,41,40.5
8,40,41,40.5
8,40,41,40.5
8,40,41,40.5
8,40,41,40.5
8,40,41,40.5
9,40,41,40.5
9,40,41,40.5
9,40,41,40.5
9,40,41,40.5
9,40,41,40.5
9,40,41,40.5
9,40,41,40.5
9,40,41,40.5
9,40,41,40.5
9,40,41,40.5
9,40,41,40.5
9,40,41,40.5
10,40,41,40.5
10,40,41,40.5
10,40,41,40.5
10,40,41,40.5
10,40,41,40.5
10,40,41,40.5
10,40,41,40.5
10,40,41,40.5
10,40,41,40.5
10,40,41,40.5
10,40,41,40.5
10,40,41,40.5
10,40,41,40.5
11,40,41,40.5
11,40,41,40.5
11,40,41,40.5
11,40,41,40.5
12,40,41,40.5
12,40,41,40.5
13,40,41,40.5
13,40,41,40.5
14,40,41,40.5
14,40,41,40.5
14,40,41,40.5
14,40,41,40.5
14,40,41,40.5
14,40,41,40.5
15,40,41,40.5
15,40,41,40.5
15,40,41,40.5
16,40,41,40.5
16,40,41,40.5
16,40,41,40.5
16,40,41,40.5
17,40,41,40.5
18,40,41,40.5
18,40,41,40.5
19,40,41,40.5
19,40,41,40.5
21,40,41,40.5
22,40,41,40.5
22,40,41,40.5
23,40,41,40.5
24,40,41,40.5
24,40,41,40.5
24,40,41,40.5
25,40,41,40.5
26,40,41,40.5
27,40,42,41.0
27,41,42,41.5
27,41,42,41.5
27,41,42,41.5
27,41,42,41.5
27,41,42,41.5
27,41,42,41.5
27,41,42,41.5
27,41,42,41.5
28,41,42,41.5
28,41,42,41.5
28,41,42,41.5
28,41,42,41.5
28,41,42,41.5
29,41,42,41.5
30,41,42,41.5
31,41,42,41.5
32,41,42,41.5
