ts_offset_sec,bid,ask,mid
0,14,73,43.5
0,14,73,43.5
10,14,73,43.5
10,14,73,43.5
18,14,80,47.0
18,14,80,47.0
30,5,80,42.5
30,5,23,14.0
30,5,23,14.0
30,5,23,14.0
31,5,23,14.0
31,15,23,19.0
31,15,23,19.0
33,17,23,20.0
33,17,23,20.0
35,17,22,19.5
36,17,23,20.0
36,17,23,20.0
41,17,26,21.5
41,17,80,48.5
41,17,80,48.5
42,17,80,48.5
44,15,80,47.5
44,15,80,47.5
46,15,80,47.5
59,15,19,17.0
59,15,19,17.0
59,15,19,17.0
59,15,19,17.0
59,15,19,17.0
59,15,19,17.0
59,15,19,17.0
64,15,18,16.5
64,15,19,17.0
64,15,19,17.0
70,15,19,17.0
70,15,19,17.0
70,15,24,19.5
70,15,80,47.5
70,15,23,19.0
84,15,23,19.0
84,20,23,21.5
84,20,23,21.5
84,20,26,23.0
84,20,26,23.0
84,20,25,22.5
84,20,25,22.5
90,20,25,22.5
95,20,25,22.5
95,15,25,20.0
95,15,25,20.0
95,15,80,47.5
95,15,80,47.5
97,15,80,47.5
113,15,32,23.5
113,15,32,23.5
113,15,32,23.5
113,15,32,23.5
113,15,32,23.5
113,15,31,23.0
115,15,30,22.5
115,15,30,22.5
116,26,30,28.0
116,26,30,28.0
116,26,30,28.0
118,26,29,27.5
118,26,30,28.0
118,26,30,28.0
118,26,30,28.0
119,26,32,29.0
120,31,32,31.5
123,31,32,31.5
124,31,33,32.0
124,31,80,55.5
124,31,35,33.0
126,31,35,33.0
126,31,35,33.0
127,33,35,34.0
129,33,35,34.0
133,33,35,34.0
133,33,80,56.5
133,33,80,56.5
133,35,80,57.5
138,35,80,57.5
139,35,80,57.5
147,35,80,57.5
147,39,80,59.5
149,39,80,59.5
157,39,80,59.5
163,40,80,60.0
170,40,80,60.0
170,40,80,60.0
173,40,80,60.0
188,41,80,60.5
191,41,80,60.5
206,41,80,60.5
210,41,80,60.5
210,41,80,60.5
210,39,80,59.5
210,39,80,59.5
210,35,80,57.5
210,33,80,56.5
210,31,80,55.5
210,5,80,42.5
210,5,29,17.0
210,23,29,26.0
210,23,29,26.0
210,23,29,26.0
212,23,29,26.0
215,23,29,26.0
215,23,29,26.0
215,23,28,25.5
215,23,29,26.0
215,23,29,26.0
216,23,29,26.0
219,23,29,26.0
221,17,29,23.0
221,5,29,17.0
221,5,31,18.0
222,5,30,17.5
227,5,31,18.0
227,5,31,18.0
228,6,31,18.5
232,6,75,40.5
233,6,75,40.5
240,6,61,33.5
251,19,61,40.0
251,19,61,40.0
261,19,61,40.0
261,6,61,33.5
267,6,61,33.5
281,21,61,41.0
282,21,61,41.0
284,21,61,41.0
292,21,61,41.0
292,7,61,34.0
300,10,61,35.5
300,10,61,35.5
300,11,61,36.0
301,11,30,20.5
301,11,30,20.5
301,11,30,20.5
301,24,30,27.0
302,24,30,27.0
302,24,29,26.5
302,24,30,27.0
312,24,30,27.0
312,24,32,28.0
312,11,32,21.5
312,11,61,36.0
312,11,61,36.0
314,11,36,23.5
316,11,61,36.0
318,11,61,36.0
331,11,61,36.0
331,18,61,39.5
332,18,61,39.5
337,18,61,39.5
338,20,61,40.5
338,20,61,40.5
343,20,61,40.5
348,19,61,40.0
348,19,61,40.0
358,19,58,38.5
366,19,30,24.5
366,24,30,27.0
366,24,30,27.0
366,24,30,27.0
366,24,30,27.0
366,25,30,27.5
372,25,30,27.5
372,24,30,27.0
372,19,30,24.5
372,18,30,24.0
372,18,30,24.0
373,18,30,24.0
377,18,30,24.0
377,18,32,25.0
377,18,58,38.0
377,18,58,38.0
377,18,33,25.5
379,19,33,26.0
383,19,33,26.0
383,19,33,26.0
392,19,33,26.0
392,19,33,26.0
399,19,35,27.0
399,19,44,31.5
399,19,54,36.5
399,19,58,38.5
399,19,61,40.0
399,19,75,47.0
399,19,80,49.5
399,19,80,49.5
399,19,85,52.0
399,19,85,52.0
401,20,85,52.5
412,20,85,52.5
423,20,85,52.5
426,20,85,52.5
426,20,85,52.5
426,21,85,53.0
443,21,79,50.0
452,21,49,35.0
459,25,49,37.0
459,25,49,37.0
459,26,49,37.5
461,26,39,32.5
463,26,39,32.5
463,26,39,32.5
466,26,30,28.0
466,26,30,28.0
472,26,30,28.0
475,26,30,28.0
475,26,30,28.0
475,22,30,26.0
475,23,30,26.5
476,23,30,26.5
476,23,34,28.5
479,23,39,31.0
479,23,49,36.0
479,23,49,36.0
485,25,49,37.0
485,25,49,37.0
485,26,49,37.5
492,26,48,37.0
499,26,32,29.0
499,26,32,29.0
501,26,32,29.0
509,26,44,35.0
509,26,43,34.5
510,26,43,34.5
510,26,43,34.5
511,26,43,34.5
511,26,44,35.0
511,26,34,30.0
520,26,44,35.0
520,26,48,37.0
520,26,49,37.5
520,26,79,52.5
520,26,79,52.5
524,26,29,27.5
524,26,29,27.5
529,26,29,27.5
531,26,29,27.5
534,26,29,27.5
534,26,79,52.5
550,26,78,52.0
550,26,78,52.0
551,26,78,52.0
551,25,78,51.5
551,25,78,51.5
552,26,78,52.0
555,26,78,52.0
559,26,78,52.0
559,26,78,52.0
561,26,77,51.5
565,26,59,42.5
565,26,59,42.5
565,26,58,42.0
565,26,58,42.0
568,26,58,42.0
570,26,58,42.0
570,26,58,42.0
570,26,59,42.5
572,26,59,42.5
573,26,59,42.5
581,26,59,42.5
581,26,50,38.0
582,26,50,38.0
582,25,50,37.5
582,27,50,38.5
582,27,50,38.5
587,27,50,38.5
587,27,50,38.5
588,27,50,38.5
597,27,50,38.5
597,27,50,38.5
597,27,50,38.5
597,27,50,38.5
597,27,50,38.5
597,27,50,38.5
597,27,50,38.5
597,27,50,38.5
597,27,50,38.5
597,27,50,38.5
602,27,50,38.5
602,27,50,38.5
602,27,50,38.5
602,27,50,38.5
602,25,50,37.5
602,25,50,37.5
603,25,49,37.0
603,25,50,37.5
603,25,50,37.5
603,26,50,38.0
608,26,50,38.0
608,26,48,37.0
610,26,47,36.5
613,26,47,36.5
613,26,47,36.5
613,26,47,36.5
615,26,47,36.5
615,25,47,36.0
615,25,47,36.0
622,25,47,36.0
629,25,44,34.5
629,25,44,34.5
630,25,44,34.5
630,25,44,34.5
630,25,44,34.5
630,25,44,34.5
630,25,44,34.5
630,25,44,34.5
630,25,44,34.5
630,25,44,34.5
631,25,44,34.5
631,25,44,34.5
632,25,44,34.5
646,25,43,34.0
646,25,43,34.0
646,25,43,34.0
