ts_offset_sec,bid,ask,mid
0,60,62,61.0
0,60,62,61.0
0,60,62,61.0
1,60,62,61.0
2,60,62,61.0
2,60,62,61.0
2,60,62,61.0
3,60,62,61.0
3,60,62,61.0
3,60,62,61.0
4,60,62,61.0
4,60,62,61.0
5,60,62,61.0
6,60,62,61.0
6,60,62,61.0
7,60,62,61.0
7,60,62,61.0
8,60,62,61.0
8,60,62,61.0
8,60,62,61.0
9,60,62,61.0
10,60,62,61.0
10,60,62,61.0
11,60,62,61.0
11,60,62,61.0
12,60,62,61.0
12,60,62,61.0
12,60,62,61.0
14,60,62,61.0
14,60,62,61.0
15,60,62,61.0
15,60,62,61.0
15,60,62,61.0
16,60,62,61.0
17,60,62,61.0
17,60,62,61.0
17,60,62,61.0
17,60,62,61.0
18,60,62,61.0
18,60,62,61.0
18,60,62,61.0
18,60,62,61.0
18,60,62,61.0
18,60,62,61.0
19,60,62,61.0
20,60,62,61.0
20,60,62,61.0
20,60,62,61.0
21,60,62,61.0
21,60,62,61.0
21,60,62,61.0
21,60,62,61.0
22,60,62,61.0
22,60,62,61.0
23,60,62,61.0
23,60,62,61.0
24,60,62,61.0
24,60,62,61.0
25,60,62,61.0
25,60,62,61.0
26,60,62,61.0
27,60,62,61.0
27,60,62,61.0
28,60,62,61.0
28,60,62,61.0
29,60,62,61.0
29,60,62,61.0
29,60,62,61.0
30,60,62,61.0
30,60,62,61.0
30,60,62,61.0
30,60,62,61.0
30,60,62,61.0
30,60,62,61.0
30,59,62,60.5
30,59,62,60.5
30,59,62,60.5
30,59,62,60.5
30,59,62,60.5
30,59,62,60.5
30,59,62,60.5
30,59,62,60.5
30,58,62,60.0
30,57,62,59.5
30,56,62,59.0
30,56,62,59.0
30,56,62,59.0
30,56,62,59.0
30,56,62,59.0
30,56,62,59.0
30,56,62,59.0
30,56,62,59.0
30,56,62,59.0
30,56,62,59.0
30,56,62,59.0
30,58,62,60.0
30,58,62,60.0
30,56,62,59.0
30,56,62,59.0
30,50,62,56.0
30,50,62,56.0
30,50,62,56.0
30,50,62,56.0
30,50,62,56.0
30,53,62,57.5
30,53,62,57.5
30,53,62,57.5
30,53,62,57.5
30,53,62,57.5
30,51,62,56.5
30,51,62,56.5
30,50,62,56.0
30,50,62,56.0
30,50,62,56.0
30,51,62,56.5
30,51,62,56.5
30,57,62,59.5
30,57,62,59.5
30,57,62,59.5
30,57,62,59.5
30,57,62,59.5
30,57,62,59.5
30,57,62,59.5
30,57,62,59.5
30,57,62,59.5
30,57,62,59.5
31,57,62,59.5
31,57,62,59.5
31,57,62,59.5
31,57,62,59.5
31,57,62,59.5
31,57,62,59.5
31,57,62,59.5
31,57,62,59.5
31,57,62,59.5
31,57,62,59.5
31,57,62,59.5
31,57,61,59.0
31,57,61,59.0
31,57,61,59.0
31,57,61,59.0
31,57,61,59.0
32,57,61,59.0
32,57,61,59.0
32,57,61,59.0
32,57,61,59.0
32,57,61,59.0
32,57,61,59.0
32,57,61,59.0
32,57,61,59.0
33,57,61,59.0
33,57,61,59.0
33,57,61,59.0
33,57,61,59.0
33,57,61,59.0
33,57,61,59.0
33,57,61,59.0
33,57,61,59.0
33,57,61,59.0
33,57,61,59.0
33,57,61,59.0
35,57,61,59.0
35,57,61,59.0
35,57,61,59.0
36,57,61,59.0
36,57,61,59.0
36,57,61,59.0
36,57,61,59.0
37,57,61,59.0
37,57,61,59.0
38,57,61,59.0
38,57,61,59.0
40,57,61,59.0
40,57,61,59.0
40,57,61,59.0
41,57,61,59.0
41,57,61,59.0
42,57,61,59.0
42,57,61,59.0
42,57,61,59.0
44,57,61,59.0
44,57,61,59.0
45,57,61,59.0
47,57,61,59.0
47,57,61,59.0
48,57,61,59.0
48,57,61,59.0
50,57,61,59.0
51,57,61,59.0
51,57,61,59.0
53,57,61,59.0
53,57,61,59.0
53,57,60,58.5
53,57,60,58.5
53,57,60,58.5
53,57,60,58.5
53,57,60,58.5
53,57,60,58.5
53,57,60,58.5
53,57,60,58.5
53,57,60,58.5
53,57,60,58.5
53,57,60,58.5
53,57,60,58.5
53,57,60,58.5
54,57,60,58.5
54,57,60,58.5
54,57,60,58.5
54,57,60,58.5
61,57,60,58.5
61,57,60,58.5
61,57,60,58.5
61,57,60,58.5
61,57,60,58.5
61,57,60,58.5
61,57,60,58.5
63,57,60,58.5
67,57,60,58.5
68,57,60,58.5
68,57,60,58.5
72,57,60,58.5
77,57,60,58.5
79,57,60,58.5
85,57,60,58.5
88,57,60,58.5
88,57,60,58.5
94,57,60,58.5
103,57,60,58.5
106,57,60,58.5
114,57,60,58.5
120,57,60,58.5
122,57,60,58.5
122,57,60,58.5
122,57,60,58.5
123,57,60,58.5
123,57,60,58.5
123,57,60,58.5
127,57,60,58.5
127,57,60,58.5
130,57,60,58.5
131,57,60,58.5
135,57,60,58.5
135,57,60,58.5
135,57,60,58.5
135,57,60,58.5
135,57,60,58.5
135,57,60,58.5
136,57,60,58.5
136,57,60,58.5
139,57,60,58.5
142,57,60,58.5
150,57,60,58.5
150,57,60,58.5
150,57,60,58.5
150,57,60,58.5
151,57,60,58.5
151,57,60,58.5
152,57,60,58.5
152,57,60,58.5
152,57,60,58.5
152,57,60,58.5
152,57,60,58.5
152,57,60,58.5
152,57,60,58.5
155,57,60,58.5
155,57,60,58.5
155,57,60,58.5
156,57,60,58.5
156,57,60,58.5
156,57,60,58.5
156,57,60,58.5
160,57,60,58.5
162,57,60,58.5
168,57,60,58.5
170,57,60,58.5
178,57,60,58.5
184,57,60,58.5
191,57,60,58.5
199,57,60,58.5
202,57,60,58.5
209,57,60,58.5
215,57,60,58.5
217,57,60,58.5
218,57,60,58.5
227,57,60,58.5
232,57,60,58.5
236,57,60,58.5
241,57,60,58.5
245,57,60,58.5
250,57,60,58.5
259,57,60,58.5
267,57,60,58.5
271,57,60,58.5
276,57,60,58.5
278,57,60,58.5
280,57,60,58.5
284,57,60,58.5
291,57,60,58.5
291,57,60,58.5
291,57,60,58.5
291,57,60,58.5
291,57,60,58.5
291,57,60,58.5
291,57,60,58.5
291,57,60,58.5
291,57,60,58.5
292,57,60,58.5
292,57,60,58.5
292,57,60,58.5
293,57,60,58.5
293,57,60,58.5
294,57,60,58.5
294,57,60,58.5
294,57,60,58.5
294,57,60,58.5
294,57,60,58.5
294,57,60,58.5
294,57,60,58.5
294,57,60,58.5
295,57,60,58.5
296,57,60,58.5
296,57,60,58.5
296,57,60,58.5
297,57,60,58.5
297,57,60,58.5
298,57,60,58.5
298,57,60,58.5
300,57,60,58.5
300,57,60,58.5
301,57,60,58.5
302,57,60,58.5
302,57,60,58.5
303,57,60,58.5
303,57,60,58.5
304,57,60,58.5
305,57,60,58.5
305,57,60,58.5
305,57,60,58.5
305,57,60,58.5
306,57,60,58.5
306,57,60,58.5
306,57,60,58.5
306,57,60,58.5
307,57,60,58.5
307,57,60,58.5
309,57,60,58.5
309,57,60,58.5
310,57,60,58.5
312,57,60,58.5
312,57,60,58.5
313,57,60,58.5
314,57,60,58.5
315,57,60,58.5
315,57,60,58.5
317,57,60,58.5
317,57,60,58.5
318,57,60,58.5
318,57,60,58.5
318,57,60,58.5
318,57,60,58.5
318,57,60,58.5
318,57,60,58.5
318,57,60,58.5
318,57,60,58.5
319,57,60,58.5
319,57,60,58.5
319,57,60,58.5
321,57,60,58.5
321,57,60,58.5
321,57,60,58.5
321,57,60,58.5
322,57,60,58.5
322,57,60,58.5
322,57,60,58.5
323,57,60,58.5
323,57,60,58.5
324,57,60,58.5
324,57,60,58.5
325,57,60,58.5
325,57,60,58.5
326,57,60,58.5
326,57,60,58.5
327,57,60,58.5
327,57,60,58.5
327,57,60,58.5
329,57,60,58.5
329,57,60,58.5
329,57,60,58.5
330,57,60,58.5
331,57,60,58.5
331,57,60,58.5
332,57,60,58.5
332,57,60,58.5
333,57,60,58.5
334,57,60,58.5
334,57,60,58.5
334,57,60,58.5
335,57,60,58.5
336,57,60,58.5
336,57,60,58.5
338,57,60,58.5
338,57,60,58.5
338,57,60,58.5
338,57,60,58.5
339,57,60,58.5
340,57,60,58.5
342,57,60,58.5
342,57,60,58.5
342,57,60,58.5
343,57,60,58.5
343,57,60,58.5
344,57,60,58.5
344,57,60,58.5
345,57,60,58.5
346,57,60,58.5
347,57,60,58.5
347,57,60,58.5
347,57,60,58.5
349,57,60,58.5
349,57,60,58.5
349,57,60,58.5
349,57,60,58.5
350,57,60,58.5
351,57,60,58.5
352,57,60,58.5
352,57,60,58.5
353,57,60,58.5
353,57,60,58.5
354,57,60,58.5
355,57,60,58.5
355,57,60,58.5
356,57,60,58.5
356,57,60,58.5
357,57,60,58.5
357,57,60,58.5
358,57,60,58.5
359,57,60,58.5
359,57,60,58.5
360,57,60,58.5
360,57,60,58.5
361,57,60,58.5
362,57,60,58.5
363,57,60,58.5
363,57,60,58.5
364,57,60,58.5
364,57,60,58.5
365,57,60,58.5
366,57,60,58.5
366,57,60,58.5
366,57,60,58.5
368,57,60,58.5
368,57,60,58.5
368,57,60,58.5
370,57,60,58.5
370,57,60,58.5
370,57,60,58.5
371,57,60,58.5
372,57,60,58.5
372,57,60,58.5
373,57,60,58.5
373,57,60,58.5
373,57,60,58.5
375,57,60,58.5
375,57,60,58.5
376,57,60,58.5
377,57,60,58.5
377,57,60,58.5
377,57,60,58.5
379,57,60,58.5
379,57,60,58.5
379,57,60,58.5
381,57,60,58.5
381,57,60,58.5
381,57,60,58.5
382,57,60,58.5
383,57,60,58.5
383,57,60,58.5
383,57,60,58.5
383,57,60,58.5
385,57,60,58.5
385,57,60,58.5
386,57,60,58.5
386,57,60,58.5
386,57,60,58.5
387,57,60,58.5
388,57,60,58.5
388,57,60,58.5
390,57,60,58.5
391,57,60,58.5
392,57,60,58.5
393,57,60,58.5
394,57,60,58.5
395,57,60,58.5
395,57,60,58.5
396,57,60,58.5
396,57,60,58.5
397,57,60,58.5
397,57,60,58.5
398,57,60,58.5
399,57,60,58.5
399,57,60,58.5
400,57,60,58.5
400,57,60,58.5
401,57,60,58.5
401,57,60,58.5
401,57,60,58.5
402,57,60,58.5
403,57,60,58.5
403,57,60,58.5
404,57,60,58.5
404,57,60,58.5
404,57,60,58.5
405,57,60,58.5
406,57,60,58.5
406,57,60,58.5
407,57,60,58.5
408,57,60,58.5
408,57,60,58.5
409,57,60,58.5
410,57,60,58.5
410,57,60,58.5
411,57,60,58.5
411,57,60,58.5
411,57,60,58.5
412,57,60,58.5
413,57,60,58.5
413,57,60,58.5
414,57,60,58.5
414,57,60,58.5
415,57,60,58.5
415,57,60,58.5
416,57,60,58.5
416,57,60,58.5
417,57,60,58.5
417,57,60,58.5
417,57,60,58.5
419,57,60,58.5
419,57,60,58.5
419,57,60,58.5
420,57,60,58.5
420,57,60,58.5
420,57,60,58.5
