ts_offset_sec,bid,ask,mid
0,77,79,78.0
0,77,79,78.0
4,77,79,78.0
4,77,79,78.0
4,77,79,78.0
6,77,79,78.0
6,77,79,78.0
6,77,79,78.0
6,77,79,78.0
6,77,79,78.0
6,77,79,78.0
6,77,79,78.0
6,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
22,77,79,78.0
23,77,79,78.0
23,77,79,78.0
26,77,79,78.0
26,77,79,78.0
26,77,79,78.0
26,77,79,78.0
26,77,79,78.0
26,77,79,78.0
28,77,79,78.0
28,77,79,78.0
28,77,79,78.0
28,77,79,78.0
28,77,79,78.0
28,77,79,78.0
28,77,79,78.0
28,77,79,78.0
28,77,80,78.5
28,77,80,78.5
28,77,80,78.5
28,77,80,78.5
28,77,80,78.5
29,77,80,78.5
29,77,79,78.0
29,77,79,78.0
29,77,79,78.0
29,77,79,78.0
29,77,79,78.0
29,77,79,78.0
29,77,79,78.0
29,77,80,78.5
29,77,80,78.5
29,77,80,78.5
29,77,80,78.5
29,77,80,78.5
29,77,80,78.5
29,77,79,78.0
29,77,79,78.0
29,77,79,78.0
29,77,79,78.0
29,77,79,78.0
29,77,79,78.0
29,77,80,78.5
29,77,80,78.5
29,77,80,78.5
29,77,80,78.5
29,77,80,78.5
29,77,80,78.5
29,77,80,78.5
29,77,79,78.0
29,77,79,78.0
29,77,79,78.0
29,77,79,78.0
30,77,79,78.0
30,77,79,78.0
30,77,80,78.5
30,77,80,78.5
30,77,80,78.5
30,77,80,78.5
30,77,80,78.5
30,77,80,78.5
30,77,79,78.0
30,77,79,78.0
30,77,79,78.0
30,77,79,78.0
30,77,79,78.0
30,77,79,78.0
30,77,80,78.5
30,77,80,78.5
30,77,80,78.5
30,77,80,78.5
30,77,80,78.5
30,77,80,78.5
30,77,79,78.0
30,77,79,78.0
30,77,79,78.0
30,77,79,78.0
30,77,79,78.0
30,77,79,78.0
30,77,80,78.5
30,77,80,78.5
30,77,80,78.5
31,77,80,78.5
31,77,80,78.5
31,77,80,78.5
31,77,80,78.5
31,77,79,78.0
31,77,79,78.0
31,77,79,78.0
31,77,79,78.0
31,77,79,78.0
31,77,79,78.0
31,77,79,78.0
31,77,79,78.0
31,77,80,78.5
31,77,80,78.5
31,77,80,78.5
31,77,80,78.5
31,77,80,78.5
31,77,80,78.5
31,77,80,78.5
31,77,80,78.5
31,77,79,78.0
31,77,79,78.0
31,77,79,78.0
31,77,79,78.0
31,77,79,78.0
31,77,79,78.0
31,77,80,78.5
31,77,80,78.5
31,77,80,78.5
31,75,80,77.5
31,72,80,76.0
31,71,80,75.5
31,70,80,75.0
31,40,80,60.0
31,40,80,60.0
31,40,80,60.0
31,40,80,60.0
31,55,80,67.5
31,40,80,60.0
31,40,79,59.5
31,73,79,76.0
31,73,79,76.0
31,73,79,76.0
31,73,79,76.0
31,73,79,76.0
31,73,79,76.0
31,73,79,76.0
31,73,79,76.0
31,73,79,76.0
31,73,79,76.0
31,52,79,65.5
31,52,79,65.5
31,52,79,65.5
31,41,79,60.0
31,41,79,60.0
31,41,79,60.0
31,41,79,60.0
31,69,79,74.0
31,69,79,74.0
31,69,79,74.0
31,69,79,74.0
31,69,79,74.0
31,69,79,74.0
31,69,79,74.0
31,69,79,74.0
31,69,78,73.5
31,69,78,73.5
31,69,78,73.5
31,69,78,73.5
31,69,78,73.5
31,69,78,73.5
31,69,78,73.5
31,69,78,73.5
31,69,78,73.5
31,69,78,73.5
31,69,78,73.5
31,69,78,73.5
32,69,78,73.5
32,69,78,73.5
32,69,78,73.5
32,69,78,73.5
32,69,78,73.5
32,69,78,73.5
32,69,78,73.5
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
