ts_offset_sec,bid,ask,mid
0,70,75,72.5
0,70,75,72.5
0,70,75,72.5
0,70,74,72.0
0,70,74,72.0
0,70,74,72.0
0,70,74,72.0
0,70,74,72.0
0,70,74,72.0
0,70,74,72.0
21,70,75,72.5
21,74,75,74.5
21,74,75,74.5
21,74,75,74.5
21,74,75,74.5
21,74,75,74.5
21,74,75,74.5
21,74,75,74.5
21,74,75,74.5
21,74,75,74.5
21,74,75,74.5
21,74,75,74.5
21,74,75,74.5
21,74,75,74.5
21,74,75,74.5
21,74,75,74.5
21,74,77,75.5
21,74,76,75.0
21,74,76,75.0
21,74,76,75.0
21,74,76,75.0
21,74,76,75.0
21,74,76,75.0
21,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
22,74,76,75.0
23,74,76,75.0
23,74,76,75.0
23,74,76,75.0
23,74,76,75.0
23,74,76,75.0
23,74,76,75.0
23,74,76,75.0
23,74,76,75.0
24,74,76,75.0
24,74,76,75.0
24,74,76,75.0
24,74,76,75.0
29,74,76,75.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
29,70,76,73.0
30,70,76,73.0
30,70,76,73.0
30,70,76,73.0
30,70,76,73.0
37,70,76,73.0
37,70,77,73.5
37,70,77,73.5
37,70,77,73.5
37,70,78,74.0
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
37,77,78,77.5
38,77,78,77.5
38,77,78,77.5
38,77,78,77.5
38,77,78,77.5
38,77,78,77.5
38,77,78,77.5
38,77,78,77.5
38,77,78,77.5
38,77,78,77.5
38,77,78,77.5
38,77,78,77.5
38,77,78,77.5
38,77,78,77.5
38,77,78,77.5
39,77,78,77.5
39,77,78,77.5
39,77,78,77.5
40,77,78,77.5
45,73,78,75.5
45,73,78,75.5
45,73,78,75.5
45,70,78,74.0
45,70,78,74.0
45,70,78,74.0
45,70,78,74.0
45,70,77,73.5
